Site	Latitude	Longitude	CenterDate	StartDate	EndDate	AnnualMeanTemp	AnnualTotalPrecip	AnnualTotalRain
1	19.149770555555556	45.166511388888885	2023-03-17	2022-09-17	2023-09-17	26.304058	26.199999	26.199999
2	19.203468333333333	45.2447675	2023-03-17	2022-09-17	2023-09-17	26.584337	25.8	25.8
3	19.301079444444444	45.384414166666666	2023-03-17	2022-09-17	2023-09-17	27.075056	30.699999	30.699999
4	19.379571666666667	45.55182694444444	2023-03-17	2022-09-17	2023-09-17	27.496794	16.8	16.8
5	19.407155277777775	45.659501388888884	2023-03-17	2022-09-17	2023-09-17	27.651987	23.500002	23.500002
6	19.405739166666667	45.8161425	2023-03-17	2022-09-17	2023-09-17	27.455648	27.6	27.6
7	19.407005277777778	45.953943611111114	2023-03-17	2022-09-17	2023-09-17	27.608463	21.9	21.9
8	19.393154166666665	46.110734722222226	2023-03-17	2022-09-17	2023-09-17	27.715197	15.4	15.4
9	19.411200277777777	46.30267361111111	2023-03-17	2022-09-17	2023-09-17	27.823301	13.900001	13.900001
10	19.420469722222222	46.460795277777784	2023-03-17	2022-09-17	2023-09-17	27.997503	11.9	11.9
11	19.44435222222222	46.6356325	2023-03-17	2022-09-17	2023-09-17	28.295216	13.0	13.0
12	19.47793361111111	46.83437333333334	2023-03-17	2022-09-17	2023-09-17	28.38841	13.500001	13.500001
13	19.52934611111111	47.053284444444444	2023-03-17	2022-09-17	2023-09-17	28.678745	13.5	13.5
14	19.581338055555555	47.2920225	2023-03-17	2022-09-17	2023-09-17	28.694609	7.9000006	7.9000006
15	19.613749722222224	47.47587194444445	2023-03-17	2022-09-17	2023-09-17	29.033491	9.7	9.7
16	19.644455833333332	47.62611861111111	2023-03-17	2022-09-17	2023-09-17	29.14263	11.099999	11.099999
17	19.676460000000002	47.82730555555556	2023-03-17	2022-09-17	2023-09-17	29.19793	15.199999	15.199999
18	19.732518055555555	48.046860555555554	2023-03-18	2022-09-18	2023-09-18	29.44487	8.3	8.3
19	19.81231916666667	48.24049472222222	2023-03-18	2022-09-18	2023-09-18	29.434809	6.6000004	6.6000004
20	19.869310833333333	48.42464444444444	2023-03-18	2022-09-18	2023-09-18	29.489534	19.0	19.0
21	19.9011325	48.48646388888889	2023-03-18	2022-09-18	2023-09-18	29.278929	12.300001	12.300001
22	19.97866972222222	48.63943555555556	2023-03-18	2022-09-18	2023-09-18	29.438656	7.4	7.4
23	20.049265555555557	48.773331388888884	2023-03-18	2022-09-18	2023-09-18	29.3363	7.1	7.1
24	20.09273861111111	48.89939527777778	2023-03-18	2022-09-18	2023-09-18	29.253576	10.599999	10.599999
25	20.100259722222223	48.95421972222223	2023-03-18	2022-09-18	2023-09-18	29.338076	10.599999	10.599999
26	20.148753888888887	49.07873861111111	2023-03-18	2022-09-18	2023-09-18	29.345161	11.5	11.5
27	20.2038574	49.1959834	2023-03-18	2022-09-18	2023-09-18	29.451715	10.1	10.1
28	20.24376861111111	49.37088472222222	2023-03-18	2022-09-18	2023-09-18	29.449923	11.6	11.6
29	20.2597976	49.5675445	2023-03-18	2022-09-18	2023-09-18	29.406248	14.700001	14.700001
30	20.269303055555554	49.68367333333333	2023-03-18	2022-09-18	2023-09-18	29.497326	24.400002	24.400002
31	20.294623333333334	49.891405	2023-03-18	2022-09-18	2023-09-18	29.606712	14.800001	14.800001
32	20.310684166666668	50.09302138888889	2023-03-18	2022-09-18	2023-09-18	29.792902	12.9	12.9
33	20.317507777777777	50.30307027777778	2023-03-18	2022-09-18	2023-09-18	29.82011	11.0	11.0
34	20.344394444444443	50.5153725	2023-03-18	2022-09-18	2023-09-18	29.995485	9.6	9.6
35	20.371795833333334	50.72999222222222	2023-03-18	2022-09-18	2023-09-18	29.988798	23.8	23.8
36	20.42319	51.14483	2023-03-19	2022-09-19	2023-09-19	29.885246	34.5	34.5
37	20.454150277777778	51.344883333333335	2023-03-19	2022-09-19	2023-09-19	29.9175	36.6	36.6
38	20.4610275	51.370224722222225	2023-03-19	2022-09-19	2023-09-19	29.907465	52.8	52.8
39	20.51023	51.59742	2023-03-19	2022-09-19	2023-09-19	30.005556	31.800001	31.800001
40	20.54718	51.82559	2023-03-19	2022-09-19	2023-09-19	30.042326	25.5	25.5
41	20.539777222222224	51.94610583333333	2023-03-19	2022-09-19	2023-09-19	30.116547	42.7	42.7
42	20.55516	52.12403	2023-03-19	2022-09-19	2023-09-19	30.186731	30.500004	30.500004
43	20.567575555555557	52.22413277777778	2023-03-19	2022-09-19	2023-09-19	30.180174	27.3	27.3
44	20.56783	52.41036	2023-03-19	2022-09-19	2023-09-19	30.190649	35.9	35.9
45	20.56346	52.46776	2023-03-19	2022-09-19	2023-09-19	30.22965	35.9	35.9
46	20.553746111111113	52.66920777777778	2023-03-19	2022-09-19	2023-09-19	30.296663	26.4	26.4
47	20.54181555555556	52.868785833333334	2023-03-19	2022-09-19	2023-09-19	30.433071	28.4	28.4
48	20.568648333333332	53.09404833333333	2023-03-19	2022-09-19	2023-09-19	30.45823	26.300001	26.300001
49	20.644662222222223	53.28794	2023-03-19	2022-09-19	2023-09-19	30.431614	38.1	38.1
50	20.71385	53.4123	2023-03-20	2022-09-20	2023-09-20	30.43416	33.100002	33.100002
51	20.7987	53.487	2023-03-20	2022-09-20	2023-09-20	30.683552	25.1	25.1
52	20.851514166666668	53.75788444444444	2023-03-20	2022-09-20	2023-09-20	30.473942	33.300003	33.300003
53	20.851514166666668	53.75788444444444	2023-03-20	2022-09-20	2023-09-20	30.473942	33.300003	33.300003
54	20.92017888888889	53.962204444444446	2023-03-20	2022-09-20	2023-09-20	30.663761	31.0	31.0
55	20.9022725	54.0024376	2023-03-20	2022-09-20	2023-09-20	30.663761	31.0	31.0
56	20.821580833333332	54.22385916666667	2023-03-20	2022-09-20	2023-09-20	30.630999	28.599998	28.599998
57	20.7349775	54.41764333333333	2023-03-20	2022-09-20	2023-09-20	30.543123	25.3	25.3
58	20.66540111111111	54.59327444444445	2023-03-20	2022-09-20	2023-09-20	30.319603	13.400002	13.400002
59	20.65626	54.635868055555555	2023-03-20	2022-09-20	2023-09-20	30.277382	17.7	17.7
60	20.706374444444442	54.732105555555556	2023-03-20	2022-09-20	2023-09-20	30.285803	25.9	25.9
water well	20.7158697	54.7996974	2023-03-20	2022-09-20	2023-09-20	30.239498	30.300003	30.300003
road	20.82577583333333	54.988932500000004	2023-03-20	2022-09-20	2023-09-20	30.108612	33.9	33.9
road	20.93405111111111	55.12609	2023-03-20	2022-09-20	2023-09-20	30.085415	30.200003	30.200003
camground	21.031050555555556	55.159842777777776	2023-03-20	2022-09-20	2023-09-20	30.08923	18.400002	18.400002
