Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	20.9	XRF 0	Si KA1-HR-Tr	20.38		0.0251		28.2 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.6461		0.141		33 um	1.23	24.16								
Ca	20	2.25	XRF 0	Ca KA1-HR-Tr	4.243		0.0549		76 um	1.02	20	Ca KB1-HR-Tr	0.3227		0.498		95 um	1.02	20								
Al	13	1.4	XRF 0	Al KA1-HR-Tr	1.243		0.101		20.2 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.07293		0.419		22.7 um	1.38	23.44								
K	19	1	XRF 0	K  KA1-HR-Tr	2.012		0.0798		60 um	1.03	19.06	K  KB1-HR-Tr	0.1533		0.722		75 um	1.02	19.06								
Fe	26	0.559	XRF 0	Fe KA1-HR-Tr	6.327		0.0456	26.0 PPM	295 um	1	21.51	Fe KB1-HR-Tr	1.103		0.123	185.3 PPM	0.38 mm	1	21.51								
Mg	12	0.44	XRF 0	Mg KA1-HR-Tr	0.3758		0.185		13.2 um	1.75	23.78																
Sm	62	0.16	XRF 0	Sm LA1-HR-Tr	0.171		0.274		208 um	1.01	21.23	Sm LB1-HR-Tr	0.2718		0.217		271 um	1	21.23								
Ti	22	0.15	XRF 0	Ti KA1-HR-Tr	0.3121		0.506		114 um	1.01	21.32	Ti KB1-HR-Tr	0.1514		0.727		146 um	1.01	21.32								
La	57	0.1	XRF 0	La LA1-HR-Tr	0.04953		0.508		124 um	1.01	21.32	La LB1-HR-Tr	0.04953		0.508		153 um	1.01	21.32	La KA1-HR-Tr	0.0677		9.67	323.7 PPM	3.6 cm	1	11.39
P	15	0.089	XRF 0	P  KA1-HR-Tr	0.09051		0.94		15.9 um	1.18	22.22																
Nd	60	0.081	XRF 0	Nd LA1-HR-Tr	0.06811		0.434		170 um	1.01	21.23	Nd LB1-HR-Tr	0.1052		0.872		217 um	1.01	21.23	Nd MA1-HR-Tr	0				7.0 um	2.93	32.61
V	23	0.039	XRF 0	V  KA1-HR-Tr	0.1184		0.822		148 um	1.01	21.32																
Mn	25	0.032	XRF 0	Mn KA1-HR-Tr	0.2746		0.216		236 um	1	21.23	Mn KB1-HR-Tr	0.02344		5.79	231.7 PPM	0.31 mm	1	21.23								
