Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	25.6	XRF 0	Si KA1-HR-Tr	24.26	25.6	0.023		21.5 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.5788	31	0.149		24.8 um	1.23	24.16								
Ca	20	5.22	XRF 0	Ca KA1-HR-Tr	9.952	5.22	0.0359		63 um	1.02	20	Ca KB1-HR-Tr	1.093	3.3	0.108		79 um	1.02	20								
Al	13	2.2	XRF 0	Al KA1-HR-Tr	1.785	2.2	0.0847		15.5 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.00924	0.96	2.94		17.4 um	1.38	23.44								
Mg	12	1.1	XRF 0	Mg KA1-HR-Tr	0.8864	1.1	0.12		10.3 um	1.75	23.78																
K	19	0.82	XRF 0	K  KA1-HR-Tr	1.576	0.82	0.0901		49 um	1.03	19.06	K  KB1-HR-Tr	0.1801	0.58	0.267		60 um	1.02	19.06								
Fe	26	0.603	XRF 0	Fe KA1-HR-Tr	6.333	0.603	0.0461	47.8 PPM	222 um	1	21.51	Fe KB1-HR-Tr	0.7956	0.23	0.377	251.2 PPM	291 um	1	21.51								
Na	11	0.3	XRF 0	Na KA1-HR-Tr	0.04036	0.3	1.41		6.4 um	2.5	32.61																
Ti	22	0.16	XRF 0	Ti KA1-HR-Tr	0.3349	0.16	0.195		85 um	1.01	21.32	Ti KB1-HR-Tr	0.1119	0.21	0.845		108 um	1.01	21.32								
Cl	17	0.15	XRF 0	Cl KA1-HR-Tr	0.166	0.15	0.278		25.3 um	1.08	22.22																
Pr	59	0.12	XRF 0	Pr LA1-HR-Tr	0.08382	0.12	0.391		114 um	1.01	21.32	Pr LB1-HR-Tr	0.08291	0.053	0.982		145 um	1.01	21.23	Pr MA1-HR-Tr	0	0			4.8 um	3.43	32.61
P	15	0.092	XRF 0	P  KA1-HR-Tr	0.0875	0.092	0.382		12.9 um	1.18	22.22																
S	16	0.077	XRF 0	S  KA1-HR-Tr	0.1354	0.077	0.769		17.9 um	1.12	22.22																
Sc	21	0.031	XRF 0	Sc KA1-HR-Tr	0.04953	0.031	0.508		65 um	1.02	21.32																
V	23	0.026	XRF 0	V  KA1-HR-Tr	0.07519	0.026	1.03		110 um	1.01	21.32																
