																											
																											
																											
Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	19.3	XRF 0	Si KA1-HR-Tr	18.76	19.3	0.0261		28.7 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.6646	19	0.139		33 um	1.23	24.16								
Ca	20	1.8	XRF 0	Ca KA1-HR-Tr	3.44	1.8	0.061		79 um	1.02	20	Ca KB1-HR-Tr	0.3697	0.79	0.186		99 um	1.02	20								
Al	13	1.5	XRF 0	Al KA1-HR-Tr	1.302	1.5	0.0992		20.7 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.1142	11	0.335		23.2 um	1.38	23.44								
K	19	1	XRF 0	K  KA1-HR-Tr	2.007	1	0.0799		62 um	1.03	19.06	K  KB1-HR-Tr	0.3283	0.77	0.197		78 um	1.02	19.06								
Na	11	0.5	XRF 0	Na KA1-HR-Tr	0.08146	0.5	0.396		8.5 um	2.5	32.61																
Fe	26	0.467	XRF 0	Fe KA1-HR-Tr	5.288	0.467	0.0502	26.7 PPM	0.30 mm	1	21.51	Fe KB1-HR-Tr	0.9703	0.16	0.137	196.9 PPM	0.39 mm	1	21.51								
Ce	58	0.24	XRF 0	Ce LA1-HR-Tr	0.09905	0.24	0.359		146 um	1.01	21.32	Ce LB1-HR-Tr	0.1375	0.36	0.763		183 um	1.01	21.23								
Mg	12	0.22	XRF 0	Mg KA1-HR-Tr	0.1888	0.22	0.651		13.4 um	1.75	23.78																
P	15	0.18	XRF 0	P  KA1-HR-Tr	0.1851	0.18	0.657		16.6 um	1.18	22.22																
La	57	0.16	XRF 0	La LA1-HR-Tr	0.07883	0.16	0.403		131 um	1.01	21.32	La LB1-HR-Tr	0	0			162 um	1.01	21.32	La KA1-HR-Tr	0.02078	-0.035	30.79	333.8 PPM	3.7 cm	1	11.39
Ti	22	0.12	XRF 0	Ti KA1-HR-Tr	0.2597	0.12	0.222		120 um	1.01	21.32	Ti KB1-HR-Tr	0.00335	-0.001	4.89		154 um	1.01	21.32								
Nd	60	0.11	XRF 0	Nd LA1-HR-Tr	0.1075	0.15	0.863		180 um	1.01	21.23	Nd LB1-HR-Tr	0.06867	0.11	1.08		229 um	1.01	21.23	Nd MA1-HR-Tr	-0.00223	-0.14			7.3 um	2.93	32.61
Sm	62	0.087	XRF 0	Sm LA1-HR-Tr	0.1166	0.087	0.331		219 um	1.01	21.23	Sm LB1-HR-Tr	0.1892	0.2	0.65		279 um	1	21.23								
Sc	21	0.051	XRF 0	Sc KA1-HR-Tr	0.0875	0.051	0.382		92 um	1.02	21.32																
Mn	25	0.038	XRF 0	Mn KA1-HR-Tr	0.3281	0.038	0.198		245 um	1	21.23	Mn KB1-HR-Tr	0.1035	0.021	1.6	237.6 PPM	0.31 mm	1	21.23								
