Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	21.5	XRF 0	Si KA1-HR-Tr	19.81	21.5	0.0254		19.6 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.2702	15	0.544		22.6 um	1.23	24.16								
Ca	20	7.27	XRF 0	Ca KA1-HR-Tr	13.69	7.27	0.0306		62 um	1.02	20	Ca KB1-HR-Tr	1.731	5.3	0.086		78 um	1.02	20								
Mg	12	2.2	XRF 0	Mg KA1-HR-Tr	1.634	2.2	0.0885		9.8 um	1.75	23.78																
Al	13	2.1	XRF 0	Al KA1-HR-Tr	1.664	2.1	0.0877		14.1 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.1032	11	0.352		15.8 um	1.38	23.44								
Na	11	0.98	XRF 0	Na KA1-HR-Tr	0.1317	0.98	0.779		6.2 um	2.5	32.61																
K	19	0.94	XRF 0	K  KA1-HR-Tr	1.797	0.94	0.0844		48 um	1.03	19.06	K  KB1-HR-Tr	0.3163	1	0.201		60 um	1.02	19.06								
S	16	0.91	XRF 0	S  KA1-HR-Tr	1.662	0.91	0.0878		19.0 um	1.12	22.22																
Cl	17	0.87	XRF 0	Cl KA1-HR-Tr	0.9794	0.87	0.114		26.1 um	1.08	22.22																
Fe	26	0.859	XRF 0	Fe KA1-HR-Tr	8.295	0.859	0.0399	46.6 PPM	199 um	1	21.51	Fe KB1-HR-Tr	1.434	0.47	0.105	285.9 PPM	261 um	1	21.51								
La	57	0.1	XRF 0	La LA1-HR-Tr	0.04953	0.1	0.508		84 um	1.01	21.32	La LB1-HR-Tr	0	0			104 um	1.01	21.32	La KA1-HR-Tr	0.1476	0.068	4.31	372.0 PPM	24.3 mm	1	11.39
