Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	24.2	XRF 0	Si KA1-HR-Tr	22.27	24.2	0.024		18.4 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.3548	19	0.19		21.2 um	1.23	24.16								
Ca	20	7.55	XRF 0	Ca KA1-HR-Tr	14.6	7.55	0.0296		60 um	1.02	20	Ca KB1-HR-Tr	1.675	5.2	0.0874		75 um	1.02	20								
Al	13	2.8	XRF 0	Al KA1-HR-Tr	2.217	2.8	0.076		13.5 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.08317	9	0.981		15.2 um	1.38	23.44								
Na	11	1.3	XRF 0	Na KA1-HR-Tr	0.1746	1.3	0.271		5.8 um	2.5	32.61																
Mg	12	1.2	XRF 0	Mg KA1-HR-Tr	0.9189	1.2	0.118		9.0 um	1.75	23.78																
Fe	26	1.07	XRF 0	Fe KA1-HR-Tr	10.66	1.07	0.0351	46.1 PPM	191 um	1	21.51	Fe KB1-HR-Tr	1.823	0.61	0.0905	271.3 PPM	252 um	1	21.51								
K	19	0.82	XRF 0	K  KA1-HR-Tr	1.597	0.82	0.0895		46 um	1.03	19.06	K  KB1-HR-Tr	0.3078	1	0.204		58 um	1.02	19.06								
Ti	22	0.3	XRF 0	Ti KA1-HR-Tr	0.5788	0.3	0.149		74 um	1.01	21.32	Ti KB1-HR-Tr	0.1753	0.37	0.27		95 um	1.01	21.32								
La	57	0.095	XRF 0	La LA1-HR-Tr	0.04953	0.095	0.508		80 um	1.01	21.32	La LB1-HR-Tr	0.00611	0.009	3.62		99 um	1.01	21.32	La KA1-HR-Tr	0.5671	0.24	1.14	359.3 PPM	23.4 mm	1	11.39
Cl	17	0.063	XRF 0	Cl KA1-HR-Tr	0.07007	0.063	1.07		24.1 um	1.08	22.22																
V	23	0.046	XRF 0	V  KA1-HR-Tr	0.1292	0.046	0.315		96 um	1.01	21.32																
P	15	0.041	XRF 0	P  KA1-HR-Tr	0.03972	0.041	1.42		12.2 um	1.18	22.22																
