Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	19.8	XRF 0	Si KA1-HR-Tr	18.95	19.8	0.026		22.7 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.3246	11	0.496		26.2 um	1.23	24.16								
Ca	20	5.2	XRF 0	Ca KA1-HR-Tr	9.814	5.2	0.0361		68 um	1.02	20	Ca KB1-HR-Tr	1.088	2.7	0.108		85 um	1.02	20								
Al	13	1.4	XRF 0	Al KA1-HR-Tr	1.125	1.4	0.107		16.0 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.03914	4	0.572		18.0 um	1.38	23.44								
Fe	26	1.19	XRF 0	Fe KA1-HR-Tr	11.68	1.19	0.0334	32.5 PPM	218 um	1	21.51	Fe KB1-HR-Tr	1.931	0.48	0.0865	205.6 PPM	281 um	1	21.51								
K	19	1.1	XRF 0	K  KA1-HR-Tr	2.237	1.1	0.0756		54 um	1.03	19.06	K  KB1-HR-Tr	0.4329	1.1	0.172		67 um	1.02	19.06								
Mg	12	0.59	XRF 0	Mg KA1-HR-Tr	0.4769	0.59	0.164		10.6 um	1.75	23.78																
Nd	60	0.31	XRF 0	Nd LA1-HR-Tr	0.07874	0.035	1.01		129 um	1.01	21.23	Nd LB1-HR-Tr	0.223	0.31	0.24		165 um	1.01	21.23	Nd MA1-HR-Tr	0	0			5.7 um	2.93	32.61
Ti	22	0.3	XRF 0	Ti KA1-HR-Tr	0.6015	0.3	0.146		88 um	1.01	21.32	Ti KB1-HR-Tr	0.2774	0.48	0.215		112 um	1.01	21.32								
P	15	0.21	XRF 0	P  KA1-HR-Tr	0.2176	0.21	0.243		14.4 um	1.18	22.22																
Na	11	0.2	XRF 0	Na KA1-HR-Tr	0.02846	0.2	1.68		6.6 um	2.5	32.61																
Ce	58	0.17	XRF 0	Ce LA1-HR-Tr	0.07883	0.068	0.403		106 um	1.01	21.32	Ce LB1-HR-Tr	0.0712	0.17	0.424		131 um	1.01	21.23								
