Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	20.5	XRF 0	Si KA1-HR-Tr	19.88	20.5	0.0254		27.7 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.4849	14	0.162		32 um	1.23	24.16								
Ca	20	1.9	XRF 0	Ca KA1-HR-Tr	3.684	1.9	0.0589		76 um	1.02	20	Ca KB1-HR-Tr	0.527	1.2	0.156		96 um	1.02	20								
Al	13	1.7	XRF 0	Al KA1-HR-Tr	1.48	1.7	0.093		20.1 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.07827	7.7	0.404		22.6 um	1.38	23.44								
K	19	0.77	XRF 0	K  KA1-HR-Tr	1.49	0.77	0.0927		59 um	1.03	19.06	K  KB1-HR-Tr	0.2082	0.52	0.62		74 um	1.02	19.06								
Fe	26	0.621	XRF 0	Fe KA1-HR-Tr	7.092	0.621	0.0433	30.8 PPM	298 um	1	21.51	Fe KB1-HR-Tr	1.419	0.24	0.106	188.9 PPM	0.39 mm	1	21.51								
Na	11	0.47	XRF 0	Na KA1-HR-Tr	0.07475	0.47	0.414		8.1 um	2.5	32.61																
P	15	0.29	XRF 0	P  KA1-HR-Tr	0.2976	0.29	0.207		16.0 um	1.18	22.22																
Mg	12	0.22	XRF 0	Mg KA1-HR-Tr	0.1873	0.22	0.654		13.0 um	1.75	23.78																
Ti	22	0.21	XRF 0	Ti KA1-HR-Tr	0.4498	0.21	0.169		117 um	1.01	21.32	Ti KB1-HR-Tr	0.1143	0.13	0.837		149 um	1.01	21.32								
Ba	56	0.16	XRF 0	Ba LA1-HR-Tr	0.0875	0.16	0.382		113 um	1.01	21.32	Ba LB1-HR-Tr	0.02995	0.031	1.63		141 um	1.01	21.32	Ba KA1-HR-Tr	1.032	0.35	0.701	163.6 PPM	3.2 cm	1	11.39
Cl	17	0.12	XRF 0	Cl KA1-HR-Tr	0.1298	0.12	0.314		31 um	1.08	22.22																
Pr	59	0.11	XRF 0	Pr LA1-HR-Tr	0.07219	0.11	1.05		156 um	1.01	21.32	Pr LB1-HR-Tr	0.3214	0.53	0.2		197 um	1.01	21.23	Pr MA1-HR-Tr	0	0			6.2 um	3.43	32.61
Nd	60	0.086	XRF 0	Nd LA1-HR-Tr	0.06193	0.086	1.14		173 um	1.01	21.23	Nd LB1-HR-Tr	0.09217	0.15	0.932		220 um	1.01	21.23	Nd MA1-HR-Tr	0.02105	1.3	0.78		7.0 um	2.93	32.61
S	16	0.058	XRF 0	S  KA1-HR-Tr	0.1038	0.058	0.878		22.0 um	1.12	22.22																
Mn	25	0.046	XRF 0	Mn KA1-HR-Tr	0.398	0.046	0.215	34.2 PPM	240 um	1	21.23	Mn KB1-HR-Tr	0.07679	0.013	2.19	264.2 PPM	0.31 mm	1	21.23								
Sr	38	0.033	XRF 0	Sr KA1-HR-Tr	1.14	0.033	0.183	10.4 PPM	2.74 mm	1	18.25	Sr KB1-HR-Tr	1.709	-0.17	0.353	73.7 PPM	3.8 mm	1	17.3	Sr LA1-HR	0.03881	-0.004	1.44		31 um	1.24	24.16
Sc	21	0.029	XRF 0	Sc KA1-HR-Tr	0.04953	0.029	0.508		89 um	1.02	21.32																
Cr	24	0.025	XRF 0	Cr KA1-HR-Tr	0.1368	0.025	0.306		189 um	1.01	21.23	Cr KB1-HR-Tr	0.0299	0.01	4.39	289.9 PPM	246 um	1	21.23								
Zr	40	0.02	XRF 0	Zr KA1-HR-Tr	2.045	0.02	0.122	11.3 PPM	3.8 mm	1	17.3	Zr KB1-HR-Tr	0.3742	0.062	1.58	60.9 PPM	5.2 mm	1	17.3	Zr LA1-HR	0	0			16.5 um	1.17	22.22
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Fast Screening-He8mm	Input																								
Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
SiO2	14	44.3	XRF 1	Si KA1-HR-Tr	20.21	44.3	0.0252		29.1 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.3768	23	0.461		34 um	1.23	24.16								
Al2O3	13	2.9	XRF 1	Al KA1-HR-Tr	1.332	2.9	0.098		20.9 um	1.43	23.44	Al KB1-HR-Tr/Ox	-0.00394	-0.73			23.6 um	1.38	23.44								
CaO	20	2.1	XRF 1	Ca KA1-HR-Tr	2.844	2.1	0.0671		78 um	1.02	20	Ca KB1-HR-Tr	0.2376	0.73	0.58		98 um	1.02	20								
K2O	19	0.89	XRF 1	K  KA1-HR-Tr	1.418	0.89	0.095		61 um	1.03	19.06	K  KB1-HR-Tr	0.3635	1.1	0.188		76 um	1.02	19.06								
Fe2O3	26	0.621	XRF 1	Fe KA1-HR-Tr	5.08	0.621	0.0515	41.8 PPM	0.31 mm	1	21.51	Fe KB1-HR-Tr	0.9933	0.23	0.132	260.0 PPM	0.41 mm	1	21.51								
CeO2	58	0.35	XRF 1	Ce LA1-HR-Tr	0.1368	0.35	0.306		150 um	1.01	21.32	Ce LB1-HR-Tr	-0.00306	-0.01			187 um	1.01	21.23								
MnO	25	0.041	XRF 1	Mn KA1-HR-Tr	0.2783	0.041	0.214		252 um	1	21.23	Mn KB1-HR-Tr	-0.04317	-0.02		321.8 PPM	0.33 mm	1	21.23								
SrO	38	0.032	XRF 1	Sr KA1-HR-Tr	0.9393	0.032	0.211	11.2 PPM	2.98 mm	1	18.25	Sr KB1-HR-Tr	1.576	-0.087	0.15	77.8 PPM	4.2 mm	1	17.3	Sr LA1-HR	0.04105	-0.004	1.4		32 um	1.24	24.16
ZrO2	40	0.018	XRF 1	Zr KA1-HR-Tr	1.576	0.018	0.15	14.0 PPM	4.1 mm	1	17.3	Zr KB1-HR-Tr	0.03147	0.007	17.76	75.6 PPM	5.7 mm	1	17.3	Zr LA1-HR	0	0			16.8 um	1.17	22.22
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Fast Screening-He8mm	Input																								
