trip	n_sampled_sites	n_sites_with_kernel_exposure_at_least_0_01_mm	kernel_weighted_rain_mm_minimum	kernel_weighted_rain_mm_median	kernel_weighted_rain_mm_maximum	rain_1_to_4_complete_days_mm_maximum	rain_1_to_60_complete_days_mm_maximum
1	59	55	4.6436177226487936e-10	3.7429454460710536	15.006617651015937	17.24	20.330000000000002
2	7	0	7.993288741310218e-08	1.2324056654375836e-07	3.251392991364934e-07	0.0	32.99
3	60	60	0.12	0.6335405996153634	1.4634902843645599	0.4	20.150000000000002
4	60	60	0.03335302908974527	0.3708391934552535	4.641161669694273	2.75	25.779999999999998
5	56	7	2.1080343567983054e-09	9.293302859096033e-06	0.061818301454355594	0.0	27.83
