Trip	Site	Type	elemental_pc1	elemental_pc1_global_sensitivity
1	1	Deep	2.148104340969962	2.0492341767545055
1	1	Rhizosphere	1.9209168453799863	1.8995055105934173
1	1	Surface	-1.959368261140494	-1.4313194982458721
1	2	Deep	-1.010666892114196	-0.5851514843439166
1	2	Rhizosphere	-0.4936462950642177	-0.19891162298987344
1	2	Surface	-1.9297700350591944	-1.3975159968098971
1	3	Deep	-1.8256128136332312	-1.3300144519343469
1	3	Rhizosphere	-2.9662293117052836	-2.2870697233723503
1	3	Surface	-2.4678592627167077	-1.8660773274759195
1	4	Deep	-0.7111097371498051	-0.41011954262415307
1	4	Rhizosphere	-3.143265325678815	-2.4545501517434234
1	4	Surface	-2.1650797273003595	-1.6247654587060723
1	5	Deep	3.007391567151259	2.764806750899103
1	5	Surface	-0.20675011774745225	0.06836308465887135
1	6	Deep	0.5684276591573623	0.6816587351358123
1	6	Rhizosphere	-1.3987360985758759	-0.9940082217362837
1	6	Surface	-3.1322761774484422	-2.418925259855293
1	7	Deep	0.22835001665126473	0.4263422368923684
1	7	Rhizosphere	-1.677560404653035	-1.25665302183023
1	7	Surface	0.5636535058760093	0.7224286999958949
1	8	Deep	-2.18952460459957	-1.6377870771826062
1	8	Rhizosphere	-2.178868047388594	-1.5812031483548434
1	8	Surface	-2.722310398515943	-2.103418635871824
1	9	Deep	-0.0703814031985373	0.2017521770945219
1	9	Rhizosphere	-1.0965921254525024	-0.7609134980220269
1	9	Surface	-0.30004174707100856	-0.007627286341326913
1	10	Deep	-0.8060237199033837	-0.4363712206141
1	10	Rhizosphere	-1.7129692918237136	-1.223545137884281
1	10	Surface	-0.6985677099444842	-0.40156376039792163
1	11	Deep	0.15031660027657603	0.4232237047116162
1	11	Rhizosphere	-0.8666310621310042	-0.4294699827230882
1	11	Surface	-0.5413500644758301	-0.21247562142132195
1	12	Deep	-2.3611124824460212	-1.668409525116033
1	12	Rhizosphere	-3.377143228368803	-2.6855638625397242
1	12	Surface	-2.508049317226038	-1.8839921265912374
1	13	Deep	-1.5636885225111383	-1.0475704506839967
1	13	Surface	-1.6325541255814469	-1.146014068420373
1	14	Deep	-1.7917873595467448	-1.2234536251949752
1	14	Rhizosphere	-0.3513119788168605	-0.11120141178338812
1	14	Surface	0.15519749399583072	0.4156043466983239
1	15	Deep	-1.0033041566444827	-0.6313415133520766
1	15	Rhizosphere	-0.6927363840404321	-0.3065961053085205
1	15	Surface	-1.077395063083111	-0.6390783227680701
1	16	Deep	-1.2424356429293368	-0.7616932579846202
1	16	Rhizosphere	-2.114091128739671	-1.5981313398022166
1	16	Surface	-1.7242398685596845	-1.2020689829862456
1	17	Deep	-2.2244175946889397	-1.627284561696142
1	17	Rhizosphere	-1.8435644510686526	-1.283219117125786
1	17	Surface	-1.6798867827179051	-1.139924148979732
1	18	Deep	0.02666180426136626	0.2908992208241986
1	18	Rhizosphere	-1.7406996470705562	-1.1850495813948436
1	18	Surface	-1.0152824839342425	-0.5910485122172342
1	19	Deep	-0.557033703960299	-0.15993563383699563
1	19	Rhizosphere	-1.53503801702525	-1.0600572646081148
1	19	Surface	-2.6972390649448164	-2.024080484696077
1	20	Deep	-1.8745054287189102	-1.3012631091234266
1	20	Rhizosphere	-1.9896014935616417	-1.4833750762762294
1	20	Surface	-0.30467381212062045	0.04938302363831291
1	21	Deep	-1.3840009628166914	-0.9173757264664879
1	21	Rhizosphere	-2.725534267733994	-2.044177109527783
1	21	Surface	-0.8659363582674906	-0.5002166155022316
1	22	Deep	-2.406971535433607	-1.786057395247853
1	22	Rhizosphere	-2.0465437811228395	-1.4650163456599063
1	22	Surface	-1.8906303474927817	-1.3418982133652537
1	23	Deep	-0.7282690076963615	-0.31700087842528407
1	23	Rhizosphere	-2.267152669288406	-1.6578382330617918
1	23	Surface	0.39038942437109225	0.5806078536622216
1	24	Deep	-0.9725464613519643	-0.564184327972187
1	24	Rhizosphere	-0.49275423794106843	-0.10727553892737433
1	24	Surface	-1.7312102076679916	-1.265767953697874
1	25	Deep	0.3139821510685936	0.558124353001493
1	25	Rhizosphere	-1.7672444933331433	-1.2751627966533479
1	25	Surface	-2.0049438928801084	-1.4786536831692518
1	26	Deep	-1.6495776020478257	-1.1666174241150924
1	26	Rhizosphere	-0.5327539594989231	-0.25233785898111905
1	26	Surface	-2.91673449645337	-2.2310221407256385
1	27	Deep	-1.9349760994483516	-1.467548880063891
1	27	Rhizosphere	-0.7345566490365487	-0.4560519256153295
1	27	Surface	-0.4358345677964759	-0.15648588680526043
1	28	Deep	-1.9759782755839217	-1.4724028408941865
1	28	Rhizosphere	-2.1241499250068707	-1.5422644549273277
1	28	Surface	0.7416130945391853	0.8770035112550113
1	29	Deep	2.7059478513630197	2.606630542900521
1	29	Rhizosphere	-2.963867879136758	-2.21735737613018
1	29	Surface	-0.181610558497548	0.10545224381926692
1	30	Deep	0.6031741618057388	0.7401931110867673
1	30	Rhizosphere	-0.2878384435178732	-0.04895328591314763
1	30	Surface	0.667718093394068	0.824843528855178
1	31	Deep	-1.0554446786670537	-0.6384622638085684
1	31	Rhizosphere	0.774385128414532	0.9220295851435296
1	31	Surface	0.4581516582531418	0.7273217619182923
1	32	Deep	2.0248809662854454	1.952178421371032
1	32	Rhizosphere	2.1903319641538306	2.1422305058094993
1	32	Surface	1.6257629822056463	1.6633664360744902
1	33	Deep	-1.1278629849994015	-0.7235571113586577
1	33	Rhizosphere	-1.5342904049460984	-1.0625471127504027
1	33	Surface	2.099640553126637	2.070672322241704
1	34	Deep	0.8480300900259148	0.9408303214959787
1	34	Rhizosphere	-1.1357192399001048	-0.765726649873964
1	34	Surface	-0.8546837870556027	-0.4604653312998038
1	35	Deep	-1.8291222567439067	-1.2935177588481084
1	35	Rhizosphere	-2.401962355670321	-1.8198106227339412
1	35	Surface	1.256504507295597	1.3153221406160251
1	36	Deep	-0.42429022045797465	-0.12375347704010571
