path	role	workflow	format	bytes	sha256
analysis/v2/review/cache/genus_counts.tsv	derived_community_join_source	community	tsv	8401418	324d19da3669d489a42b60e0bdd6ca7f3238308bbadc72b8a28ae6098ddc8481
data/metadata/protocols/measurement/XRF_measurement.md	field_protocol	field	md	317	a9ce046589a5398ec7f8979bb4b4121df609efdd7c2dfdd5e3da31035a13cbef
data/metadata/xrf/xrf-measurements.tsv	field_session_log	field	tsv	5919	41f5c47030b74e96d8c6ff5964a51a7bad9869023780ac61bf5ee7a76eb9ed47
data/processed/geochemistry/xrf/Site_10/Test_5847/vanta_data_5847.csv	field_instrument_export	field	csv	2738	736cee2961a97d987865138013bdca2de6291a75a4bd5ed807baad182b729353
data/processed/geochemistry/xrf/Site_10/Test_5848/vanta_data_5848.csv	field_instrument_export	field	csv	2738	539bcb37d0cede38368f19fe62d44a5c6ae06bb3c11916d433ce5bfae2c0f784
data/processed/geochemistry/xrf/Site_11/Test_5853/vanta_data_5853.csv	field_instrument_export	field	csv	2738	3a2d4d7ef93f962caa7b211aab85d87b6ed47a2be804d9a1ed4a72002007784a
data/processed/geochemistry/xrf/Site_12/Test_5854/vanta_data_5854.csv	field_instrument_export	field	csv	2738	a07c0f92dac16a7cdb79ce9410064eaaec6475b555c7c199e17d079de9bcc3a6
data/processed/geochemistry/xrf/Site_13/Test_5855/vanta_data_5855.csv	field_instrument_export	field	csv	2738	1fb7ebc12da64b508a5a035a72cbac8e8c14e6eaef2e6427048ce2e15f90c5f3
data/processed/geochemistry/xrf/Site_14/Test_5857/vanta_data_5857.csv	field_instrument_export	field	csv	2738	b998bc0ce3ddb5e1846b2bac530a40f83203c5fa1c5b3211560d0211bb17307b
data/processed/geochemistry/xrf/Site_15/Test_5859/vanta_data_5859.csv	field_instrument_export	field	csv	2738	7b530da3f0942d2bddb154d4dca81208ea21da963ff07e3c89ff628b25667170
data/processed/geochemistry/xrf/Site_16/Test_5860/vanta_data_5860.csv	field_instrument_export	field	csv	2738	9cdddbd4a82429eaa349a59c97e40f7331b546e6a68de1e09dc8857babcda83b
data/processed/geochemistry/xrf/Site_17/Test_5864/vanta_data_5864.csv	field_instrument_export	field	csv	2738	745e89ff3e3aa424718b725c3f931165e0c6b7d24e4dda8114c7f30f96e99144
data/processed/geochemistry/xrf/Site_18/Test_5865/vanta_data_5865.csv	field_instrument_export	field	csv	2738	7b51c78162cb5ef78f851cefa9ac629fb8ca561f153ddd1ef557bd516ce45ca1
data/processed/geochemistry/xrf/Site_19/Test_5868/vanta_data_5868.csv	field_instrument_export	field	csv	2738	a454bb767ac497c49d06c79062092e0f6e1069610c80baf170df83b2bfdbac3c
data/processed/geochemistry/xrf/Site_2/Test_5830/vanta_data_5830.csv	field_instrument_export	field	csv	2738	1fe16b0f92763a529922cf3e45fd8a8e42b375bdc30d4a15afa762ede9d0b3c3
data/processed/geochemistry/xrf/Site_20/Test_5869/vanta_data_5869.csv	field_instrument_export	field	csv	2738	b168998eb22ce502500046a0b53dd6fe8faaa36b73a3d03ff331c09bf65ddf51
data/processed/geochemistry/xrf/Site_21/Test_5870/vanta_data_5870.csv	field_instrument_export	field	csv	2738	072a8dd0635103d5343939391eac04a4a67d133685ef6d40faf5364aad943769
