site	field_sessions	lab_sample_id	match_level	field_Al	lab_Al	field_Ba	lab_Ba	field_Ca	lab_Ca	field_Ce	lab_Ce	field_Co	lab_Co	field_Cr	lab_Cr	field_Cu	lab_Cu	field_Fe	lab_Fe	field_K	lab_K	field_La	lab_La	field_Mg	lab_Mg	field_Mn	lab_Mn	field_Mo	lab_Mo	field_Nd	lab_Nd	field_Ni	lab_Ni	field_P	lab_P	field_Pr	lab_Pr	field_S	lab_S	field_Si	lab_Si	field_Sr	lab_Sr	field_Ti	lab_Ti	field_V	lab_V	field_Zn	lab_Zn	field_Zr	lab_Zr
41	1	V41Dr1	site_to_Trip5_Deep	1.5353	1.2	0.0156	0.21	2.8719	7.49	0	0	0	0	0.0219	0.026	0.0012	0	0.595	0.614	0.7912	0.85	0	0.11	0.7726	2	0.0157	0	0.0008	0	0	0	0.002	0	0	0.045	0	0.024	0.6287	4.31	18.5469	14.7	0.0183	0.045	0.1455	0.089	0	0.017	0.0013	0	0.0104	0.036
42	1	V42Dr1	site_to_Trip5_Deep	1.0049	1.3	0.016	0	0.3617	1.7	0	0	0	0.007	0	0.009	0	0	0.1954	0.316	0.3625	0.71	0	0	0.4143	0.76	0.0041	0.012	0.0004	0	0	0.13	0	0.019	0	0.11	0	0.04	0.0268	0	34.0349	27.3	0.0063	0	0.0646	0.072	0	0.027	0.0006	0	0.0049	0
43	1	V43Dr1	site_to_Trip5_Deep	1.5541	2.2	0.0294	0	0.2157	5.22	0	0	0	0	0	0	0	0	0.1566	0.603	0.5305	0.82	0.0085	0	1.0034	1.1	0.0034	0	0	0	0	0	0	0	0	0.092	0	0.12	0	0.077	39.1433	25.6	0.0054	0.012	0	0.16	0	0.026	0	0	0.0038	0.015
44	1	V44Dr1	site_to_Trip5_Deep	1.7741	1.8	0.0286	0.08	0.8378	3.33	0	0	0	0	0.0131	0.023	0	0	0.4626	0.441	0.7182	0.81	0	0.097	0.9257	0.88	0.0096	0	0.0004	0	0	0	0.0011	0	0	0.051	0	0.02	0	0.033	36.5279	24.4	0.0182	0.025	0.0686	0.11	0	0	0.001	0	0.0227	0
45	1	V45Dr1	site_to_Trip5_Deep	0.4186	2	0.0057	0	3.2859	5.64	0	0	0	0	0.0509	0	0	0	0.8262	0.874	0.6033	0.96	0.0026	0	0	1.9	0.0234	0	0.0018	0	0	0	0.0021	0	0	0.048	0	0	0.2521	0.58	9.0003	18.2	0.0219	0.045	0.2706	0.26	0	0.014	0.0025	0	0.0227	0.048
46	1	V46Dr1	site_to_Trip5_Deep	1.1723	1.9	0.0132	0	0.191	4.31	0	0	0	0	0	0	0	0	0.1533	0.539	0.0811	0.66	0.0106	0.093	0.8421	1.1	0.0043	0.023	0	0	0	0	0	0	0.0073	0	0	0.001	0.0211	0.05	38.5478	26.1	0.0012	0	0.0278	0.11	0	0.022	0.0004	0	0.0022	0
47	1	V47Dr1	site_to_Trip5_Deep	0.7175	1.6	0.0173	0	0.1357	3.76	0	0	0	0	0	0	0	0	0.1957	0.526	0.2258	0.72	0.0069	0	0.4896	0.93	0.005	0	0	0	0.0228	0	0	0	0	0.053	0	0	0.0403	0.029	35.6077	27.2	0.0056	0.033	0.0472	0.21	0	0.024	0.0008	0	0.0037	0.009
48	2	V48Dr1	site_to_Trip5_Deep	0.21795	2.2	0.00835	0	0.30575	11.5	0	0	0	0	0	0	0.00075	0	0.2193	1.26	0.14485	1.1	0	0.11	0	3.3	0.00265	0	0.0013	0	0	0	0	0	0	0.057	0	0	0.207	1.6	25.13955	13	0.006	0.03	0.066	0.27	0	0.019	0.00045	0	0.00475	0.049
49	1	V49Dr1	site_to_Trip5_Deep	1.2983	2.2	0.0282	0	0.1323	2.83	0	0	0	0	0	0	0	0	0.2251	0.474	0.5129	0.7	0	0	0.8882	0.86	0.0056	0	0	0	0	0	0	0	0	0.11	0.02	0	0	0.049	39.9093	27.9	0.0075	0.024	0.0256	0.15	0	0	0.001	0	0.0053	0
50	1	V50Dr1	site_to_Trip5_Deep	1.5675	0.77	0.0236	0	0.179	0.59	0	0	0	0	0	0.03	0	0	0.2108	0.23	0.7494	0.55	0	0	0.8522	0.6	0.0051	0	0	0	0	0.13	0	0	0	0	0	0.064	0	0.032	38.4311	29.5	0.0047	0	0.025	0.038	0	0.02	0.0004	0	0.004	0
51	1	V51Dr1	site_to_Trip5_Deep	1.1944	1.2	0.01	0	4.4839	5.77	0	0	0	0	0.0412	0.044	0	0	0.9096	0.905	0.6958	0.8	0	0	0	4.8	0.024	0	0.0009	0	0	0.14	0.0031	0	0	0	0	0.12	0.9719	3.24	17.2715	16.1	0.0214	0.049	0.22	0.2	0	0.031	0.0024	0	0.025	0.014
52	5	V52Dr1	site_to_Trip5_Deep	0.6831	1.5	0.011	0	2.4208	7.65	0	0.3	0	0	0.0228	0.095	0	0	0.8203	0.969	0.6297	0.87	0	0.2	0	2.6	0.0188	0	0.001	0	0	0.062	0.0028	0	0	0.017	0	0	0.2094	2.78	23.9177	17	0.0236	0.036	0.2227	0.21	0	0	0.0014	0	0.0104	0.017
53	1	V53Dr1	site_to_Trip5_Deep	0.9053	1.7	0.0152	0	0.1751	0.92	0	0	0	0	0	0	0	0	0.2412	0.32	0.4854	1.1	0.0063	0	0.4888	1.1	0.0078	0	0	0	0	0	0	0	0	0	0	0	0.0264	0.24	34.361	27.5	0.0044	0	0.0355	0.067	0	0.032	0.0005	0	0.004	0.028
54	2	V54Dr1	site_to_Trip5_Deep	1.09485	1.9	0.0065	0	3.93445	9.15	0.0032	0	0	0	0.03815	0.048	0.00065	0	0.49065	0.957	0.3637	0.99	0	0.1	0	1.5	0.01175	0	0.00175	0	0.00325	0	0.0013	0	0	0.053	0	0.04	1.9917	1.5	7.30445	20.3	0.1217	0.015	0.15265	0.23	0	0.032	0.0012	0	0.00915	0.015
55	1	V55Dr1	site_to_Trip5_Deep	1.9788	0.96	0.0187	0.099	7.023	8.12	0	0	0	0	0.017	0.087	0.001	0	0.8629	0.845	0.7143	0.87	0	0	2.0503	2.5	0.0224	0	0	0	0	0	0.0031	0	0	0.034	0	0	1.1605	2.31	17.9783	8.25	0.2452	0.554	0.1908	0.17	0	0.035	0.0017	0	0.0133	0
56	3	V56Dr1	site_to_Trip5_Deep	1.1395	1.7	0.021	0	2.5093	3.86	0	0	0	0	0.0164	0.031	0	0	0.4558	0.456	0.5796	0.99	0	0	0.9242	1.3	0.0057	0.047	0.0007	0	0.0092	0.097	0	0	0	0	0	0.075	0.1784	0.23	26.4678	20.9	0.0117	0.054	0.1175	0.081	0	0	0.0005	0	0.0071	0
57	2	V57Dr1	site_to_Trip5_Deep	1.38535	1	0.01835	0	1.40075	2.49	0	0.17	0	0	0.00315	0	0	0	0.27835	0.464	0.5059	0.71	0	0.092	2.39785	1.1	0.0075	0	0	0	0	0	0.0007	0	0.0187	0.052	0	0	0.95805	0.16	25.7377	26.5	0.00865	0	0.05505	0.024	0	0.022	0.00065	0	0.00695	0.027
58	1	V58Dr1	site_to_Trip5_Deep	1.0964	2.1	0.016	0.053	2.3153	7.27	0	0	0	0	0	0.081	0	0	0.4213	0.859	0.8296	0.94	0	0.1	1.0913	2.2	0.0103	0	0.0009	0	0.0146	0.073	0.0015	0	0	0.05	0	0	0.8293	0.91	24.8372	21.5	0.0169	0.018	0.0929	0.1	0	0.038	0.001	0	0.013	0.033
59	1	V59Dr1	site_to_Trip5_Deep	0.2085	1.5	0.0026	0	9.6074	3.3	0	0	0	0	0	0	0	0	0.3196	0.488	0.2042	0.74	0	0.093	0	2.1	0	0	0	0	0.0102	0	0	0	0	0.064	0.0075	0	7.303	1.3	2.5286	23	0.3138	0.012	0	0.099	0	0.028	0	0	0.0035	0.016
60	1	V60Dr1	site_to_Trip5_Deep	0.811	1.3	0.0142	0.064	0.389	1.1	0	0	0	0	0	0.027	0	0	0.2124	0.31	0.5583	0.62	0	0	0.6177	1	0.0058	0	0.0007	0	0.019	0	0	0	0	0	0	0.043	0.1972	0.31	31.3817	26.6	0.0077	0	0	0.063	0	0.015	0	0	0.0089	0
