source_sheet	source_row	sample_id	trip	site	compartment	recorded_replicate	recorded_specimen_iri	confirmed_sample_id	confirmed_replicate	confirmed_specimen_iri	disposition	evidence_id	application_status
Trip 4	23	S8Dr1	4	8	Deep	1	https://rubalkhali.science/kb/RAK_6001252	S8Dr2	2	https://rubalkhali.science/kb/RAK_6001253	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	24	S8PRr1	4	8	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001258	S8PRr2	2	https://rubalkhali.science/kb/RAK_6001259	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	25	S9Sr1	4	9	Surface	1	https://rubalkhali.science/kb/RAK_6001264	S9Sr2	2	https://rubalkhali.science/kb/RAK_6001265	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	26	S9Dr1	4	9	Deep	1	https://rubalkhali.science/kb/RAK_6001261	S9Dr2	2	https://rubalkhali.science/kb/RAK_6001262	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	27	S9PRr1	4	9	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001267	S9PRr2	2	https://rubalkhali.science/kb/RAK_6001268	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	28	S10Sr1	4	10	Surface	1	https://rubalkhali.science/kb/RAK_6001273	S10Sr2	2	https://rubalkhali.science/kb/RAK_6001274	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	29	S10Dr1	4	10	Deep	1	https://rubalkhali.science/kb/RAK_6001270	S10Dr2	2	https://rubalkhali.science/kb/RAK_6001271	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	30	S10PRr1	4	10	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001276	S10PRr2	2	https://rubalkhali.science/kb/RAK_6001277	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	31	S11Sr1	4	11	Surface	1	https://rubalkhali.science/kb/RAK_6001282	S11Sr2	2	https://rubalkhali.science/kb/RAK_6001283	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	32	S11Dr1	4	11	Deep	1	https://rubalkhali.science/kb/RAK_6001279	S11Dr2	2	https://rubalkhali.science/kb/RAK_6001280	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	33	S11PRr1	4	11	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001285	S11PRr2	2	https://rubalkhali.science/kb/RAK_6001286	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	34	S12Sr1	4	12	Surface	1	https://rubalkhali.science/kb/RAK_6001291	S12Sr2	2	https://rubalkhali.science/kb/RAK_6001292	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	35	S12Dr1	4	12	Deep	1	https://rubalkhali.science/kb/RAK_6001288	S12Dr2	2	https://rubalkhali.science/kb/RAK_6001289	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	36	S12PRr1	4	12	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001294	S12PRr2	2	https://rubalkhali.science/kb/RAK_6001295	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	37	S13Sr1	4	13	Surface	1	https://rubalkhali.science/kb/RAK_6001300	S13Sr2	2	https://rubalkhali.science/kb/RAK_6001301	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	38	S13Dr1	4	13	Deep	1	https://rubalkhali.science/kb/RAK_6001297	S13Dr2	2	https://rubalkhali.science/kb/RAK_6001298	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	39	S13PRr1	4	13	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001303	S13PRr2	2	https://rubalkhali.science/kb/RAK_6001304	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	40	S14Sr1	4	14	Surface	1	https://rubalkhali.science/kb/RAK_6001309	S14Sr2	2	https://rubalkhali.science/kb/RAK_6001310	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	41	S14Dr1	4	14	Deep	1	https://rubalkhali.science/kb/RAK_6001306	S14Dr2	2	https://rubalkhali.science/kb/RAK_6001307	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	42	S14PRr1	4	14	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001312	S14PRr2	2	https://rubalkhali.science/kb/RAK_6001313	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	43	S15Sr1	4	15	Surface	1	https://rubalkhali.science/kb/RAK_6001318	S15Sr2	2	https://rubalkhali.science/kb/RAK_6001319	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	44	S15Dr1	4	15	Deep	1	https://rubalkhali.science/kb/RAK_6001315	S15Dr2	2	https://rubalkhali.science/kb/RAK_6001316	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	45	S15PRr1	4	15	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001321	S15PRr2	2	https://rubalkhali.science/kb/RAK_6001322	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	46	S16Sr1	4	16	Surface	1	https://rubalkhali.science/kb/RAK_6001327	S16Sr2	2	https://rubalkhali.science/kb/RAK_6001328	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	47	S16Dr1	4	16	Deep	1	https://rubalkhali.science/kb/RAK_6001324	S16Dr2	2	https://rubalkhali.science/kb/RAK_6001325	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	48	S16PRr1	4	16	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001330	S16PRr2	2	https://rubalkhali.science/kb/RAK_6001331	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	49	S17Sr1	4	17	Surface	1	https://rubalkhali.science/kb/RAK_6001336	S17Sr2	2	https://rubalkhali.science/kb/RAK_6001337	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	50	S17Dr1	4	17	Deep	1	https://rubalkhali.science/kb/RAK_6001333	S17Dr2	2	https://rubalkhali.science/kb/RAK_6001334	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	51	S17PRr1	4	17	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001339	S17PRr2	2	https://rubalkhali.science/kb/RAK_6001340	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	52	S18Sr1	4	18	Surface	1	https://rubalkhali.science/kb/RAK_6001345	S18Sr2	2	https://rubalkhali.science/kb/RAK_6001346	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	53	S18Dr1	4	18	Deep	1	https://rubalkhali.science/kb/RAK_6001342	S18Dr2	2	https://rubalkhali.science/kb/RAK_6001343	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	54	S18PRr1	4	18	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001348	S18PRr2	2	https://rubalkhali.science/kb/RAK_6001349	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	55	S19Sr1	4	19	Surface	1	https://rubalkhali.science/kb/RAK_6001354	S19Sr2	2	https://rubalkhali.science/kb/RAK_6001355	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	56	S19Dr1	4	19	Deep	1	https://rubalkhali.science/kb/RAK_6001351	S19Dr2	2	https://rubalkhali.science/kb/RAK_6001352	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	57	S19PRr1	4	19	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001357	S19PRr2	2	https://rubalkhali.science/kb/RAK_6001358	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	58	S20Sr1	4	20	Surface	1	https://rubalkhali.science/kb/RAK_6001363	S20Sr2	2	https://rubalkhali.science/kb/RAK_6001364	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	59	S20Dr1	4	20	Deep	1	https://rubalkhali.science/kb/RAK_6001360	S20Dr2	2	https://rubalkhali.science/kb/RAK_6001361	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	60	S20PRr1	4	20	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001366	S20PRr2	2	https://rubalkhali.science/kb/RAK_6001367	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
