reflected	route_shift	max_positive_t_all_endpoints	max_absolute_t_all_endpoints	max_positive_t_richness_hurlbert_25000	max_positive_t_shannon	max_positive_t_evenness_h_over_log_hurlbert
False	0	4.109893975630059	4.109893975630059	4.109893975630059	2.9257877917320547	3.0609882262463874
False	1	2.4349851060747243	2.4349851060747243	2.252601391239993	2.4349851060747243	1.9946142765766952
False	2	3.2933997250495683	3.2933997250495683	3.2933997250495683	3.1126080549379593	2.494942533463319
False	3	3.341087322583195	3.341087322583195	3.341087322583195	2.9557018066745377	1.545054497057306
False	4	4.345121383985299	4.345121383985299	3.7035268053956494	4.345121383985299	2.33708198811732
False	5	3.7324373801717416	3.7324373801717416	3.7324373801717416	2.0384371772796257	1.132749362684018
False	6	2.4970125076111964	3.2008507814349625	2.4970125076111964	2.049032913710957	1.273884104249484
False	7	3.6618342943306192	3.6618342943306192	3.6618342943306192	2.6822717703189114	1.7013944083572652
False	8	2.4784171522249907	2.4784171522249907	2.4784171522249907	2.46510841815902	2.4130529288515
False	9	3.271704977213674	3.271704977213674	3.271704977213674	2.0997607239337577	1.6374540785688234
False	10	1.9024743236717219	3.3283195278035063	1.9024743236717219	0.811756782435679	-0.042876496901667324
False	11	2.2461905502378547	2.5211962318933416	1.8313047344885844	2.2461905502378547	2.2069549802198494
False	12	3.5826918289205234	3.5826918289205234	2.2928102220783924	3.4738427774271843	3.5826918289205234
False	13	2.2362180605246547	2.818490944834021	1.5282746861026484	1.6028070812604063	2.2362180605246547
False	14	1.652366653187075	3.0411560232043944	0.6349528891286793	0.9882088515293899	1.652366653187075
False	15	1.9024881102688183	2.990310272587506	1.0605520888332434	1.9024881102688183	1.5548113392218057
False	16	1.6228761943035692	3.385989197418517	1.4526093379991571	1.6228761943035692	0.9874782301239575
False	17	3.2379097294815113	3.5502893111989517	3.2379097294815113	2.6655617374393166	2.1089229130008844
False	18	1.550420266557512	2.498136323515142	1.2936689629618696	1.1029239951240328	1.550420266557512
False	19	0.18318435625287674	2.092163832125515	0.15727210278085618	0.1649442464976483	0.18318435625287674
False	20	3.1454759878979974	3.1454759878979974	2.4277649030450914	2.5653328823758277	3.1454759878979974
False	21	2.04678039177722	2.04678039177722	0.9902451593375426	0.997412947622202	2.04678039177722
False	22	0.7924425043227649	1.7338688095693173	0.15318598923335586	0.42024787415404524	0.7924425043227649
False	23	1.94523451285527	1.94523451285527	-0.4654764567829185	0.6402210444357354	1.94523451285527
False	24	2.792048339033443	2.792048339033443	-0.05855995232516813	1.5602121896482244	2.792048339033443
False	25	1.7448263193686917	1.7448263193686917	-0.24144798153276828	1.2301412794125801	1.7448263193686917
False	26	0.8956112059946906	1.8115013332504337	0.3843260386414035	0.47095112825206487	0.8956112059946906
False	27	0.060575176841818734	2.450464410790983	-0.26923494094268047	-0.17483977751470225	0.060575176841818734
False	28	0.08015254983841087	2.8523552325626036	-0.4996846582814562	-0.5645879941375641	0.08015254983841087
False	29	0.28233539360871024	4.651719736722463	-0.45180019411803474	-0.8189238205591101	0.28233539360871024
False	30	0.6977381367786331	3.128473029580348	-0.015288793479426965	-0.42908059428295264	0.6977381367786331
False	31	0.4111024029168258	3.551218387300028	0.4111024029168258	-0.7294657777819233	-0.3842046689220396
False	32	0.8506694412991396	2.9739597116583454	0.8506694412991396	-0.4969580418788856	-0.041263392795438274
False	33	-0.06812450261002395	3.739094297645105	-0.13888838823914298	-1.648822082874681	-0.06812450261002395
False	34	0.41720851004644927	4.303392362505942	-0.5354758523102803	-0.8126277159483416	0.41720851004644927
False	35	1.4202346436158266	3.900873872026158	1.0499591473937493	0.7990917072791376	1.4202346436158266
False	36	2.4017251349246043	2.6645879682309106	2.4017251349246043	1.7043101823421036	1.849461304335909
False	37	2.104302122627399	2.2777134681847286	1.8457164548752556	1.4811968286249315	2.104302122627399
False	38	1.488815350028778	2.252295304438193	1.488815350028778	1.2917807403587558	1.4187258393751763
