Trip	Site	Type	shannon	richness_hurlbert_25000	evenness_h_over_log_hurlbert	evenness_h_over_log_observed	sequencing_depth	n_profiles
3	12	Rhizosphere	5.51304010361	1245.18980083	0.775393023155	0.763818375355	449497	3
3	12	Surface	6.4067665535	2225.6535957	0.831659860351	0.810447497346	744382	2
3	13	Deep	6.43014463077	2561.96842087	0.819802970111	0.793542223674	1353486	3
3	13	Rhizosphere	5.86901259617	1468.81971607	0.806101849043	0.796698959582	452788	3
3	13	Surface	6.15671787167	1571.90888175	0.839990339572	0.825067765544	1878326	3
3	14	Deep	6.05671687299	2343.21486403	0.781730106226	0.755018973918	1822184	3
3	14	Rhizosphere	4.97954214252	663.343133386	0.767787594583	0.762767222913	275001	3
3	14	Surface	6.08217161924	1591.10868093	0.825198384104	0.811039373452	723788	3
3	15	Deep	6.06928254895	1409.3959666	0.837123277649	0.826802687622	470507	3
3	15	Rhizosphere	5.32619001223	754.777015209	0.806375009422	0.803086861645	281921	4
3	15	Surface	5.77500056854	1147.57416935	0.821456858954	0.811916817193	425352	3
3	16	Deep	6.16905215887	1883.58448148	0.818648789557	0.804325652625	793674	3
3	16	Rhizosphere	6.39167039478	1980.92429058	0.84271343604	0.827233320163	692411	3
3	16	Surface	6.7385108836	2333.10370064	0.86960028608	0.852730415491	804048	3
3	17	Deep	6.41393967492	2121.12514796	0.837165026613	0.815378991549	1884065	3
3	17	Rhizosphere	5.97462415797	1320.58181961	0.832175000534	0.819972907055	513526	3
3	17	Surface	6.81676942008	2151.61651079	0.889331733836	0.873298912835	1802039	3
3	18	Deep	6.54632660812	1970.00008603	0.869432410853	0.854120723531	1640559	3
3	18	Rhizosphere	2.84192884726	1088.52345028	0.407704263963	0.387352547223	1792310	3
3	18	Surface	6.16867104266	1815.99543897	0.822246115305	0.804067053779	2613887	3
3	19	Deep	6.29181004991	2001.50627633	0.829197662065	0.806288127926	2530632	3
3	19	Rhizosphere	5.16227961066	867.031403725	0.763830414964	0.752674332046	523706	3
3	19	Surface	6.21246126656	2276.29139207	0.803633346515	0.777242724158	1857672	3
3	20	Deep	6.56452850717	1422.6549368	0.905604520088	0.894043219833	1716320	3
3	20	Rhizosphere	6.52053072392	2179.89706228	0.848372045082	0.828759031767	1563942	3
3	20	Surface	6.22485979874	1678.75823289	0.838485525814	0.824127603918	1273177	3
3	21	Deep	6.50365478749	2083.66808274	0.851235856187	0.831924179993	1201093	3
3	21	Rhizosphere	5.83300751695	1864.68373471	0.785834105083	0.767651198938	1049598	3
3	21	Surface	4.6538302313	1039.75034198	0.673218646321	0.651360155489	829736	3
3	22	Deep	5.9114018644	1283.04277604	0.832083518218	0.81874875025	1821417	3
3	22	Rhizosphere	6.26541088444	1822.06244476	0.835251741226	0.821351526213	969713	3
3	22	Surface	5.7606693964	1241.16065636	0.83511184256	0.826913089694	890311	3
3	23	Deep	6.84464369968	2692.52564711	0.866924620476	0.842113458681	1323349	3
3	23	Rhizosphere	5.87735817919	1244.89858845	0.824970381842	0.81277586024	515891	3
3	23	Surface	6.71878578935	2576.3119821	0.855503494476	0.83232114073	1377886	3
3	24	Deep	5.91633664897	1871.02306236	0.78530939196	0.763293160021	692218	2
3	24	Rhizosphere	5.5629175445	1181.50670996	0.787082977791	0.777441539362	654862	4
3	24	Surface	5.472648473	1533.81797654	0.746995686326	0.731689027317	683910	3
3	25	Deep	5.7229159794	1477.8291784	0.785035168363	0.767136517338	949231	3
3	25	Rhizosphere	3.85439366904	682.422474477	0.590755295315	0.574331574559	788109	3
3	25	Surface	4.10023012308	924.780039569	0.600860593932	0.581633619591	836252	3
3	26	Deep	6.60173604017	2243.16597545	0.85563554981	0.838200368995	548248	2
3	26	Rhizosphere	5.58794760082	1515.22177527	0.763019570508	0.747217393164	719682	3
3	26	Surface	6.06995908798	1765.44368732	0.811976129303	0.795633655801	629809	2
3	27	Deep	5.86842401002	1542.37606946	0.805710613441	0.787577520866	617633	2
3	27	Rhizosphere	3.74220528719	572.016515433	0.589612674968	0.57194474251	908508	3
3	27	Surface	4.84149249825	1160.97911984	0.686144716446	0.672450811005	578472	3
3	28	Deep	6.87951290219	2967.05195487	0.860783329737	0.82461560937	2459934	3
