Site	Trip	Identifier	Compartment
19	Trip1	19P	plant
19	Trip3	F19P	plant
19	Trip4	S19P	plant
19	Trip5	V19P	plant
20	Trip1	20P	plant
20	Trip3	F20P	plant
20	Trip4	S20P	plant
20	Trip5	V20P	plant
21	Trip1	21P	plant
21	Trip3	F21P	plant
21	Trip4	S21P	plant
21	Trip5	V21P	plant
22	Trip1	22P	plant
22	Trip3	F22P	plant
22	Trip4	S22P	plant
22	Trip5	V22P	plant
23	Trip1	23P	plant
23	Trip3	F23P	plant
23	Trip4	S23P	plant
23	Trip5	V23P	plant
24	Trip1	24P	plant
24	Trip3	F24P	plant
24	Trip4	S24P	plant
24	Trip5	V24P	plant
25	Trip1	25P	plant
25	Trip3	F25P	plant
25	Trip4	S25P	plant
25	Trip5	V25P	plant
26	Trip1	26P	plant
26	Trip3	F26P	plant
26	Trip4	S26P	plant
26	Trip5	V26P	plant
27	Trip1	27P	plant
27	Trip3	F27P	plant
27	Trip4	S27P	plant
27	Trip5	V27P	plant
28	Trip1	28P	plant
28	Trip3	F28P	plant
28	Trip4	S28P	plant
28	Trip5	V28P	plant
29	Trip1	29P	plant
29	Trip3	F29P	plant
29	Trip4	S29P	plant
29	Trip5	V29P	plant
30	Trip1	30P	plant
30	Trip3	F30P	plant
30	Trip4	S30P	plant
30	Trip5	V30P	plant
31	Trip1	31P	plant
31	Trip3	F31P	plant
31	Trip4	S31P	plant
31	Trip5	V31P	plant
32	Trip1	32P	plant
32	Trip3	F32P	plant
32	Trip4	S32P	plant
32	Trip5	V32P	plant
33	Trip1	33P	plant
33	Trip3	F33P	plant
33	Trip4	S33P	plant
33	Trip5	V33P	plant
34	Trip1	34P	plant
34	Trip3	F34P	plant
34	Trip4	S34P	plant
34	Trip5	V34P	plant
35	Trip1	35P	plant
35	Trip3	F35P	plant
35	Trip4	S35P	plant
35	Trip5	V35P	plant
36	Trip1	36P	plant
36	Trip3	F36P	plant
36	Trip4	S36P	plant
36	Trip5	V36P	plant
37	Trip1	37P	plant
37	Trip3	F37P	plant
37	Trip4	S37P	plant
37	Trip5	V37P	plant
38	Trip1	38P	plant
38	Trip3	F38P	plant
38	Trip4	S38P	plant
38	Trip5	V38P	plant
39	Trip1	39P	plant
39	Trip3	F39P	plant
39	Trip4	S39P	plant
39	Trip5	V39P	plant
40	Trip1	40P	plant
40	Trip3	F40P	plant
40	Trip4	S40P	plant
40	Trip5	V40P	plant
41	Trip1	41P	plant
41	Trip3	F41P	plant
41	Trip4	S41P	plant
41	Trip5	V41P	plant
42	Trip1	42P	plant
42	Trip3	F42P	plant
42	Trip4	S42P	plant
42	Trip5	V42P	plant
43	Trip1	43P	plant
43	Trip3	F43P	plant
43	Trip4	S43P	plant
43	Trip5	V43P	plant
44	Trip1	44P	plant
44	Trip3	F44P	plant
44	Trip4	S44P	plant
44	Trip5	V44P	plant
45	Trip1	45P	plant
45	Trip3	F45P	plant
45	Trip4	S45P	plant
45	Trip5	V45P	plant
46	Trip1	46P	plant
46	Trip3	F46P	plant
46	Trip4	S46P	plant
46	Trip5	V46P	plant
47	Trip1	47P	plant
47	Trip3	F47P	plant
47	Trip4	S47P	plant
47	Trip5	V47P	plant
48	Trip1	48P	plant
48	Trip3	F48P	plant
48	Trip4	S48P	plant
48	Trip5	V48P	plant
49	Trip1	49P	plant
49	Trip3	F49P	plant
49	Trip4	S49P	plant
49	Trip5	V49P	plant
50	Trip1	50P	plant
50	Trip3	F50P	plant
50	Trip4	S50P	plant
50	Trip5	V50P	plant
51	Trip1	51P	plant
51	Trip3	F51P	plant
51	Trip4	S51P	plant
51	Trip5	V51P	plant
52	Trip1	52P	plant
52	Trip3	F52P	plant
52	Trip4	S52P	plant
52	Trip5	V52P	plant
53	Trip1	53P	plant
53	Trip3	F53P	plant
53	Trip4	S53P	plant
53	Trip5	V53P	plant
54	Trip1	54P	plant
54	Trip3	F54P	plant
54	Trip4	S54P	plant
54	Trip5	V54P	plant
55	Trip1	55P	plant
55	Trip3	F55P	plant
55	Trip4	S55P	plant
55	Trip5	V55P	plant
56	Trip1	56P	plant
56	Trip3	F56P	plant
56	Trip4	S56P	plant
56	Trip5	V56P	plant
57	Trip1	57P	plant
57	Trip3	F57P	plant
57	Trip4	S57P	plant
57	Trip5	V57P	plant
58	Trip1	58P	plant
58	Trip3	F58P	plant
58	Trip4	S58P	plant
58	Trip5	V58P	plant
59	Trip1	59P	plant
59	Trip3	F59P	plant
59	Trip4	S59P	plant
59	Trip5	V59P	plant
60	Trip1	60P	plant
60	Trip3	F60P	plant
60	Trip4	S60P	plant
60	Trip5	V60P	plant
