site_label	site_iri	status	note
Site oill spill	https://rubalkhali.science/kb/RAK_1000061	canonical	Stable named-site identity already used by released modules
Site hot spring	https://rubalkhali.science/kb/RAK_1000062	canonical	Stable named-site identity already used by released modules
Site water well (location 1)	https://rubalkhali.science/kb/RAK_1000063	canonical	Locations numbered west to east
Site Camel1	https://rubalkhali.science/kb/RAK_1000064	canonical	Stable named-site identity already used by released modules
Site plant gradient	https://rubalkhali.science/kb/RAK_1000065	canonical	Stable named-site identity already used by released modules
Site 19.5	https://rubalkhali.science/kb/RAK_1000066	canonical	Stable named-site identity already used by released modules
Site water well (location 2)	https://rubalkhali.science/kb/RAK_1000067	canonical	Locations numbered west to east
Site road (location 1)	https://rubalkhali.science/kb/RAK_1000068	canonical	Locations numbered west to east
Site road (location 2)	https://rubalkhali.science/kb/RAK_1000069	canonical	Locations numbered west to east
Site camground	https://rubalkhali.science/kb/RAK_1000070	canonical	Stable named-site identity already used by released modules
