annotation_basis	group	n_samples	taxonomic_median_bray	observed_functional_median_bray	functional_taxonomic_ratio	null_median	null_q025	null_q975	lower_tail_p	permutations
ko_copy_count	All	150	0.8227167580039108	0.1004739449742928	0.12212458783271216	0.06704565613783986	0.06484319286934889	0.07003056996358147	1.0	199
ko_copy_count	Deep	44	0.8092897348164644	0.09859840053325337	0.12183325240819237	0.06455707109448965	0.06162933127428529	0.06785151206155095	1.0	199
ko_copy_count	Rhizosphere	79	0.8180998552125226	0.10145853603394901	0.12401730105133991	0.06833008802809057	0.0655013837328475	0.0719031290240594	1.0	199
ko_copy_count	Surface	27	0.7520899323533472	0.08256767159651225	0.10978430643015212	0.0623607629612132	0.05804755703368385	0.06725667935997946	1.0	199
within_genome_relative	All	150	0.8227167580039108	0.10218243821503639	0.12420123599153753	0.06784984406823617	0.06582772154223988	0.07115106216102446	1.0	199
within_genome_relative	Deep	44	0.8092897348164644	0.10002708498652282	0.12359860836392243	0.06544644992080151	0.06271569982886624	0.07015046919837395	1.0	199
within_genome_relative	Rhizosphere	79	0.8180998552125226	0.10164819514048122	0.12424912984989525	0.06922612625034408	0.0665368517665551	0.07283665816961765	1.0	199
within_genome_relative	Surface	27	0.7520899323533472	0.0871161028060381	0.11583202893495079	0.06345839612433792	0.058714515260164954	0.06877861988483083	1.0	199
