Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
M-25-0339_14Dr1_UDP0065-UDP0065_L002_R2_001	90.45203028491291	54.0	257.0	257	50.0	0.9048729999999999
M-25-0340_14Dr3_UDP0066-UDP0066_L002_R1_001	95.21389111407314	56.0	257.0	257	41.66666666666667	2.956391
M-25-0340_14Dr3_UDP0066-UDP0066_L002_R2_001	94.12998181342748	53.0	257.0	257	50.0	2.956391
M-25-0341_14PRr1_UDP0069-UDP0069_L002_R1_001	95.50774571393063	54.0	257.0	257	41.66666666666667	1.424207
M-25-0341_14PRr1_UDP0069-UDP0069_L002_R2_001	93.05339743450214	52.0	257.0	257	41.66666666666667	1.424207
M-25-0342_14PRr2_UDP0070-UDP0070_L002_R1_001	95.8828495939001	54.0	257.0	257	33.33333333333333	1.2270379999999999
M-25-0342_14PRr2_UDP0070-UDP0070_L002_R2_001	93.46149019019786	52.0	257.0	257	41.66666666666667	1.2270379999999999
M-25-0343_14Sr2_UDP0068-UDP0068_L002_R1_001	93.94185570143618	55.0	257.0	257	50.0	2.293246
M-25-0343_14Sr2_UDP0068-UDP0068_L002_R2_001	93.93249943578685	53.0	257.0	257	50.0	2.293246
M-25-0344_15Dr1_UDP0071-UDP0071_L002_R1_001	92.70629939032393	58.0	257.0	257	33.33333333333333	1.533235
M-25-0344_15Dr1_UDP0071-UDP0071_L002_R2_001	90.7100952543458	56.0	257.0	257	41.66666666666667	1.533235
M-25-0345_15Dr3_UDP0072-UDP0072_L002_R1_001	92.26548781988507	59.0	257.0	257	41.66666666666667	1.7613759999999998
M-25-0345_15Dr3_UDP0072-UDP0072_L002_R2_001	90.87747462471339	57.0	257.0	257	41.66666666666667	1.7613759999999998
M-25-0346_15PRr1_UDP0075-UDP0075_L002_R1_001	94.45146502516714	55.0	257.0	257	41.66666666666667	1.215474
M-25-0346_15PRr1_UDP0075-UDP0075_L002_R2_001	91.30335859373066	53.0	257.0	257	50.0	1.215474
M-25-0347_15PRr2_UDP0076-UDP0076_L002_R1_001	94.49442699404447	55.0	257.0	257	41.66666666666667	2.389897
M-25-0347_15PRr2_UDP0076-UDP0076_L002_R2_001	94.04871599595153	53.0	257.0	257	41.66666666666667	2.389897
M-25-0348_15PRr3_UDP0077-UDP0077_L002_R1_001	94.16527931575443	55.0	257.0	257	41.66666666666667	1.7076909999999998
M-25-0348_15PRr3_UDP0077-UDP0077_L002_R2_001	94.1424999619794	53.0	257.0	257	50.0	1.7076909999999998
M-25-0349_15Sr1_UDP0073-UDP0073_L002_R1_001	93.52717780792742	57.0	257.0	257	41.66666666666667	1.2404789999999999
M-25-0349_15Sr1_UDP0073-UDP0073_L002_R2_001	92.31724196862663	54.0	257.0	257	50.0	1.2404789999999999
M-25-0350_15Sr3_UDP0074-UDP0074_L002_R1_001	87.71176665295846	57.0	257.0	257	41.66666666666667	0.099697
M-25-0350_15Sr3_UDP0074-UDP0074_L002_R2_001	85.19614431728137	55.0	257.0	257	41.66666666666667	0.099697
M-25-0351_16Dr1_UDP0078-UDP0078_L002_R1_001	92.26818799589584	58.0	257.0	257	50.0	0.5584589999999999
M-25-0351_16Dr1_UDP0078-UDP0078_L002_R2_001	90.19426672325095	55.0	257.0	257	50.0	0.5584589999999999
M-25-0352_16Dr3_UDP0079-UDP0079_L002_R1_001	88.77421421156097	59.0	257.0	257	41.66666666666667	0.181092
M-25-0352_16Dr3_UDP0079-UDP0079_L002_R2_001	83.6298676915601	57.0	257.0	257	50.0	0.181092
M-25-0353_16PRr2_UDP0082-UDP0082_L002_R1_001	95.25334838604113	55.0	257.0	257	50.0	1.6440009999999998
M-25-0353_16PRr2_UDP0082-UDP0082_L002_R2_001	91.98647657005256	54.0	257.0	257	50.0	1.6440009999999998
M-25-0354_16PRr3_UDP0083-UDP0083_L002_R1_001	95.39519016797135	55.0	257.0	257	50.0	1.416432
M-25-0354_16PRr3_UDP0083-UDP0083_L002_R2_001	93.1553367899059	53.0	257.0	257	41.66666666666667	1.416432
M-25-0355_16Sr1_UDP0080-UDP0080_L002_R1_001	93.4017879796427	55.0	257.0	257	50.0	0.335015
M-25-0355_16Sr1_UDP0080-UDP0080_L002_R2_001	88.27485336477471	54.0	257.0	257	50.0	0.335015
M-25-0356_17Dr1_UDP0084-UDP0084_L002_R1_001	88.49440030835778	58.0	257.0	257	41.66666666666667	0.186796
M-25-0356_17Dr1_UDP0084-UDP0084_L002_R2_001	84.54677830360393	55.0	257.0	257	41.66666666666667	0.186796
M-25-0357_17Dr3_UDP0085-UDP0085_L002_R1_001	88.8644062715472	57.0	257.0	257	50.0	0.200142
M-25-0357_17Dr3_UDP0085-UDP0085_L002_R2_001	86.06139640854992	55.0	257.0	257	41.66666666666667	0.200142
M-25-0358_17PRr2_UDP0089-UDP0089_L002_R1_001	94.77238089380053	55.0	257.0	257	50.0	0.731595
M-25-0358_17PRr2_UDP0089-UDP0089_L002_R2_001	92.1334891572523	53.0	257.0	257	50.0	0.731595
M-25-0359_18PRr1_UDP0094-UDP0094_L002_R1_001	94.97154799677118	55.0	257.0	257	41.66666666666667	1.0009839999999999
