Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
M-25-0423_31Dr2_UDP0167-UDP0167_L002_R1_001	M-25-0423_31Dr2_UDP0167-UDP0167_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1018571.0	0.0	257.0	61.0	9.208390971272499	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	fail
M-25-0423_31Dr2_UDP0167-UDP0167_L002_R2_001	M-25-0423_31Dr2_UDP0167-UDP0167_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1018571.0	0.0	257.0	59.0	10.855759062158928	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	warn
M-25-0424_31PRr2_UDP0170-UDP0170_L002_R1_001	M-25-0424_31PRr2_UDP0170-UDP0170_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	904936.0	0.0	257.0	55.0	5.036046748057322	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0424_31PRr2_UDP0170-UDP0170_L002_R2_001	M-25-0424_31PRr2_UDP0170-UDP0170_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	904936.0	0.0	257.0	54.0	6.973642334927553	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0425_31PRr3_UDP0171-UDP0171_L002_R1_001	M-25-0425_31PRr3_UDP0171-UDP0171_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	626161.0	0.0	257.0	56.0	6.002928959165454	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0425_31PRr3_UDP0171-UDP0171_L002_R2_001	M-25-0425_31PRr3_UDP0171-UDP0171_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	626161.0	0.0	257.0	54.0	6.999956880099527	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0426_31Sr2_UDP0169-UDP0169_L002_R1_001	M-25-0426_31Sr2_UDP0169-UDP0169_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	712804.0	0.0	257.0	58.0	8.15750192198697	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0426_31Sr2_UDP0169-UDP0169_L002_R2_001	M-25-0426_31Sr2_UDP0169-UDP0169_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	712804.0	0.0	257.0	56.0	9.415070622499313	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0427_32PRr2_UDP0176-UDP0176_L002_R1_001	M-25-0427_32PRr2_UDP0176-UDP0176_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1281108.0	0.0	257.0	62.0	9.568282526104728	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail	warn
M-25-0427_32PRr2_UDP0176-UDP0176_L002_R2_001	M-25-0427_32PRr2_UDP0176-UDP0176_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1281108.0	0.0	257.0	60.0	10.779394880405528	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail	fail
M-25-0428_33Dr2_UDP0179-UDP0179_L002_R1_001	M-25-0428_33Dr2_UDP0179-UDP0179_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	827274.0	0.0	257.0	57.0	6.543902020370518	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0428_33Dr2_UDP0179-UDP0179_L002_R2_001	M-25-0428_33Dr2_UDP0179-UDP0179_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	827274.0	0.0	257.0	55.0	8.765777722979328	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0429_33PRr1_UDP0182-UDP0182_L002_R1_001	M-25-0429_33PRr1_UDP0182-UDP0182_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	776770.0	0.0	257.0	55.0	6.172226012848077	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0429_33PRr1_UDP0182-UDP0182_L002_R2_001	M-25-0429_33PRr1_UDP0182-UDP0182_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	776770.0	0.0	257.0	53.0	9.720895503173397	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0430_33PRr2_UDP0183-UDP0183_L002_R1_001	M-25-0430_33PRr2_UDP0183-UDP0183_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	845145.0	0.0	257.0	55.0	6.22615054221465	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0430_33PRr2_UDP0183-UDP0183_L002_R2_001	M-25-0430_33PRr2_UDP0183-UDP0183_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	845145.0	0.0	257.0	54.0	8.061338586869708	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0431_33Sr1_UDP0180-UDP0180_L002_R1_001	M-25-0431_33Sr1_UDP0180-UDP0180_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	246423.0	0.0	257.0	59.0	11.309009305137913	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	warn
M-25-0431_33Sr1_UDP0180-UDP0180_L002_R2_001	M-25-0431_33Sr1_UDP0180-UDP0180_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	246423.0	0.0	257.0	57.0	12.528051358842315	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	warn
M-25-0432_34Dr2_UDP0184-UDP0184_L002_R1_001	M-25-0432_34Dr2_UDP0184-UDP0184_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	843643.0	0.0	257.0	60.0	7.706103173972877	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0432_34Dr2_UDP0184-UDP0184_L002_R2_001	M-25-0432_34Dr2_UDP0184-UDP0184_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	843643.0	0.0	257.0	58.0	7.845024494958174	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0433_34PRr1_UDP0188-UDP0188_L002_R1_001	M-25-0433_34PRr1_UDP0188-UDP0188_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	650679.0	0.0	257.0	56.0	6.70192214594293	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0433_34PRr1_UDP0188-UDP0188_L002_R2_001	M-25-0433_34PRr1_UDP0188-UDP0188_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	650679.0	0.0	257.0	55.0	9.844178158508265	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0434_34PRr3_UDP0189-UDP0189_L002_R1_001	M-25-0434_34PRr3_UDP0189-UDP0189_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1059220.0	0.0	257.0	57.0	6.666320499990559	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0434_34PRr3_UDP0189-UDP0189_L002_R2_001	M-25-0434_34PRr3_UDP0189-UDP0189_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1059220.0	0.0	257.0	56.0	10.358795871021547	257.0	257	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0435_34Sr1_UDP0186-UDP0186_L002_R1_001	M-25-0435_34Sr1_UDP0186-UDP0186_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	608649.0	0.0	257.0	57.0	8.403201188205353	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0435_34Sr1_UDP0186-UDP0186_L002_R2_001	M-25-0435_34Sr1_UDP0186-UDP0186_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	608649.0	0.0	257.0	55.0	10.595762089480145	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0436_34Sr3_UDP0187-UDP0187_L002_R1_001	M-25-0436_34Sr3_UDP0187-UDP0187_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328107.0	0.0	257.0	58.0	7.132859024159951	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	warn
M-25-0436_34Sr3_UDP0187-UDP0187_L002_R2_001	M-25-0436_34Sr3_UDP0187-UDP0187_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328107.0	0.0	257.0	56.0	10.170652078971667	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	fail
M-25-0437_35Dr2_UDP0190-UDP0190_L002_R1_001	M-25-0437_35Dr2_UDP0190-UDP0190_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	586395.0	0.0	257.0	58.0	8.26592996188576	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0437_35Dr2_UDP0190-UDP0190_L002_R2_001	M-25-0437_35Dr2_UDP0190-UDP0190_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	586395.0	0.0	257.0	56.0	10.48866378465028	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0438_35Dr3_UDP0191-UDP0191_L002_R1_001	M-25-0438_35Dr3_UDP0191-UDP0191_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2628354.0	0.0	257.0	58.0	6.031191330053358	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0438_35Dr3_UDP0191-UDP0191_L002_R2_001	M-25-0438_35Dr3_UDP0191-UDP0191_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2628354.0	0.0	257.0	56.0	6.481509259399015	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0439_35Sr2_UDP0193-UDP0193_L002_R1_001	M-25-0439_35Sr2_UDP0193-UDP0193_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1053527.0	0.0	257.0	56.0	6.216072298099622	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0439_35Sr2_UDP0193-UDP0193_L002_R2_001	M-25-0439_35Sr2_UDP0193-UDP0193_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1053527.0	0.0	257.0	54.0	8.804520434692229	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0440_36Dr2_UDP0196-UDP0196_L002_R1_001	M-25-0440_36Dr2_UDP0196-UDP0196_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	400942.0	0.0	257.0	59.0	9.442263469529259	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0440_36Dr2_UDP0196-UDP0196_L002_R2_001	M-25-0440_36Dr2_UDP0196-UDP0196_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	400942.0	0.0	257.0	57.0	12.742242020042799	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0441_36Dr3_UDP0197-UDP0197_L002_R1_001	M-25-0441_36Dr3_UDP0197-UDP0197_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	864691.0	0.0	257.0	58.0	7.39628375916946	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0441_36Dr3_UDP0197-UDP0197_L002_R2_001	M-25-0441_36Dr3_UDP0197-UDP0197_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	864691.0	0.0	257.0	56.0	10.165018486372588	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0442_36Sr3_UDP0199-UDP0199_L002_R1_001	M-25-0442_36Sr3_UDP0199-UDP0199_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70274.0	0.0	257.0	57.0	14.846173549250077	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0442_36Sr3_UDP0199-UDP0199_L002_R2_001	M-25-0442_36Sr3_UDP0199-UDP0199_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70274.0	0.0	257.0	55.0	16.26348293821328	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0443_37Dr2_UDP0202-UDP0202_L002_R1_001	M-25-0443_37Dr2_UDP0202-UDP0202_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	484395.0	0.0	257.0	57.0	9.034156009042208	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0443_37Dr2_UDP0202-UDP0202_L002_R2_001	M-25-0443_37Dr2_UDP0202-UDP0202_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	484395.0	0.0	257.0	54.0	11.34115752639891	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0444_37Dr3_UDP0203-UDP0203_L002_R1_001	M-25-0444_37Dr3_UDP0203-UDP0203_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299372.0	0.0	257.0	58.0	10.640273639485324	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	warn
M-25-0444_37Dr3_UDP0203-UDP0203_L002_R2_001	M-25-0444_37Dr3_UDP0203-UDP0203_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299372.0	0.0	257.0	55.0	11.639699103456568	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	fail
M-25-0445_37PRr2_UDP0206-UDP0206_L002_R1_001	M-25-0445_37PRr2_UDP0206-UDP0206_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	839591.0	0.0	257.0	56.0	7.036878670686083	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0445_37PRr2_UDP0206-UDP0206_L002_R2_001	M-25-0445_37PRr2_UDP0206-UDP0206_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	839591.0	0.0	257.0	54.0	7.325590674506992	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0446_37PRr3_UDP0207-UDP0207_L002_R1_001	M-25-0446_37PRr3_UDP0207-UDP0207_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1219204.0	0.0	257.0	55.0	5.009005875964974	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0446_37PRr3_UDP0207-UDP0207_L002_R2_001	M-25-0446_37PRr3_UDP0207-UDP0207_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1219204.0	0.0	257.0	53.0	7.242102224074068	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0447_37Sr1_UDP0204-UDP0204_L002_R1_001	M-25-0447_37Sr1_UDP0204-UDP0204_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	682075.0	0.0	257.0	57.0	8.411391709122897	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0447_37Sr1_UDP0204-UDP0204_L002_R2_001	M-25-0447_37Sr1_UDP0204-UDP0204_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	682075.0	0.0	257.0	55.0	11.584649781915477	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0448_37Sr2_UDP0205-UDP0205_L002_R1_001	M-25-0448_37Sr2_UDP0205-UDP0205_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101187.0	0.0	257.0	57.0	13.778449800863749	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0448_37Sr2_UDP0205-UDP0205_L002_R2_001	M-25-0448_37Sr2_UDP0205-UDP0205_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101187.0	0.0	257.0	55.0	15.474319823692767	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0449_38Dr2_UDP0208-UDP0208_L002_R1_001	M-25-0449_38Dr2_UDP0208-UDP0208_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	668920.0	0.0	257.0	57.0	8.677868803444358	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0449_38Dr2_UDP0208-UDP0208_L002_R2_001	M-25-0449_38Dr2_UDP0208-UDP0208_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	668920.0	0.0	257.0	55.0	12.274860969921665	257.0	257	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0450_38Dr3_UDP0209-UDP0209_L002_R1_001	M-25-0450_38Dr3_UDP0209-UDP0209_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	309665.0	0.0	257.0	57.0	9.394022572780262	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0450_38Dr3_UDP0209-UDP0209_L002_R2_001	M-25-0450_38Dr3_UDP0209-UDP0209_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	309665.0	0.0	257.0	55.0	11.327079263074612	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0451_38PRr2_UDP0212-UDP0212_L002_R1_001	M-25-0451_38PRr2_UDP0212-UDP0212_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1306382.0	0.0	257.0	56.0	5.959282966238052	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	warn
M-25-0451_38PRr2_UDP0212-UDP0212_L002_R2_001	M-25-0451_38PRr2_UDP0212-UDP0212_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1306382.0	0.0	257.0	54.0	8.125612577290706	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0452_38Sr2_UDP0210-UDP0210_L002_R1_001	M-25-0452_38Sr2_UDP0210-UDP0210_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	572451.0	0.0	257.0	57.0	9.543174874356058	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0452_38Sr2_UDP0210-UDP0210_L002_R2_001	M-25-0452_38Sr2_UDP0210-UDP0210_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	572451.0	0.0	257.0	56.0	15.44464067666927	257.0	257	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0453_39Dr2_UDP0214-UDP0214_L002_R1_001	M-25-0453_39Dr2_UDP0214-UDP0214_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51465.0	0.0	257.0	58.0	15.045176333430488	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail	fail
M-25-0453_39Dr2_UDP0214-UDP0214_L002_R2_001	M-25-0453_39Dr2_UDP0214-UDP0214_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51465.0	0.0	257.0	55.0	18.354221315457107	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail	warn
M-25-0454_39PRr1_UDP0216-UDP0216_L002_R1_001	M-25-0454_39PRr1_UDP0216-UDP0216_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1261125.0	0.0	257.0	55.0	5.3973238180196255	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0454_39PRr1_UDP0216-UDP0216_L002_R2_001	M-25-0454_39PRr1_UDP0216-UDP0216_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1261125.0	0.0	257.0	53.0	7.910238874021211	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0455_39PRr3_UDP0217-UDP0217_L002_R1_001	M-25-0455_39PRr3_UDP0217-UDP0217_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	407425.0	0.0	257.0	55.0	7.456096214027122	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0455_39PRr3_UDP0217-UDP0217_L002_R2_001	M-25-0455_39PRr3_UDP0217-UDP0217_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	407425.0	0.0	257.0	53.0	9.395103393262563	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0456_39Sr3_UDP0377-UDP0377_L002_R1_001	M-25-0456_39Sr3_UDP0377-UDP0377_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	210985.0	0.0	257.0	56.0	11.067611441571676	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0456_39Sr3_UDP0377-UDP0377_L002_R2_001	M-25-0456_39Sr3_UDP0377-UDP0377_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	210985.0	0.0	257.0	55.0	11.751546318458658	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0457_3Dr2_UDP0012-UDP0012_L002_R1_001	M-25-0457_3Dr2_UDP0012-UDP0012_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	931128.0	0.0	257.0	57.0	7.832005911109966	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass	warn
M-25-0457_3Dr2_UDP0012-UDP0012_L002_R2_001	M-25-0457_3Dr2_UDP0012-UDP0012_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	931128.0	0.0	257.0	55.0	10.202893694529646	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0458_3PRr1_UDP0015-UDP0015_L002_R1_001	M-25-0458_3PRr1_UDP0015-UDP0015_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	492285.0	0.0	257.0	56.0	7.591334288064841	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0458_3PRr1_UDP0015-UDP0015_L002_R2_001	M-25-0458_3PRr1_UDP0015-UDP0015_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	492285.0	0.0	257.0	55.0	9.544877459195385	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0459_3PRr3_UDP0016-UDP0016_L002_R1_001	M-25-0459_3PRr3_UDP0016-UDP0016_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	795803.0	0.0	257.0	55.0	4.259345591811039	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0459_3PRr3_UDP0016-UDP0016_L002_R2_001	M-25-0459_3PRr3_UDP0016-UDP0016_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	795803.0	0.0	257.0	54.0	7.317640169740501	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0460_40Dr1_UDP0218-UDP0218_L002_R1_001	M-25-0460_40Dr1_UDP0218-UDP0218_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	748277.0	0.0	257.0	57.0	7.821034189210679	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0460_40Dr1_UDP0218-UDP0218_L002_R2_001	M-25-0460_40Dr1_UDP0218-UDP0218_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	748277.0	0.0	257.0	55.0	10.465643070681045	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0461_40Dr2_UDP0219-UDP0219_L002_R1_001	M-25-0461_40Dr2_UDP0219-UDP0219_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58990.0	0.0	257.0	58.0	14.70249194778776	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	warn
M-25-0461_40Dr2_UDP0219-UDP0219_L002_R2_001	M-25-0461_40Dr2_UDP0219-UDP0219_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58990.0	0.0	257.0	56.0	15.031361247669098	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	fail
M-25-0462_40PRr2_UDP0222-UDP0222_L002_R1_001	M-25-0462_40PRr2_UDP0222-UDP0222_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	322172.0	0.0	257.0	56.0	9.634915510969295	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0462_40PRr2_UDP0222-UDP0222_L002_R2_001	M-25-0462_40PRr2_UDP0222-UDP0222_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	322172.0	0.0	257.0	54.0	9.395912742261897	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0463_41PRr2_UDP0229-UDP0229_L002_R1_001	M-25-0463_41PRr2_UDP0229-UDP0229_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	920925.0	0.0	257.0	58.0	8.06048266688384	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0463_41PRr2_UDP0229-UDP0229_L002_R2_001	M-25-0463_41PRr2_UDP0229-UDP0229_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	920925.0	0.0	257.0	56.0	8.761408366587942	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0464_42Dr1_UDP0230-UDP0230_L002_R1_001	M-25-0464_42Dr1_UDP0230-UDP0230_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	211118.0	0.0	257.0	58.0	11.41020661431048	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0464_42Dr1_UDP0230-UDP0230_L002_R2_001	M-25-0464_42Dr1_UDP0230-UDP0230_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	211118.0	0.0	257.0	56.0	14.356899932739037	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0466_42PRr1_UDP0234-UDP0234_L002_R1_001	M-25-0466_42PRr1_UDP0234-UDP0234_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	409419.0	0.0	257.0	55.0	8.389205190770335	257.0	257	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
