Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
M-25-0332_12PRr1_UDP0059-UDP0059_L002_R2_001	M-25-0332_12PRr1_UDP0059-UDP0059_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62027.0	0.0	257.0	56.0	15.478743127992647	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	fail
M-25-0333_12PRr3_UDP0060-UDP0060_L002_R1_001	M-25-0333_12PRr3_UDP0060-UDP0060_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	430580.0	0.0	257.0	59.0	9.359700868595848	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0333_12PRr3_UDP0060-UDP0060_L002_R2_001	M-25-0333_12PRr3_UDP0060-UDP0060_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	430580.0	0.0	257.0	57.0	13.0558781178875	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0334_12Sr1_UDP0057-UDP0057_L002_R1_001	M-25-0334_12Sr1_UDP0057-UDP0057_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	254794.0	0.0	257.0	58.0	10.301262981074908	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0334_12Sr1_UDP0057-UDP0057_L002_R2_001	M-25-0334_12Sr1_UDP0057-UDP0057_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	254794.0	0.0	257.0	56.0	13.972071555845114	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0335_12Sr3_UDP0058-UDP0058_L002_R1_001	M-25-0335_12Sr3_UDP0058-UDP0058_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	320691.0	0.0	257.0	56.0	8.109987495751362	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0335_12Sr3_UDP0058-UDP0058_L002_R2_001	M-25-0335_12Sr3_UDP0058-UDP0058_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	320691.0	0.0	257.0	53.0	9.680034675123405	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0336_13Dr1_UDP0061-UDP0061_L002_R1_001	M-25-0336_13Dr1_UDP0061-UDP0061_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	643265.0	0.0	257.0	58.0	8.55432830948365	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0336_13Dr1_UDP0061-UDP0061_L002_R2_001	M-25-0336_13Dr1_UDP0061-UDP0061_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	643265.0	0.0	257.0	56.0	11.259745206097021	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0337_13Dr3_UDP0062-UDP0062_L002_R1_001	M-25-0337_13Dr3_UDP0062-UDP0062_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3034481.0	0.0	257.0	56.0	4.658635105115843	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0337_13Dr3_UDP0062-UDP0062_L002_R2_001	M-25-0337_13Dr3_UDP0062-UDP0062_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3034481.0	0.0	257.0	54.0	5.6992542080040165	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0338_13Sr2_UDP0063-UDP0063_L002_R1_001	M-25-0338_13Sr2_UDP0063-UDP0063_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	543853.0	0.0	257.0	56.0	8.644615364813655	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
