comparison	n_site_campaign_blocks	n_sites	n_nonzero_sites	n_zero_sites	mean_difference_ph_units	median_difference_ph_units	wilcoxon_w	p	q_bh_three_position_contrasts
Deep-Surface	155	60	60	0	0.0030972222222333313	0.0033333333335	874.0	0.7627451631868075	0.7627451631868075
Rhizosphere-Surface	156	60	60	0	-0.037365740740800006	-0.05	430.0	0.0003561052497551902	0.0005341578746327853
Rhizosphere-Deep	171	60	59	1	-0.015740740740716668	-0.0547916666665	379.5	0.00013586157175003716	0.0004075847152501115
