site,obs_richness,shannon,soilrh,elevation,latitude,longitude,transect,n_tech
BAQ2420,492.08000000000004,7.066120478249713,82.54,2420.0,-22.91801,-68.3532,Baquedano,5
BAQ2462,316.30333333333334,5.9438096898161845,69.08,2462.0,-22.97577,-68.41652,Baquedano,3
BAQ2687,683.8133333333334,7.0652884263528675,73.21,2687.0,-22.91819,-68.05283,Baquedano,3
BAQ2838,430.24,7.015672503451907,44.74,2838.0,-22.653810000000004,-68.57623,Baquedano,3
BAQ3473,1176.2833333333333,8.246411447485315,82.05,3473.0,-22.91237,-67.94507,Baquedano,3
BAQ4166,1192.278,8.350876314812014,100.0,4166.0,-22.92925,-67.86743,Baquedano,5
BAQ4697,627.7166666666667,5.981435364340343,,4697.0,-22.95144,-67.68925,Baquedano,3
YUN1005,159.655,4.048994504140596,20.7,1005.0,-24.0923,-69.9665,Yungay,2
YUN1242,135.675,3.764664638395627,20.9,1242.0,-24.14112,-70.31242,Yungay,2
YUN1609,126.74,2.805609084908629,17.18,1609.0,-24.14417,-69.44242,Yungay,1
YUN2029,237.67,4.723402094379893,28.79,2029.0,-24.59866,-70.31483,Yungay,1
YUN3153,216.725,5.106633005587993,59.69,3153.0,-24.23398,-68.85686,Yungay,2
YUN3259,673.0425,7.317197536632149,93.57,3259.0,-24.17038,-68.53413,Yungay,4
YUN3346,349.74,6.010932982751547,87.32,3346.0,-24.18467,-68.59204,Yungay,3
YUN3428,960.8566666666667,8.03123348779207,99.99,3428.0,-24.34139,-68.35242,Yungay,3
YUN3533,1015.0139999999999,7.942857308390188,100.0,3533.0,-24.37951,-68.36079,Yungay,5
YUN3856,847.932,7.520742975961774,99.44,3856.0,-24.44621,-68.29649,Yungay,5
