ASV_ID	C1R1T	C1R1UT	C1R2T	C1R2UT	C1R3T	C1R3UT	C2R1T	C2R1UT	C2R2T	C2R2UT	C2R3T	C2R3UT	C2S1T	C2S1UT	C2S2T	C2S2UT	C2S3T	C2S3UT	NEGATIVER	Positive
e306ef5c9f4f312083ea88907852d6f9	12461	18926	11354	14617	14292	9463	277	257	705	159	562	124	335	387	253	242	351	282	0	0
abe0187c2903c06747b39ad4c7a3a74a	191	23	210	20	116	0	708	164	1256	130	1261	141	13719	12917	10420	9234	19631	10461	0	0
518c15479644a67da93b1b425781b3c3	14126	11236	12964	8333	16087	5858	93	96	234	50	228	44	1377	729	864	489	1577	565	0	0
2a88be655d5ed4551d9c7ba9d1e785c3	21740	3154	21345	2251	24137	631	88	21	171	14	162	11	261	133	103	114	296	148	0	0
6a780f3a3bddd4cb802973921bd13b56	21306	3804	20677	3052	24188	861	0	0	0	0	0	0	0	0	0	0	13	0	0	0
6f0001374ab6d489be8bd2cf6f8cb1c3	7461	3250	6218	2335	8915	777	109	123	299	122	235	86	7841	7667	6310	5901	9409	4242	0	0
0116bb6aba502a22ead2a9db7eb4562d	10	7	11	4	16	1	9404	1759	15435	1214	16117	1427	5427	2857	4150	2124	6756	2131	0	0
0a8840e3484e6746300deac8d6e1a0fb	0	1087	0	690	32	188	10896	5164	17410	3850	17024	4881	716	640	543	431	1376	1008	0	0
3fe1a43713c80c37fbbd53ce74bcf012	0	0	0	0	0	0	9449	10857	8627	10158	13435	9925	113	527	113	528	361	532	0	0
bfe85ae009c660b61286699c64deef14	13299	1050	11905	876	14276	226	1922	449	3967	272	3474	306	1121	309	1024	257	1333	426	0	0
b4887cea751c07429a7259705e4f5301	0	0	0	0	0	0	0	0	25	0	18	0	16505	4517	11183	3080	18158	2483	0	0
e99d160ddb9a3c0c5c636336c102b9d6	2318	2092	1964	1399	2176	415	898	391	2066	288	1644	237	4134	7613	3151	5175	9608	6651	0	0
572007b5fbd2bca344db01f7e5ad0e73	311	162	131	111	131	30	831	311	1850	199	1795	199	10285	4048	8283	2821	13157	2829	0	0
a5dd40cddab2022266789062ef77e924	13038	1786	11097	1170	13993	344	0	0	124	0	140	0	1338	616	1152	436	1826	411	0	0
63f5c37185b3bcc1be59f69973d7ce30	0	0	0	0	0	0	652	155	1050	120	993	134	10539	4744	8079	3405	12965	3991	0	0
38b248329de6354256012697ba39806d	13451	720	14167	554	14685	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3489733b7c4d32fd2026c6a6999e950	10725	4951	9363	3631	11451	2466	0	0	0	0	0	0	110	80	116	52	175	49	0	0
365b419fa1fe3f4689fd2b45bf5b73a9	11575	2706	11283	1857	14813	549	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ef84573fb1c314cd9168ee1b14e3539c	0	0	0	0	0	0	7695	6882	5171	6572	8311	6879	123	265	151	207	148	277	0	0
27990974ca43b641479efd166f3b42c2	9849	5275	9544	3524	10576	1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05b26837f8d959626e9aa1ddf69a391b	10289	4131	9884	2756	11715	1047	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9edc3ac4f6ab342b647657b92dbf9a4b	12605	906	12936	685	12467	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20c9554d6ae53a32006239c6ac992cad	0	0	0	0	0	0	294	3001	366	2158	927	2388	604	7493	453	5375	7331	8157	0	0
c7411e8b4813ba56f5f764f8d4739ee2	0	0	0	0	0	0	99	33	190	15	165	26	5593	6790	4363	4787	9305	6572	0	0
6802e2913d2e30dc61f9b6fb76d8facd	0	0	0	0	0	0	7883	3101	11556	2427	10308	2565	0	0	0	27	0	30	0	0
0926daeeff9e9b200e8e1ff7f8cde724	0	10036	144	7591	129	5791	2437	2441	1921	2056	2936	1944	0	0	0	0	0	0	0	0
5734c29187104c520e8dfb9c4bffb15c	0	0	0	0	0	0	62	5	91	0	123	0	9052	3768	6962	2739	10980	2772	0	0
5e1220edf6ef4a1c7eaf94f679541241	2840	13602	2725	9117	4147	3178	0	0	0	0	0	0	0	0	0	0	0	0	0	0
