site	latitude	longitude	altitude_m	cumulative_distance_km
1	19.1497705556	45.1665113889	975.000	0.000000
2	19.2034683333	45.2447675000	923.000	10.158792
3	19.3010794444	45.3844141667	822.000	28.399144
4	19.3795716667	45.5518269444	736.000	48.013020
5	19.4071552778	45.6595013889	709.000	59.715633
6	19.4057391667	45.8161425000	734.000	76.144503
7	19.4070052778	45.9539436111	715.000	90.597419
8	19.3931541667	46.1107347222	714.000	107.113877
9	19.4112002778	46.3026736111	697.000	127.344224
10	19.4204697222	46.4607952778	670.000	143.958660
11	19.4443522222	46.6356325000	624.000	162.483541
12	19.4779336111	46.8343733333	605.000	183.651893
13	19.5293461111	47.0532844444	559.000	207.298424
14	19.5813380556	47.2920225000	546.000	232.973003
15	19.6137497222	47.4758719444	489.000	252.566211
16	19.6444558333	47.6261186111	466.000	268.668168
17	19.6764600000	47.8273055556	456.000	290.033434
18	19.7325180556	48.0468605556	415.000	313.847555
19	19.8123191667	48.2404947222	400.000	335.967154
20	19.8693108333	48.4246444444	373.000	356.243900
21	19.9011325000	48.4864638889	375.000	363.613133
22	19.9786697222	48.6394355556	337.000	381.779398
23	20.0492655556	48.7733313889	340.000	397.820731
24	20.0927386111	48.8993952778	347.000	411.846422
25	20.1002597222	48.9542197222	334.000	417.632218
26	20.1487538889	49.0787386111	327.000	431.706696
27	20.2038574000	49.1959834000	309.000	445.392001
28	20.2437686111	49.3708847222	303.000	464.173018
29	20.2597976000	49.5675445000	303.000	484.766022
30	20.2693030556	49.6836733333	289.000	496.925717
31	20.2946233333	49.8914050000	274.000	518.774424
32	20.3106841667	50.0930213889	245.000	539.876039
33	20.3175077778	50.3030702778	232.000	561.792863
34	20.3443944444	50.5153725000	232.000	584.130087
35	20.3717958333	50.7299922222	217.000	606.710557
36	20.4231900000	51.1448300000	193.000	650.322103
37	20.4541502778	51.3448833333	186.000	671.448997
38	20.4610275000	51.3702247222	182.000	674.197633
39	20.5102300000	51.5974200000	168.000	698.487145
40	20.5471800000	51.8255900000	157.000	722.599944
41	20.5397772222	51.9461058333	148.000	735.175457
42	20.5551600000	52.1240300000	142.000	753.779878
43	20.5675755556	52.2241327778	142.000	764.292761
44	20.5678300000	52.4103600000	143.000	783.680359
45	20.5634600000	52.4677600000	137.000	789.675911
46	20.5537461111	52.6692077778	138.000	810.677100
47	20.5418155556	52.8687858333	119.000	831.499605
48	20.5686483333	53.0940483333	117.000	855.141970
49	20.6446622222	53.2879400000	126.000	877.020925
50	20.7138500000	53.4123000000	128.000	892.072849
51	20.7987000000	53.4870000000	91.000	904.293561
52	20.8278400000	53.5783500000	87.000	914.326023
53	20.8515141667	53.7578844444	111.000	933.168129
54	20.9201788889	53.9622044444	76.000	955.726070
55	20.9022725000	54.0024376000	76.000	960.355218
56	20.8215808333	54.2238591667	73.000	985.049756
57	20.7349775000	54.4176433333	74.000	1007.379318
58	20.6654011111	54.5932744444	78.000	1027.218504
59	20.6562600000	54.6358680556	78.000	1031.765165
60	20.7063744444	54.7321055556	80.000	1043.223055
