Site	Latitude	Longitude	CenterDate
1	19.149770555555556	45.166511388888885	2025-10-12
2	19.203468333333333	45.2447675	2025-10-12
3	19.301079444444444	45.384414166666666	2025-10-12
4	19.379571666666667	45.55182694444444	2025-10-12
5	19.407155277777775	45.659501388888884	2025-10-12
6	19.405739166666667	45.8161425	2025-10-12
7	19.407005277777778	45.953943611111114	2025-10-12
8	19.393154166666665	46.110734722222226	2025-10-12
9	19.411200277777777	46.30267361111111	2025-10-12
10	19.420469722222222	46.460795277777784	2025-10-12
11	19.44435222222222	46.6356325	2025-10-12
12	19.47793361111111	46.83437333333334	2025-10-12
13	19.52934611111111	47.053284444444444	2025-10-12
14	19.581338055555555	47.2920225	2025-10-12
15	19.613749722222224	47.47587194444445	2025-10-12
16	19.644455833333332	47.62611861111111	2025-10-12
17	19.676460000000002	47.82730555555556	2025-10-13
18	19.732518055555555	48.046860555555554	2025-10-13
19	19.81231916666667	48.24049472222222	2025-10-13
20	19.869310833333333	48.42464444444444	2025-10-13
21	19.9011325	48.48646388888889	2025-10-13
22	19.97866972222222	48.63943555555556	2025-10-13
23	20.049265555555557	48.773331388888884	2025-10-13
24	20.09273861111111	48.89939527777778	2025-10-13
25	20.100259722222223	48.95421972222223	2025-10-13
26	20.148753888888887	49.07873861111111	2025-10-13
27	20.2038574	49.1959834	2025-10-13
28	20.24376861111111	49.37088472222222	2025-10-13
29	20.2597976	49.5675445	2025-10-13
30	20.269303055555554	49.68367333333333	2025-10-13
31	20.294623333333334	49.891405	2025-10-13
32	20.310684166666668	50.09302138888889	2025-10-13
33	20.317507777777777	50.30307027777778	2025-10-13
34	20.344394444444443	50.5153725	2025-10-13
35	20.371795833333334	50.72999222222222	2025-10-14
36	20.42319	51.14483	2025-10-14
37	20.454150277777778	51.344883333333335	2025-10-14
38	20.4610275	51.370224722222225	2025-10-14
39	20.51023	51.59742	2025-10-14
40	20.54718	51.82559	2025-10-14
41	20.539777222222224	51.94610583333333	2025-10-14
42	20.55516	52.12403	2025-10-14
43	20.567575555555557	52.22413277777778	2025-10-14
44	20.56783	52.41036	2025-10-14
45	20.56346	52.46776	2025-10-14
46	20.553746111111113	52.66920777777778	2025-10-14
47	20.54181555555556	52.868785833333334	2025-10-14
48	20.568648333333332	53.09404833333333	2025-10-14
49	20.644662222222223	53.28794	2025-10-14
50	20.71385	53.4123	2025-10-14
51	20.7987	53.487	2025-10-15
52	20.82784	53.57835	2025-10-15
53	20.851514166666668	53.75788444444444	2025-10-15
54	20.92017888888889	53.962204444444446	2025-10-15
55	20.9022725	54.0024376	2025-10-15
56	20.821580833333332	54.22385916666667	2025-10-15
57	20.7349775	54.41764333333333	2025-10-15
58	20.66540111111111	54.59327444444445	2025-10-15
59	20.65626	54.635868055555555	2025-10-15
60	20.706374444444442	54.732105555555556	2025-10-15
oill spill	19.40536	45.72708	2025-10-12
hot spring	20.39723	50.96553	2025-10-14
