Site	Latitude	Longitude	CenterDate	StartDate	EndDate	AnnualMeanTemp	AnnualTotalPrecip	AnnualTotalRain
54	20.92017888888889	53.962204444444446	2024-02-21	2023-08-21	2024-08-21	31.295986	41.299995	41.299995
55	20.9022725	54.0024376	2024-02-21	2023-08-21	2024-08-21	31.295986	41.299995	41.299995
56	20.821580833333332	54.22385916666667	2024-02-21	2023-08-21	2024-08-21	31.319275	40.0	40.0
57	20.7349775	54.41764333333333	2024-02-21	2023-08-21	2024-08-21	31.204626	31.199999	31.199999
58	20.66540111111111	54.59327444444445	2024-02-21	2023-08-21	2024-08-21	31.005838	31.2	31.2
59	20.65626	54.635868055555555	2024-02-21	2023-08-21	2024-08-21	30.976185	34.8	34.8
60	20.706374444444442	54.732105555555556	2024-02-21	2023-08-21	2024-08-21	31.001383	30.300001	30.300001
oill spill	19.40536	45.72708	2024-02-17	2023-08-17	2024-08-17	28.51124	39.0	39.0
water well	19.50145	46.90146	2024-02-17	2023-08-17	2024-08-17	29.25447	33.600002	33.600002
Camel1	19.65401	47.68826	2024-02-17	2023-08-17	2024-08-17	29.821362	31.5	31.5
plant gradient	19.70915	47.95933	2024-02-18	2023-08-18	2024-08-18	30.094975	27.900002	27.900002
hot spring	20.39723	50.96553	2024-02-19	2023-08-19	2024-08-19	30.405907	67.600006	67.600006
12.5+A	19.501494166666667	46.90140722222222	2024-03-17	2023-09-17	2024-09-17	29.288242	33.800003	33.800003
19.5	19.81927138888889	48.24023722222222	2024-03-18	2023-09-18	2024-09-18	30.08575	25.3	25.3
27+	20.2038574	49.1959834	2024-03-18	2023-09-18	2024-09-18	29.993143	31.699999	31.699999
31urine	20.294623333333334	49.891405	2024-03-18	2023-09-18	2024-09-18	30.251953	37.699997	37.699997
32+	20.310684166666668	50.09302138888889	2024-03-18	2023-09-18	2024-09-18	30.328457	34.1	34.1
41+	20.539777222222224	51.94610583333333	2024-03-19	2023-09-19	2024-09-19	30.820555	39.700005	39.700005
47+	20.54181555555556	52.868785833333334	2024-03-19	2023-09-19	2024-09-19	31.041283	28.2	28.2
47+grass	20.54181555555556	52.868785833333334	2024-03-19	2023-09-19	2024-09-19	31.041283	28.2	28.2
48+	20.568648333333332	53.09404833333333	2024-03-19	2023-09-19	2024-09-19	31.089226	18.3	18.3
48+	20.568648333333332	53.09404833333333	2024-03-19	2023-09-19	2024-09-19	31.089226	18.3	18.3
52AD	20.851514166666668	53.75788444444444	2024-03-20	2023-09-20	2024-09-20	31.167004	42.2	42.2
54F	20.92017888888889	53.962204444444446	2024-03-20	2023-09-20	2024-09-20	31.179066	41.300003	41.300003
35 + WaterWellRestStop	20.397223055555553	50.96570472222223	2024-03-18	2023-09-18	2024-09-18	30.44992	67.6	67.6
35 + hot spring filter1	20.397223055555553	50.96570472222223	2024-03-19	2023-09-19	2024-09-19	30.447165	67.600006	67.600006
35 + hot spring filter 2	20.397223055555553	50.96570472222223	2024-03-19	2023-09-19	2024-09-19	30.447165	67.600006	67.600006
