Site	Latitude	Longitude	Altitude
1	19.14977055555556	45.166511388888885	975.0
2	19.203468333333333	45.2447675	923.0
3	19.301079444444444	45.384414166666666	822.0
4	19.379571666666667	45.55182694444444	736.0
5	19.407155277777772	45.65950138888888	709.0
6	19.405739166666667	45.8161425	734.0
7	19.407005277777778	45.95394361111112	715.0
8	19.393154166666665	46.11073472222223	714.0
9	19.411200277777777	46.30267361111111	697.0
10	19.420469722222222	46.46079527777778	670.0
11	19.44435222222222	46.6356325	624.0
12	19.47793361111111	46.83437333333334	605.0
13	19.52934611111111	47.05328444444445	559.0
14	19.581338055555555	47.2920225	546.0
15	19.613749722222224	47.47587194444445	489.0
16	19.64445583333333	47.62611861111111	466.0
17	19.67646	47.82730555555556	456.0
18	19.732518055555555	48.046860555555554	415.0
19	19.81231916666667	48.24049472222222	400.0
20	19.869310833333333	48.42464444444444	373.0
21	19.9011325	48.48646388888889	375.0
22	19.97866972222222	48.63943555555556	337.0
23	20.04926555555556	48.77333138888888	340.0
24	20.09273861111111	48.89939527777778	347.0
25	20.100259722222223	48.95421972222223	334.0
26	20.148753888888887	49.07873861111111	327.0
27	20.2038574	49.1959834	309.0
28	20.24376861111111	49.37088472222222	303.0
29	20.2597976	49.5675445	303.0
30	20.269303055555557	49.68367333333333	289.0
31	20.29462333333333	49.891405	274.0
32	20.310684166666668	50.09302138888889	245.0
33	20.317507777777777	50.30307027777778	232.0
34	20.344394444444443	50.5153725	232.0
35	20.371795833333334	50.72999222222222	217.0
36	20.42319	51.14483	193.0
37	20.454150277777774	51.344883333333335	186.0
38	20.4610275	51.37022472222223	182.0
39	20.51023	51.59742	168.0
40	20.54718	51.82559	157.0
41	20.539777222222224	51.94610583333333	148.0
42	20.55516	52.12403	142.0
43	20.56757555555556	52.22413277777778	142.0
44	20.56783	52.41036	143.0
45	20.56346	52.46776	137.0
46	20.553746111111117	52.66920777777778	138.0
47	20.54181555555556	52.86878583333333	119.0
48	20.56864833333333	53.09404833333333	117.0
49	20.644662222222223	53.28794	126.0
50	20.71385	53.4123	128.0
51	20.7987	53.487	91.0
52	20.82784	53.57835	87.0
53	20.851514166666668	53.75788444444444	111.0
54	20.92017888888889	53.962204444444446	76.0
55	20.9022725	54.0024376	76.0
56	20.82158083333333	54.22385916666667	73.0
57	20.7349775	54.41764333333333	74.0
58	20.66540111111111	54.59327444444445	78.0
59	20.65626	54.63586805555556	78.0
60	20.70637444444444	54.73210555555556	80.0
water well	20.7158697	54.7996974	81.0
road	20.82577583333333	54.9889325	87.0
camground	21.03105055555556	55.159842777777776	83.0
oill spill	19.40536	45.72708	719.0
Camel1	19.65401	47.68826	468.0
plant gradient	19.70915	47.95933	412.0
hot spring	20.39723	50.96553	208.0
12.5+A	19.501494166666667	46.90140722222222	599.0
19.5	19.81927138888889	48.24023722222222	376.0
27+	20.2038574	49.1959834	309.0
31urine	20.29462333333333	49.891405	274.0
32+	20.310684166666668	50.09302138888889	245.0
41+	20.539777222222224	51.94610583333333	148.0
47+	20.54181555555556	52.86878583333333	119.0
47+grass	20.54181555555556	52.86878583333333	119.0
48+	20.56864833333333	53.09404833333333	117.0
52AD	20.851514166666668	53.75788444444444	111.0
54F	20.92017888888889	53.962204444444446	76.0
35 + WaterWellRestStop	20.397223055555557	50.96570472222223	208.0
35 + hot spring filter1	20.397223055555557	50.96570472222223	208.0
35 + hot spring filter 2	20.397223055555557	50.96570472222223	208.0
