path	role	bytes	sha256	distribution	required_for
metadata/taxonomy/feature-table-trips1-5.tsv	canonical-input	1801512613	129f47d8f0db8d9afd6f8c67b8d80b5bead90155d8c91d2f43ea6a4139b0cb12	private-prerelease-asset	release-evidence;taxonomy-abox
metadata/taxonomy/ASV_seqs-trips1-5.fasta	canonical-input	161872009	7b2b6f23a0d80ca004f730b164b9b9b4514aafcb23f8e2019e1d2d3216b88854	private-prerelease-asset	ecology-cache-rebuild
metadata/taxonomy/feature-table.tsv	legacy-input	262910985	0d13260637e4974072f9efbfad9518a83dfea89cbda2a4a573641fde8dea1b78	private-prerelease-asset	legacy-audit-only
metadata/taxonomy/feature_table_filtered_normalized.tsv	derived-input-under-review	164240448	df5bfbcf21c14c257128294d66a80fcc27e6002c2c8b397bf3a71f3250d60a3e	private-prerelease-asset	provenance-audit-only
metadata/taxonomy/feature_table_filtered_raw_w_reps.tsv	derived-input-under-review	257774199	cdf236fdeb5f539c6d39cb7f2c48f0aa5e83e82a0f06bd267f91545f63b769a6	private-prerelease-asset	provenance-audit-only
metadata/metagenome/eq.emapper.annotations.gz	canonical-input	338664615	b79dc4827d1908af7aef724dbf6904187aa119890d10fe3abd313dee36ed77d6	private-prerelease-asset	encoded-function-analysis
metadata/metagenome/measured_function_inputs.tar.gz	canonical-input	120244429	08d8b84ab7331e8bcc62fa6cf0539e4008e6399a39c4bb4f9da5fde3b29bd46a	private-prerelease-asset	measured-function-analysis
data/ontologies/chebi.owl	external-snapshot	810108957	75679f3e08dec31f926c56b29ef251bbde91236b19c428bf561743d9db8f8cb7	private-prerelease-asset	xrf-chemical-audit
data/ontologies/ncbitaxon.owl	external-snapshot	1646833334	5238897945e50ceb9007a1f96f40d1e8774456c3a0d691292fe7e8e9b5b1287d	private-prerelease-asset	taxonomy-mapping
ontology/rubalkhali_taxonomy_abox.ttl	generated-output	6722670815	d78be36a0fb3f91a28bec4c6489ca1a34d97c576e10cd2c92fc59e4dfd0eb808	rebuild-not-download	direct-kg-loading
