feature_id	raw_taxon	canonical_seven_rank_lineage	first7_species	supplementary_species	confidence	disposition	feature_table_present
0213c6793918fb3e863b265bb39361b1	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;;iheyensis;1	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;NA	NA	iheyensis	1	extra_only_preserved_not_promoted	true
03b0702131b09cc4609449d74c7cd535	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;amylolyticum;indicum;0.81	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;amylolyticum	amylolyticum	indicum	0.81	conflict_preserved_not_promoted	true
06a7752d6842fbe2f302cd8680540473	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;;daeguense;1	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;NA	NA	daeguense	1	extra_only_preserved_not_promoted	true
076daedac7ee23516250440cb546b4f2	Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Iamiaceae;Aquihabitans;;daechungensis;1	Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Iamiaceae;Aquihabitans;NA	NA	daechungensis	1	extra_only_preserved_not_promoted	true
086f9a04e17bdf3d0eaf852fe7995e2b	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Micrococcaceae;Enteractinococcus;;fodinae;0.99	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Micrococcaceae;Enteractinococcus;NA	NA	fodinae	0.99	extra_only_preserved_not_promoted	true
0e10e593fc7c556c85cfd034ad3b263a	Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;;radiodurans;1	Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;NA	NA	radiodurans	1	extra_only_preserved_not_promoted	true
0e449a5d014385c8c66502d20fd9041f	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;;profundimaris;1	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;NA	NA	profundimaris	1	extra_only_preserved_not_promoted	true
0e88157a2695d90a909fa4f88e10d6ba	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Thermoclostridium;;caenicola;1	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Thermoclostridium;NA	NA	caenicola	1	extra_only_preserved_not_promoted	true
10ac375c6662a67d2669d6a0da012a09	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;;subtilis;1	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;NA	NA	subtilis	1	extra_only_preserved_not_promoted	true
115783893258e594a3905cf80f29cd76	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Pontibacter;;deserti;1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Pontibacter;NA	NA	deserti	1	extra_only_preserved_not_promoted	true
