historical_violation_code	taxon_string	rank	name	mapped_id	detail
ncbi_rank_mismatch	Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Candidatus Ovatusbacter;NA	Order	Gammaproteobacteria Incertae Sedis	118884	expected ['order'], found None ('Gammaproteobacteria incertae sedis')
ncbi_rank_mismatch	Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;NA;NA	Order	Gammaproteobacteria Incertae Sedis	118884	expected ['order'], found None ('Gammaproteobacteria incertae sedis')
ncbi_rank_mismatch	Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Wenzhouxiangella;NA	Order	Gammaproteobacteria Incertae Sedis	118884	expected ['order'], found None ('Gammaproteobacteria incertae sedis')
ncbi_rank_mismatch	Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Wenzhouxiangella;sediminis	Order	Gammaproteobacteria Incertae Sedis	118884	expected ['order'], found None ('Gammaproteobacteria incertae sedis')
ncbi_rank_mismatch	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Halomonas;pacifica	Species	pacifica	3015004	expected ['species'], found 'genus' ('Pacifica')
ncbi_label_mismatch	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Halomonas;pacifica	Species	pacifica	3015004	expected preferred label or synonym 'Halomonas pacifica', found preferred label 'Pacifica'
ncbi_rank_mismatch	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;balearica	Species	balearica	30413	expected ['species'], found 'genus' ('Balearica')
ncbi_label_mismatch	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;balearica	Species	balearica	30413	expected preferred label or synonym 'Pseudomonas balearica', found preferred label 'Balearica'
ncbi_rank_mismatch	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;xanthomarina	Species	xanthomarina	1868329	expected ['species'], found 'genus' ('Xanthomarina')
ncbi_label_mismatch	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;xanthomarina	Species	xanthomarina	1868329	expected preferred label or synonym 'Pseudomonas xanthomarina', found preferred label 'Xanthomarina'
ncbi_rank_mismatch	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;BD1-7 clade;NA	Genus	BD1-7 clade	744998	expected ['genus'], found 'clade' ('BD1-7 clade')
ncbi_rank_mismatch	Bacteria;SAR324 clade(Marine group B);Incertae Sedis;Incertae Sedis;Incertae Sedis;Candidatus Nitrosoarchaeum;limnia	Species	limnia	320943	expected ['species'], found 'genus' ('Limnia')
ncbi_label_mismatch	Bacteria;SAR324 clade(Marine group B);Incertae Sedis;Incertae Sedis;Incertae Sedis;Candidatus Nitrosoarchaeum;limnia	Species	limnia	320943	expected preferred label or synonym 'Candidatus Nitrosoarchaeum limnia', found preferred label 'Limnia'
project_identifier_context_collision					RAK_0010006 is reused in 15 contexts: Class|Incertae Sedis|parent=1239; Class|Incertae Sedis|parent=RAK_0010562; Family|Incertae Sedis|parent=1779134; Family|Incertae Sedis|parent=3120411; Family|Incertae Sedis|parent=3120421; Family|Incertae Sedis|parent=766; Family|Incertae Sedis|parent=85012; Family|Incertae Sedis|parent=RAK_0010005; Family|Incertae Sedis|parent=RAK_0010006; Family|Incertae Sedis|parent=RAK_0010282; Family|Incertae Sedis|parent=RAK_0010286; Order|Incertae Sedis|parent=1236; Order|Incertae Sedis|parent=1676648; Order|Incertae Sedis|parent=186801; Order|Incertae Sedis|parent=RAK_0010006
project_identifier_context_collision					RAK_0010042 is reused in 2 contexts: Species|endophyticus|parent=38501; Species|endophyticus|parent=RAK_0010083
project_identifier_context_collision					RAK_0010266 is reused in 2 contexts: Family|Unknown Family|parent=118884; Family|Unknown Family|parent=RAK_0010265
project_identifier_context_collision					RAK_0010518 is reused in 2 contexts: Species|xinjiangensis|parent=286; Species|xinjiangensis|parent=68
explicit_identifier_rank_or_label_collision					NCBI 114627 is reused for [('Genus', 'Alkaliphilus'), ('Species', 'alkaliphilus')]
explicit_identifier_rank_or_label_collision					RAK RAK_0010006 is reused for [('Class', 'Incertae Sedis'), ('Family', 'Incertae Sedis'), ('Order', 'Incertae Sedis')]
