taxon_string	rank	source_name	source_lineage	historical_candidate_id	historical_candidate_type	historical_prefix_evidence_count	historical_prefix_conflict	candidate_names	rank_compatible_candidate_count	rank_compatible_candidate_ids	ancestry_compatible_candidate_count	ancestry_compatible_candidate_ids	final_iri	final_label	mapping_status	reason	parent_iri	supplementary_species_policy
Archaea;Aenigmarchaeota;NA;NA;NA;NA;NA	family	NA	Archaea;Aenigmarchaeota;NA;NA;NA		none	0	False		0		0		https://rubalkhali.science/kb/RAK_CTX_9de254a2a629fcd71104beac	unclassified family in Aenigmarchaeota	contextual	source rank is unclassified; inherited identifiers are not asserted	https://rubalkhali.science/kb/RAK_CTX_bfa5dacead68ba826b62f303	provenance_only_never_promoted
Archaea;Aenigmarchaeota;NA;NA;NA;NA;NA	genus	NA	Archaea;Aenigmarchaeota;NA;NA;NA;NA		none	0	False		0		0		https://rubalkhali.science/kb/RAK_CTX_4855721fde4f041e1d0b3dc9	unclassified genus in Aenigmarchaeota	contextual	source rank is unclassified; inherited identifiers are not asserted	https://rubalkhali.science/kb/RAK_CTX_9de254a2a629fcd71104beac	provenance_only_never_promoted
Archaea;Aenigmarchaeota;NA;NA;NA;NA;NA	species	NA	Archaea;Aenigmarchaeota;NA;NA;NA;NA;NA		none	0	False		0		0		https://rubalkhali.science/kb/RAK_CTX_2c6f7298823bb5e8a63b5ddd	unclassified species in Aenigmarchaeota	contextual	source rank is unclassified; inherited identifiers are not asserted	https://rubalkhali.science/kb/RAK_CTX_4855721fde4f041e1d0b3dc9	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA	domain	Archaea	Archaea		none	0	False	archaea	1	2157	1	2157	http://purl.obolibrary.org/obo/NCBITaxon_2157	Archaea	validated_ncbi	new lineage has one exact rank-compatible NCBI label/synonym match with compatible validated ancestry		provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA	phylum	Halobacteriota	Archaea;Halobacteriota		none	0	False	halobacteriota	1	3100166	1	3100166	http://purl.obolibrary.org/obo/NCBITaxon_3100166	Halobacteriota	validated_ncbi	new lineage has one exact rank-compatible NCBI label/synonym match with compatible validated ancestry	http://purl.obolibrary.org/obo/NCBITaxon_2157	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA	class	Halobacteria	Archaea;Halobacteriota;Halobacteria		none	0	False	halobacteria	1	183963	0		https://rubalkhali.science/kb/RAK_CTX_924f7c090f1adced1b5bb75d	Halobacteria	contextual	exact NCBI name candidates conflict with validated higher-rank ancestry	http://purl.obolibrary.org/obo/NCBITaxon_3100166	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA	order	Halobacterales	Archaea;Halobacteriota;Halobacteria;Halobacterales		none	0	False	halobacterales	0		0		https://rubalkhali.science/kb/RAK_CTX_2175f3a6503249ead100b935	Halobacterales	contextual	no exact rank-compatible NCBI preferred-label or synonym match	https://rubalkhali.science/kb/RAK_CTX_924f7c090f1adced1b5bb75d	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA	family	Haloadaptaceae	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae		none	0	False	haloadaptaceae	0		0		https://rubalkhali.science/kb/RAK_CTX_f54401e3a6d1ad627f52add3	Haloadaptaceae	contextual	no exact rank-compatible NCBI preferred-label or synonym match	https://rubalkhali.science/kb/RAK_CTX_2175f3a6503249ead100b935	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA	genus	Haladaptatus	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus		none	0	False	haladaptatus	1	367188	0		https://rubalkhali.science/kb/RAK_CTX_4b67198509bd2c8ef49dc6dc	Haladaptatus	contextual	exact NCBI name candidates conflict with validated higher-rank ancestry	https://rubalkhali.science/kb/RAK_CTX_f54401e3a6d1ad627f52add3	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA	species	NA	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA		none	0	False		0		0		https://rubalkhali.science/kb/RAK_CTX_c0a7a7cb9f4f85d90fe6c073	unclassified species in Haladaptatus	contextual	source rank is unclassified; inherited identifiers are not asserted	https://rubalkhali.science/kb/RAK_CTX_4b67198509bd2c8ef49dc6dc	provenance_only_never_promoted
