annotation_basis	group	n_samples	taxonomic_median_bray	observed_functional_median_bray	functional_taxonomic_ratio	null_median	null_q025	null_q975	lower_tail_p	upper_tail_p	permutations
ko_copy_count	All	150	0.8227167580039108	0.17211896891228715	0.20920805032571002	0.1174097542232286	0.11394852047578143	0.12132252824733603	1.0	0.001	999
ko_copy_count	Deep	44	0.8092897348164644	0.1697482819569733	0.20974970354155037	0.11295983159357964	0.10812299327676782	0.11795185580548548	1.0	0.001	999
ko_copy_count	Rhizosphere	79	0.8180998552125226	0.17250853387269205	0.2108648874260936	0.11954773635949616	0.11562000469277708	0.12387980271517281	1.0	0.001	999
ko_copy_count	Surface	27	0.7520899323533472	0.14701177541903307	0.19547100565356848	0.10950376090034261	0.10313773487499843	0.11732040372028127	1.0	0.001	999
within_genome_relative	All	150	0.8227167580039108	0.17413797187659266	0.2116621184416969	0.1186923412773772	0.11530215447000698	0.12345793715954509	1.0	0.001	999
within_genome_relative	Deep	44	0.8092897348164644	0.17133457003008418	0.2117098026319838	0.11399686828327771	0.10974884140721203	0.11952378567738864	1.0	0.001	999
within_genome_relative	Rhizosphere	79	0.8180998552125226	0.17182294793792496	0.21002686511084825	0.12087368505884834	0.11696302594568149	0.12613960631374593	1.0	0.001	999
within_genome_relative	Surface	27	0.7520899323533472	0.15009878370457808	0.19957557899346884	0.11091308822462409	0.10473407623082229	0.11896373613851415	1.0	0.001	999
