trip	site	compartment	ph	ph_sd	n_ph_specimens	shannon	sequencing_depth	n_profiles	log_sequencing_depth	transect_km
1	1	Deep	7.995	0.007071067811865324	2	6.655827416668735	207774.0	2	12.244211042421227	-517.7178161
1	1	Rhizosphere	7.95		1	6.715934327655664	186884.0	1	12.138248733401074	-517.7178161
1	1	Surface	7.989999999999999	0.009999999999999787	3	6.167398689022062	995003.0	3	13.810502036233151	-517.7178161
1	2	Deep	8.07		1	5.781290608805656	20729.0	1	9.939337205429826	-508.601156
1	2	Rhizosphere	7.9		1	6.034870259113963	227586.0	1	12.335287861852592	-508.601156
1	2	Surface	8.15		1	5.474749176568929	18569.0	1	9.829302654346751	-508.601156
1	3	Deep	7.77		1	7.401163248654631	569675.0	1	13.252823057145608	-492.2969033
1	3	Rhizosphere	7.65		1	6.38308220002177	295697.0	1	12.597093942205927	-492.2969033
1	3	Surface	7.84		1	6.417511801421415	68097.0	1	11.128703123130714	-492.2969033
1	4	Deep	7.97		1	5.290081596005005	12168.0	1	9.4066470133368	-473.520626
1	4	Rhizosphere	7.93		1	6.003990519698318	961183.0	1	13.775921136846565	-473.520626
1	4	Surface	8.02		1	6.332888782654392	641748.0	1	13.371952540492982	-473.520626
1	5	Deep	7.99		1	6.294755274737854	156969.0	1	11.963809983269252	-461.9018782
1	5	Surface	8.03		1	5.725087157253492	244857.0	1	12.408433729661853	-461.9018782
1	6	Deep	7.93		1	7.217200723625958	963407.0	1	13.778232277067383	-445.8293645
1	6	Rhizosphere	7.88		1	4.960751909945537	16591.0	1	9.716675930469309	-445.8293645
1	6	Surface	7.96		1	5.911475454407379	53354.0	1	10.884722973050666	-445.8293645
1	7	Deep	7.95		1	6.873276871173924	470585.0	1	13.061734005576612	-431.6397836
1	7	Rhizosphere	7.7		1	5.307778352015222	14554.0	1	9.585689856179723	-431.6397836
1	7	Surface	8.04		1	4.005569337181843	53896.0	1	10.894830096721002	-431.6397836
1	8	Rhizosphere	7.723333333333334	0.041633319989322286	3	5.838476733709411	763061.0	3	13.545094565156676	-415.8003027
1	8	Surface	7.395	0.007071067811865638	2	6.104140472266392	197699.0	2	12.194506009158708	-415.8003027
1	9	Deep	7.97		1	6.561909712696564	318005.0	1	12.669825529508845	-395.7107504
1	9	Rhizosphere	7.9		1	5.799661496283749	462436.0	1	13.04426561044013	-395.7107504
1	9	Surface	8.09		1	6.314880398953704	366332.0	1	12.811298034799128	-395.7107504
1	10	Deep	7.7		1	6.659232384545959	503679.0	1	13.12969642477112	-379.2725562
1	10	Rhizosphere	8.02		1	5.869525257032846	234734.0	1	12.366212497265382	-379.2725562
1	10	Surface	8.01		1	6.830716177023331	1634081.0	1	14.306591736741462	-379.2725562
1	11	Deep	8.13		1	5.938083780496115	487056.0	1	13.096136438336865	-360.8242371
1	11	Rhizosphere	8.01		1	5.945018617411077	847369.0	1	13.649892714140552	-360.8242371
1	11	Surface	8.12		1	5.678883274313884	125604.0	1	11.740897341141078	-360.8242371
1	13	Deep	8.03		1	6.9528277174114095	473455.0	1	13.067814262264074	-316.1965033
1	13	Surface	8.02		1	5.654056548523213	357173.0	1	12.785978336981417	-316.1965033
1	15	Deep	7.93		1	7.228124542544702	943660.0	1	13.757522270462648	-271.073248
1	15	Rhizosphere	7.8		1	5.897749197947201	909284.0	1	13.720413855372067	-271.073248
1	15	Surface	7.97		1	6.42089305484757	900509.0	1	13.710716548478187	-271.073248
1	16	Deep	7.91		1	6.438471986347724	416803.0	1	12.940371366304227	-255.0162042
1	16	Rhizosphere	7.8		1	4.947956730318936	16917.0	1	9.73613342286396	-255.0162042
1	16	Surface	7.88		1	4.805189136725123	214146.0	1	12.274417974073106	-255.0162042
1	17	Deep	7.99		1	6.679286079105272	133041.0	1	11.798420146826574	-233.6971823
1	17	Rhizosphere	7.7		1	4.991549885889936	218408.0	1	12.294124730795037	-233.6971823
1	17	Surface	8.01		1	5.480153064178926	23551.0	1	10.066966021528604	-233.6971823
1	18	Deep	7.61		1	5.753251893919978	299805.0	1	12.610890877792599	-210.0095507
1	18	Rhizosphere	7.91		1	3.421212613317964	554215.0	1	13.225309781438154	-210.0095507
1	18	Surface	7.875	0.07778174593051983	2	5.245220086020158	230212.0	2	12.346760246307893	-210.0095507
1	19	Deep	7.7		1	6.134222166334685	141570.0	1	11.860556637007022	-188.4893933
1	19	Surface	7.78		1	4.4410162925589045	416258.0	1	12.939062941664668	-188.4893933
1	20	Deep	7.79		1	5.812305908854338	594658.0	1	13.295743410994193	-168.4448291
1	20	Surface	7.81		1	4.026017136604109	395135.0	1	12.886985288421776	-168.4448291
1	22	Deep	7.975	0.021213203435596288	2	6.313795876181372	1166613.0	2	13.96961609391542	-144.181918
1	22	Rhizosphere	7.97		1	5.638642377512771	473079.0	1	13.067019786365053	-144.181918
1	22	Surface	7.945	0.049497474683058526	2	5.681170915388341	334183.0	2	12.719447018473723	-144.181918
1	23	Deep	8.03		1	6.06905356310698	221753.0	1	12.309323938340592	-129.008546
1	23	Rhizosphere	7.8		1	4.854156371080063	55872.0	1	10.930836537091798	-129.008546
1	23	Surface	7.96		1	5.210711758903411	621961.0	1	13.34063427660746	-129.008546
1	24	Deep	8.02		1	6.229304455537572	510802.0	1	13.143739276263446	-115.1821155
1	24	Surface	7.79		1	5.837575453420429	55712.0	1	10.927968791861163	-115.1821155
1	25	Deep	7.89		1	6.440835870975157	499676.0	1	13.121717168656422	-109.3965555
1	25	Rhizosphere	7.73		1	5.265009395124739	375595.0	1	12.836269376632274	-109.3965555
1	25	Surface	7.99		1	6.153406882640771	376969.0	1	12.839920887667025	-109.3965555
1	27	Deep	7.89		1	7.000027120475883	740948.0	1	13.515687075998681	-82.47630032
1	27	Rhizosphere	7.29		1	5.249714056183764	443610.0	1	13.002703331265423	-82.47630032
1	27	Surface	7.92		1	5.687635339799874	630451.0	1	13.35419230143356	-82.47630032
1	28	Deep	7.98		1	6.348689604596271	258543.0	1	12.46282117121203	-63.70113915
1	28	Rhizosphere	8.01		1	6.281413260910348	495049.0	1	13.112414046550661	-63.70113915
1	28	Surface	8.0		1	5.724465452900271	514475.0	1	13.150904185937904	-63.70113915
1	29	Deep	8.03		1	6.390687316553075	572404.0	1	13.257602061776526	-43.16663877
1	29	Rhizosphere	7.94		1	6.329028100820555	174179.0	1	12.06784452624673	-43.16663877
1	29	Surface	7.78		1	5.753093155066934	421606.0	1	12.951828879487014	-43.16663877
1	30	Deep	8.1		1	6.172157290523014	139558.0	1	11.84624272989814	-31.04008344
1	30	Rhizosphere	8.04		1	6.5415625135095405	880174.0	1	13.687876030320002	-31.04008344
1	30	Surface	7.93		1	5.911531066006062	448049.0	1	13.012660112312366	-31.04008344
1	31	Deep	8.27		1	6.0195819534267	462115.0	1	13.043571220799086	-9.181887324
1	31	Rhizosphere	8.0		1	4.750769274962029	300114.0	1	12.61192101351822	-9.181887324
1	31	Surface	8.16		1	6.255046846646303	489913.0	1	13.10198514447901	-9.181887324
1	32	Rhizosphere	8.04		1	5.795138750109911	156644.0	1	11.961737377581759	11.86272886
1	33	Deep	7.9		1	5.984028233640966	523517.0	1	13.16832669265577	33.58954434
1	33	Rhizosphere	7.7		1	5.239384936633843	396883.0	1	12.891399325537325	33.58954434
1	33	Surface	8.08		1	6.114771200056611	271531.0	1	12.511835275130819	33.58954434
1	34	Deep	7.81		1	5.353876026384497	431609.0	1	12.975277681699188	55.94883459
