trip	site	compartment	ph	ph_sd	n_ph_specimens	shannon	sequencing_depth	n_profiles	log_sequencing_depth	transect_km
1	34	Rhizosphere	7.8		1	5.5856240381611295	274524.0	1	12.522797610465915	55.94883459
1	34	Surface	7.87		1	6.389289360104938	830488.0	1	13.629769962914658	55.94883459
1	35	Deep	7.92		1	6.159990994050095	405578.0	1	12.913070954770802	78.55661989
1	35	Rhizosphere	7.91		1	4.993547272511452	205859.0	1	12.23495160508055	78.55661989
1	35	Surface	8.18		1	6.351941093844511	768244.0	1	13.551863971673471	78.55661989
1	36	Deep	8.0		1	5.728591220839864	270651.0	1	12.508589141815408	122.2237697
1	36	Surface	8.05		1	3.665829167620556	20015.0	1	9.904287232706693	122.2237697
1	37	Deep	8.22		1	6.4978832541416125	357294.0	1	12.786317050070878	143.4054133
1	37	Rhizosphere	8.19		1	5.94072874683531	376528.0	1	12.838750348488198	143.4054133
1	37	Surface	8.24		1	6.5856635721911765	472516.0	1	13.06582900410469	143.4054133
1	38	Deep	7.94		1	6.332524792960212	232842.0	1	12.358119685686795	146.1476077
1	38	Rhizosphere	8.03		1	6.149058884876152	625188.0	1	13.345809283004874	146.1476077
1	38	Surface	7.96		1	6.493041243761703	460036.0	1	13.039062200013182	146.1476077
1	39	Deep	8.04		1	5.790080850720783	229779.0	1	12.344877608407355	170.4835934
1	39	Rhizosphere	8.05		1	5.206830441898898	201061.0	1	12.211368597189356	170.4835934
1	39	Surface	7.92		1	5.854214328168118	132265.0	1	11.792570325389462	170.4835934
1	40	Deep	7.96		1	6.327907375218389	522507.0	1	13.166395573708675	194.6749641
1	40	Rhizosphere	8.06		1	5.845523043807353	379688.0	1	12.847107775560586	194.6749641
1	41	Deep	8.07		1	2.515991427976635	24318.0	1	10.099013216813665	206.9146237
1	41	Rhizosphere	7.98		1	5.797500418919494	330261.0	1	12.70764155783344	206.9146237
1	42	Deep	7.99		1	6.481842446038048	148967.0	1	11.911486796761599	225.5104191
1	42	Rhizosphere	8.02		1	5.670761491697691	453138.0	1	13.023954200665512	225.5104191
1	42	Surface	8.01		1	4.937272415647771	113641.0	1	11.640808435250074	225.5104191
1	43	Deep	8.055	0.06363961030678918	2	6.4327421528003494	637091.0	2	13.364669351127295	236.0478339
1	43	Rhizosphere	8.0		1	6.424623084712568	301967.0	1	12.61807633047792	236.0478339
1	43	Surface	8.09		1	6.034453245669747	110391.0	1	11.61179294643139	236.0478339
1	44	Deep	7.99		1	6.261705428379263	737956.0	1	13.51164083630245	255.1948189
1	44	Rhizosphere	8.0		1	5.437727895644472	216052.0	1	12.283279026938287	255.1948189
1	45	Deep	8.23		1	5.855163333634126	339044.0	1	12.733888120915799	261.0075307
1	45	Rhizosphere	8.06		1	5.4863804982152296	258006.0	1	12.46074199531864	261.0075307
1	45	Surface	8.15		1	6.127026216817883	512753.0	1	13.147551476976846	261.0075307
1	46	Deep	8.2		1	5.055741797306747	129263.0	1	11.76961210371949	281.5198373
1	46	Rhizosphere	8.18		1	4.055009165820923	2046.0	1	7.624130585661289	281.5198373
1	46	Surface	8.16		1	5.148081164849797	107990.0	1	11.589803169300609	281.5198373
1	47	Deep	8.1		1	6.545768254049477	259795.0	1	12.467651986641295	301.7956702
1	47	Rhizosphere	8.08		1	5.124237546974011	21560.0	1	9.978641406136552	301.7956702
1	47	Surface	8.14		1	6.76689901457821	382238.0	1	12.853801346398827	301.7956702
1	48	Deep	8.0		1	5.7632927140028745	175317.0	1	12.074356746756063	325.4860432
1	48	Surface	8.1		1	5.589313506088121	300759.0	1	12.614067883491963	325.4860432
1	49	Deep	8.29		1	5.480517931532357	191915.0	1	12.164813055278872	346.9345123
1	49	Rhizosphere	8.27		1	5.900392269910602	109413.0	1	11.602894131532002	346.9345123
1	50	Deep	8.27		1	6.254453494405376	90101.0	1	11.408697640908336	361.0995833
1	50	Rhizosphere	8.09		1	5.896335016273405	534861.0	1	13.189764048679654	361.0995833
1	50	Surface	8.21		1	5.106424533709721	23333.0	1	10.057666803383801	361.0995833
1	51	Deep	8.31		1	5.899527454716157	1278036.0	1	14.06083586498723	370.4731391
1	51	Rhizosphere	8.28		1	4.151150836492533	333425.0	1	12.717176230661325	370.4731391
1	52	Deep	8.27		1	4.655282501768799	405299.0	1	12.9123828126164	389.9085155
1	53	Deep	8.39		1	4.783797130786727	525288.0	1	13.171703866307798	399.3720026
1	53	Rhizosphere	8.31		1	4.821115076199249	34154.0	1	10.438664267165949	399.3720026
1	53	Surface	8.42		1	1.5121167518413738	67648.0	1	11.122087851523679	399.3720026
1	54	Deep	8.21		1	5.168985123562304	406279.0	1	12.914797856053438	421.7455418
1	54	Rhizosphere	8.17		1	4.122365070628243	140880.0	1	11.855670841384532	421.7455418
1	54	Surface	8.15		1	3.338173883941729	1230.0	1	7.115582126184454	421.7455418
1	56	Deep	8.18		1	4.024855644226668	21885.0	1	9.993602441978389	446.6704889
1	56	Surface	8.11		1	3.99710375781564	21640.0	1	9.982344942613622	446.6704889
1	57	Deep	8.39		1	5.188134154240806	31250.0	1	10.349806654652559	464.8588197
1	57	Rhizosphere	8.4		1	4.371297548983113	426086.0	1	12.962398829752463	464.8588197
1	57	Surface	8.43		1	3.88909466118054	94954.0	1	11.461158374148345	464.8588197
1	58	Rhizosphere	8.23		1	5.162432508762434	197756.0	1	12.194794283233486	481.5214344
1	58	Surface	8.26		1	4.517751776217252	14313.0	1	9.568993358298544	481.5214344
1	59	Rhizosphere	8.45		1	3.690052725539084	8737.0	1	9.075436609511382	485.7169022
1	60	Deep	8.2		1	4.517929494501491	147421.0	1	11.901054501331487	496.6102363
1	60	Surface	8.22		1	4.642253451079344	142260.0	1	11.86541867764562	496.6102363
2	1	Deep	7.81		1	3.586140005587671	1485.0	1	7.303843225277705	-517.7178161
2	2	Deep	7.8		1	4.798986593452173	12566.0	1	9.438829609615144	-508.601156
2	2	Rhizosphere	7.445	0.06363961030678918	2	5.052510760899326	665671.0	2	13.408552335715774	-508.601156
2	4	Rhizosphere	7.7		1	5.978007521513599	545420.0	1	13.209313252502756	-473.520626
2	4	Surface	7.79		1	6.491502375118535	226775.0	1	12.331718025130572	-473.520626
2	5	Rhizosphere	7.59		1	6.624019206265058	301075.0	1	12.615118003554702	-461.9018782
2	5	Surface	7.773333333333333	0.04041451884327397	3	6.519086541948259	3455581.0	3	15.05550145251708	-461.9018782
2	6	Deep	7.595	0.06363961030678918	2	6.2886406558508	799951.0	2	13.592307004849992	-445.8293645
2	6	Rhizosphere	7.5600000000000005	0.014142135623730963	2	3.843370734948529	23125.0	2	10.048712804688908	-445.8293645
2	7	Rhizosphere	7.535	0.049497474683058526	2	5.968384563298536	611047.0	2	13.322930794806211	-431.6397836
2	8	Deep	7.91		1	3.8013977938268697	13407.0	1	9.503606822721864	-415.8003027
2	8	Rhizosphere	7.525	0.049497474683058214	2	5.7681055511416695	626656.0	2	13.348154620487133	-415.8003027
2	8	Surface	7.53		1	6.444431474850381	603513.0	1	13.310524517262252	-415.8003027
3	5	Deep	8.2		1	6.652942495018957	86938.0	1	11.372962002291217	-461.9018782
3	5	Rhizosphere	8.23		1	5.871814693151994	70036.0	1	11.156778952815396	-461.9018782
3	5	Surface	8.27		1	6.651555287911616	157478.0	1	11.967047395024812	-461.9018782
3	6	Deep	7.74		1	6.7245079362160585	418339.0	1	12.94404977800791	-445.8293645
3	6	Rhizosphere	7.69		1	6.386883712557067	310850.0	1	12.647068976677993	-445.8293645
3	6	Surface	7.7		1	5.973193200674619	523646.0	1	13.168573072167407	-445.8293645
3	7	Deep	7.84		1	6.17189943196058	416799.0	1	12.940361769421294	-431.6397836
3	7	Rhizosphere	7.81		1	6.364723358644341	465559.0	1	13.050996261055912	-431.6397836
3	7	Surface	7.8		1	6.17184993563639	320810.0	1	12.678607443663442	-431.6397836
3	9	Deep	7.73		1	5.716951942602005	293173.0	1	12.58852156839141	-395.7107504
3	9	Rhizosphere	7.71		1	3.5140603743704446	235844.0	1	12.370930088572486	-395.7107504
3	9	Surface	7.69		1	5.837292016567195	337605.0	1	12.729634814057858	-395.7107504
3	10	Deep	7.79		1	5.290056668648759	395144.0	1	12.887008065130315	-379.2725562
3	10	Rhizosphere	7.7		1	4.810205563573631	163550.0	1	12.004880147285961	-379.2725562
3	10	Surface	7.76		1	5.89620230054602	468163.0	1	13.056573940864887	-379.2725562
3	11	Deep	7.69		1	6.637360702246734	491207.0	1	13.104622942327396	-360.8242371
3	11	Rhizosphere	7.65		1	6.3611998202542965	295163.0	1	12.595286413052287	-360.8242371
3	11	Surface	7.61		1	3.5971559076439235	217217.0	1	12.288656736536323	-360.8242371
3	12	Deep	8.04	0.09899494936611612	2	7.2860887072277984	741812.0	2	13.516852468823405	-339.7251328
3	12	Rhizosphere	8.093333333333334	0.020816659994660848	3	5.513040103614048	449497.0	3	13.015886683495705	-339.7251328
3	12	Surface	8.025	0.03535533905932788	2	6.406766553503664	744382.0	2	13.52031096630515	-339.7251328
3	13	Deep	7.9		1	6.3652297302380125	325171.0	1	12.692109552087892	-316.1965033
3	13	Rhizosphere	7.86		1	5.7764309862173056	131374.0	1	11.785811108179253	-316.1965033
3	13	Surface	7.88		1	5.977393855345067	1008371.0	1	13.823847707151176	-316.1965033
3	14	Deep	8.01		1	5.651504295122838	519873.0	1	13.16134175350405	-290.6183269
3	14	Rhizosphere	7.94		1	5.232710635594185	51655.0	1	10.852361634306304	-290.6183269
3	14	Surface	7.97		1	6.046326977271598	348877.0	1	12.762477569870086	-290.6183269
3	15	Deep	8.02		1	5.889602072791014	185203.0	1	12.129213199233115	-271.073248
3	15	Rhizosphere	7.79		1	5.124169802131627	98731.0	2	11.500164387667613	-271.073248
3	15	Surface	8.0		1	6.007258826871896	69531.0	1	11.149542357241431	-271.073248
3	16	Deep	7.8		1	5.843442324080852	169939.0	1	12.043200712557532	-255.0162042
3	16	Rhizosphere	7.89		1	6.593582603739249	311261.0	1	12.648390280234727	-255.0162042
3	16	Surface	7.96		1	6.707315124341131	310310.0	1	12.645330299373088	-255.0162042
3	17	Deep	7.63		1	5.697296147281195	1009475.0	1	13.824941942306802	-233.6971823
3	17	Rhizosphere	7.58		1	5.8474900042265725	173549.0	1	12.064221021289931	-233.6971823
3	17	Surface	7.6		1	6.602085046848311	560472.0	1	13.236536349058431	-233.6971823
3	19	Deep	7.77		1	6.123336013993772	959051.0	1	13.773700575544668	-188.4893933
3	19	Rhizosphere	7.74		1	5.241095241784358	149999.0	1	11.918390573078392	-188.4893933
3	19	Surface	7.72		1	6.151385290418565	637908.0	1	13.365950918925	-188.4893933
3	20	Deep	7.77		1	6.466645824962625	577705.0	1	13.266820367728924	-168.4448291
3	20	Rhizosphere	7.74		1	6.543031419071071	426599.0	1	12.963602085019387	-168.4448291
3	20	Surface	7.72		1	6.346236309531261	418757.0	1	12.945048466416537	-168.4448291
3	21	Deep	7.69		1	6.482332906401845	269446.0	1	12.504126989508606	-161.4547433
3	21	Rhizosphere	7.61		1	4.275887378394659	68085.0	1	11.128526890973765	-161.4547433
3	21	Surface	7.53		1	4.79089896557724	240708.0	1	12.391344014015223	-161.4547433
3	23	Deep	7.58		1	6.784856155857501	350095.0	1	12.765962681570432	-129.008546
3	23	Rhizosphere	7.54		1	5.837329198542735	227917.0	1	12.336741194124514	-129.008546
3	23	Surface	7.6		1	6.649017288560778	437269.0	1	12.988306132257886	-129.008546
3	24	Deep	8.03		1	5.914521141616757	318186.0	1	12.670394539242947	-115.1821155
3	24	Rhizosphere	7.92		1	5.011926087826236	127009.0	1	11.752021102498365	-115.1821155
3	24	Surface	8.02		1	5.419276377652483	158028.0	1	11.970533839470706	-115.1821155
3	25	Deep	7.78		1	5.539841872429121	380004.0	1	12.84793968951074	-109.3965555
3	25	Rhizosphere	7.7		1	3.733555280296789	302188.0	1	12.618807928423015	-109.3965555
3	25	Surface	7.79		1	3.969574866681631	266228.0	1	12.492112119655678	-109.3965555
3	26	Deep	7.82		1	6.584801251317461	294032.0	1	12.591447284919791	-95.62861051
3	26	Rhizosphere	7.75		1	5.420682174859379	233612.0	1	12.361421179072698	-95.62861051
3	26	Surface	7.76		1	5.998872611977517	292811.0	1	12.587286043836047	-95.62861051
3	27	Deep	7.95		1	6.682140384351803	401130.0	1	12.90204333623111	-82.47630032
3	27	Rhizosphere	7.89		1	4.128638300376758	177847.0	1	12.088684531881828	-82.47630032
3	27	Surface	7.89		1	4.426932375132058	215300.0	1	12.279792328023508	-82.47630032
3	28	Deep	8.21		1	6.805318455678115	1437718.0	1	14.178568387875979	-63.70113915
3	28	Rhizosphere	8.03		1	5.884334994150269	311684.0	1	12.64974834140209	-63.70113915
3	28	Surface	8.11		1	6.384911568300455	1098133.0	1	13.909122933678189	-63.70113915
3	29	Deep	8.13		1	6.389594454320556	249839.0	1	12.42857599195696	-43.16663877
3	29	Rhizosphere	8.08		1	4.112700328645942	84038.0	1	11.339036255792474	-43.16663877
3	29	Surface	7.93		1	5.049752216116348	245503.0	1	12.411068519363	-43.16663877
3	30	Deep	8.16		1	6.155172392970754	428124.0	1	12.967170487998628	-31.04008344
3	30	Rhizosphere	8.0		1	6.016508988066004	284720.0	1	12.559265032400441	-31.04008344
3	30	Surface	8.04		1	6.123108802711523	250273.0	1	12.430311596674867	-31.04008344
3	31	Deep	7.92		1	5.057803314179503	234547.0	1	12.365415536753718	-9.181887324
3	31	Rhizosphere	7.9		1	4.834535635095026	157247.0	1	11.965579455880851	-9.181887324
3	31	Surface	7.98		1	6.341552864373731	481084.0	2	13.083799248652326	-9.181887324
3	32	Deep	7.93		1	6.198962478144205	481265.0	1	13.084175410784717	11.86272886
3	32	Rhizosphere	7.89		1	5.52485947035917	474513.0	1	13.070046401338697	11.86272886
3	32	Surface	7.82		1	6.241930130596004	742902.0	1	13.518320763360308	11.86272886
3	33	Deep	8.01		1	6.282114960682977	908315.0	2	13.71934761466049	33.58954434
3	33	Rhizosphere	7.87		1	5.868719760748326	256212.0	1	12.453764408765577	33.58954434
3	33	Surface	7.93		1	6.653249116284113	643126.0	1	13.37409749538097	33.58954434
3	34	Deep	7.79		1	6.165907088380995	620398.0	1	13.338118098419908	55.94883459
3	34	Rhizosphere	7.71		1	6.064500884285026	317120.0	1	12.667038683499213	55.94883459
3	34	Surface	7.8		1	6.173277957412413	1024083.0	2	13.83930911246721	55.94883459
3	35	Deep	8.17		1	6.7635342984172375	522563.0	1	13.166502743358333	78.55661989
3	35	Rhizosphere	7.97		1	5.905883249190334	267913.0	1	12.49842131247262	78.55661989
3	35	Surface	8.02		1	5.741674201226196	1002775.0	1	13.818282711992243	78.55661989
3	36	Deep	8.07		1	6.6646639595085535	281621.0	1	12.548321025214426	122.2237697
3	36	Rhizosphere	7.86		1	5.214808105357241	391715.0	1	12.878292366407122	122.2237697
3	36	Surface	7.88		1	5.290009042595261	542516.0	1	13.203974700311306	122.2237697
3	37	Deep	8.09		1	6.359014845306724	292269.0	1	12.58543331155223	143.4054133
3	37	Rhizosphere	8.01		1	4.418218910042306	565445.0	1	13.245370079262603	143.4054133
3	37	Surface	7.98		1	6.351133115682546	482119.0	1	13.08594832470228	143.4054133
3	38	Deep	8.03		1	6.309146421605799	768512.0	1	13.552212757887979	146.1476077
3	38	Rhizosphere	7.88		1	5.212490543157568	760982.0	1	13.542366297566709	146.1476077
3	38	Surface	7.83		1	6.092076822254023	577345.0	1	13.26619701914954	146.1476077
3	39	Deep	8.1		1	5.630681232570224	601910.0	1	13.307864872829908	170.4835934
3	39	Rhizosphere	8.06		1	4.983464398512691	287978.0	1	12.570642839792868	170.4835934
3	39	Surface	7.91		1	5.2999147694736415	346530.0	1	12.755727559699709	170.4835934
3	40	Deep	8.1		1	6.283889852014715	649811.0	1	13.384438369267304	194.6749641
3	40	Rhizosphere	8.14		1	5.968724988860361	213945.0	1	12.273478925713192	194.6749641
3	40	Surface	8.18		1	5.961780075065056	200089.0	1	12.206522544310538	194.6749641
3	42	Deep	8.2		1	6.168255888288022	487641.0	1	13.09733680905694	225.5104191
3	42	Rhizosphere	8.09		1	5.905782358916347	395478.0	1	12.887852967434998	225.5104191
3	42	Surface	8.11		1	5.467518011371851	574071.0	1	13.260510102975394	225.5104191
3	43	Deep	7.984999999999999	0.021213203435596916	2	5.6035339995066	1521205.0	3	14.235013999283	236.0478339
3	43	Rhizosphere	7.973333333333334	0.02081665999466163	3	6.017551654209188	818343.0	3	13.615038065080917	236.0478339
3	43	Surface	8.090000000000002	0.04358898943540754	3	5.1734240017175095	1325632.0	3	14.097400639172077	236.0478339
3	44	Deep	8.01		1	5.758072871519696	488710.0	1	13.099526591701471	255.1948189
3	44	Rhizosphere	8.07		1	3.67554805256823	226793.0	1	12.331797395459338	255.1948189
3	44	Surface	8.06		1	5.656313835126475	525993.0	1	13.173045084810681	255.1948189
3	45	Deep	8.31	0.04358898943540621	3	5.962789050487433	1025217.0	3	13.840415830867668	261.0075307
3	45	Rhizosphere	7.943333333333334	0.06658328118479362	3	6.705176788046319	648066.0	3	13.38174936505124	261.0075307
3	45	Surface	8.143333333333333	0.025166114784236766	3	4.479381052902924	828286.0	3	13.62711499166662	261.0075307
3	46	Deep	8.13		1	5.721940515696714	202959.0	1	12.220764194273164	281.5198373
3	46	Surface	8.05		1	3.2813298747937614	58312.0	1	10.973580332043829	281.5198373
3	47	Deep	8.04		1	4.252646063880515	169811.0	1	12.042447221740371	301.7956702
3	47	Rhizosphere	8.16		1	3.2728405414738537	243812.0	2	12.404156817003125	301.7956702
3	47	Surface	8.12		1	2.6796441065151626	40903.0	1	10.618983136759836	301.7956702
3	48	Deep	8.21		1	5.745275770462928	172934.0	1	12.060671080335164	325.4860432
3	49	Deep	7.94		1	5.465084659841859	240170.0	1	12.389106448616507	346.9345123
3	49	Rhizosphere	7.9		1	5.9815017868809015	271109.0	1	12.510279921564111	346.9345123
3	49	Surface	8.09		1	4.511800938271897	326946.0	1	12.697553357232383	346.9345123
3	50	Deep	8.09		1	5.79447650157836	515008.0	1	13.15193965522133	361.0995833
3	50	Rhizosphere	8.2		1	5.662393099776602	210458.0	1	12.257046138786793	361.0995833
3	50	Surface	8.19		1	6.622251536486525	349574.0	1	12.764473409909051	361.0995833
3	51	Deep	8.38		1	5.219498393303304	304280.0	1	12.625706895552531	370.4731391
3	51	Rhizosphere	8.37		1	5.521640312327223	378239.0	1	12.843284193759816	370.4731391
3	51	Surface	8.43		1	5.320683031468111	517307.0	2	13.156393720786003	370.4731391
3	52	Surface	8.41		1	3.5058505200303287	113146.0	1	11.63644313723251	389.9085155
3	53	Deep	8.3		1	3.223772440118486	96844.0	1	11.48086704127634	399.3720026
3	53	Rhizosphere	8.2		1	5.849047752168181	459016.0	1	13.036842525393865	399.3720026
3	53	Surface	8.27		1	4.717959326040593	208040.0	1	12.245490454643386	399.3720026
3	54	Rhizosphere	8.1		1	4.54176949589219	309479.0	1	12.64264874866339	421.7455418
3	56	Surface	8.14		1	2.576878510082256	173064.0	2	12.061422525457228	446.6704889
3	57	Deep	8.39		1	2.756038017914311	187849.0	2	12.143399051002115	464.8588197
3	57	Rhizosphere	8.42		1	5.334178452899562	29725.0	1	10.29977736270884	464.8588197
3	57	Surface	8.34		1	2.657222560061575	196960.0	2	12.190761018578423	464.8588197
3	58	Deep	8.28		1	3.1615361807128384	9890.0	2	9.199380531739841	481.5214344
3	58	Rhizosphere	8.38		1	4.911621126797658	159636.0	1	11.980657766703457	481.5214344
3	58	Surface	8.23		1	5.939153906873768	102606.0	1	11.538661435512369	481.5214344
3	59	Surface	8.49		1	2.9972352957180557	51989.0	2	10.858806671377762	485.7169022
3	60	Rhizosphere	8.46		1	4.711892500868999	121034.0	2	11.703835038950716	496.6102363
3	60	Surface	8.53		1	5.631379641233023	37238.0	1	10.525111878184058	496.6102363
4	4	Deep	7.8		1	6.924245243251809	416306.0	1	12.93917824783872	-473.520626
4	4	Rhizosphere	7.72		1	6.094916872887098	194618.0	1	12.178799080144714	-473.520626
4	4	Surface	8.07		1	6.377092757676245	391895.0	1	12.878751777450255	-473.520626
4	5	Deep	7.86		1	5.760700443372139	380915.0	1	12.850334157360273	-461.9018782
4	5	Rhizosphere	7.7		1	6.164922994825995	362651.0	1	12.801198975735678	-461.9018782
4	5	Surface	8.04		1	6.106081346858195	112226.0	1	11.62827888483239	-461.9018782
