representation	configuration	n_observations	n_sites	feature_count	retained_axes	retained_variance_fraction	pseudo_f	p	partial_r2	residual_df	permutations
Bray-Curtis PCoA	retain_80pct	500	60	1604	45.0	0.8022993895534153	1.9457733878526213	0.01	0.00447359994487755	433	999
Bray-Curtis PCoA	retain_95pct	500	60	1604	116.0	0.9501225103486943	1.8002967743890823	0.013	0.0041405141342928465	433	999
Aitchison CLR	top_80_pseudocount_0.5	500	60	80			1.5234553573467613	0.051	0.0035060371047033355	433	999
Aitchison CLR	top_200_pseudocount_0.5	500	60	200			1.3600074954891748	0.056	0.003131060576527176	433	999
Aitchison CLR	top_352_pseudocount_0.5	500	60	352			1.5355891662785466	0.011	0.0035338628286461045	433	999
Aitchison CLR	top_200_pseudocount_1	500	60	200			1.4046901966442433	0.049	0.0032335981363561584	433	999
