desert	dataset	design	independent_unit	n_units	question	method	estimate_name	estimate	p_value	comparison_boundary
Atacama	QIITA 10360 / PRJEB17617	two aridity-gradient transects	site	16	soil relative humidity versus Shannon diversity	site-level Spearman correlation	rho	0.890360800279206	3.804305636749684e-06	V4 closed-reference OTUs; effect direction only, not taxon identity or absolute diversity
Atacama	QIITA 10360 / PRJEB17617	two aridity-gradient transects	site	16	soil relative humidity versus Shannon diversity	partial Spearman correlation adjusted for latitude, longitude and elevation	partial_rho	0.6753270809604742	0.004094365352896453	small observational gradient with residual collinearity; association is not a causal effect
Atacama	QIITA 10360 / PRJEB17617	two aridity-gradient transects	site	16	soil relative humidity versus rarefied observed richness	site-level Spearman correlation	rho	0.8712290806037851	1.1125926914963945e-05	V4 closed-reference OTUs; effect direction only, not taxon identity or absolute diversity
Atacama	QIITA 10360 / PRJEB17617	two aridity-gradient transects	site	16	soil relative humidity versus rarefied observed richness	partial Spearman correlation adjusted for latitude, longitude and elevation	partial_rho	0.644471352254013	0.007039998267587064	small observational gradient with residual collinearity; association is not a causal effect
Atacama	PRJEB39249	one soil pit sampled from 2.5 to 420 cm	sampled depth	23	community composition among three depth zones	Euclidean PERMANOVA on top-200-genus CLR profiles; 9999 label permutations	pseudo_f	1.4631513491362298	0.0014	single vertical profile; depth zones are observational and not equivalent to Empty Quarter soil positions
Atacama	PRJEB39249	one soil pit sampled from 2.5 to 420 cm	sampled depth	23	depth versus rarefied observed richness	Spearman correlation after 100 rarefactions per profile and averaging replicates by depth	rho	0.38142292490118584	0.07252253296442937	intracellular-DNA V4 profiles from one pit; effect direction only, not absolute diversity
Atacama	PRJEB39249	one soil pit sampled from 2.5 to 420 cm	sampled depth	23	depth versus Shannon diversity	Spearman correlation after 100 rarefactions per profile and averaging replicates by depth	rho	0.11956521739130435	0.5868591882350065	intracellular-DNA V4 profiles from one pit; effect direction only, not absolute diversity
