depth_cm	richness	shannon	n_profiles
2.5	134.86666666666667	3.4792470121173946	3
10.0	282.31	5.162481117812127	3
20.0	180.09666666666666	3.5671393571548866	3
30.0	182.71666666666667	3.6736269377338515	3
40.0	344.20500000000004	5.1713691045583445	2
50.0	266.28499999999997	4.413461145185895	2
60.0	608.5699999999999	5.288987516412239	2
70.0	192.31000000000003	4.926118703646895	3
80.0	267.1033333333333	4.336844272786738	3
90.0	390.76666666666665	5.459923612886432	3
200.0	341.57	5.027016870900457	3
210.0	498.83	5.554076522570416	3
220.0	405.8833333333334	5.061460479634843	3
230.0	391.33000000000004	4.826475257865063	2
240.0	331.20500000000004	4.947403451797067	2
260.0	625.375	5.286858157672331	2
270.0	379.78333333333336	4.59780423590616	3
280.0	316.36999999999995	4.96654046807092	3
300.0	265.24333333333334	5.094031681153912	3
330.0	315.04333333333335	4.678540920975455	3
360.0	217.24	4.022862823371657	3
390.0	347.145	5.095803849237104	2
420.0	430.93666666666667	4.807226781148974	3
