analysis	contrast	omitted_campaign	taxon_count	zero_treatment	n_sites	n_blocks	displacement	displacement_ci_low	displacement_ci_high	standardized_displacement	pseudo_f	permutation_p	q_primary_family	direction_cosine_vs_primary
primary	omnibus_three_positions		200	pseudocount_0.5	60	170	6.271692572				17.27965989	0.001		
primary	Deep-Surface		200	pseudocount_0.5	60	183	7.583207127	6.864249417	9.404180816	0.3311512088	13.48687848	0.001	0.001	1
primary	Rhizosphere-Surface		200	pseudocount_0.5	60	182	11.33616152	9.973826721	13.66426936	0.4327815104	24.86641829	0.001	0.001	1
primary	Rhizosphere-Deep		200	pseudocount_0.5	60	191	12.86746002	11.06937737	15.29695892	0.4780294799	31.90881263	0.001	0.001	1
taxon_or_zero_sensitivity	omnibus_three_positions		80	pseudocount_0.5	60	170	4.103157071				22.3018395	0.001		
taxon_or_zero_sensitivity	Deep-Surface		80	pseudocount_0.5	60	183	4.78646824	4.194121995	5.958929697	0.3730019036	16.32703779	0.001		0.9938447466
taxon_or_zero_sensitivity	Rhizosphere-Surface		80	pseudocount_0.5	60	182	7.491229124	6.423012154	9.072545373	0.5034799784	34.03927529	0.001		0.9866399246
taxon_or_zero_sensitivity	Rhizosphere-Deep		80	pseudocount_0.5	60	191	8.508686378	7.277197032	10.11635702	0.5382060644	40.29058504	0.001		0.9992369911
taxon_or_zero_sensitivity	omnibus_three_positions		80	pseudocount_1.0	60	170	3.912938377				23.73179271	0.001		
taxon_or_zero_sensitivity	Deep-Surface		80	pseudocount_1.0	60	183	4.582113556	4.001171767	5.697312767	0.3844734396	17.66684925	0.001		0.9933742122
taxon_or_zero_sensitivity	Rhizosphere-Surface		80	pseudocount_1.0	60	182	7.141020408	6.087923376	8.53392487	0.514034178	36.23437799	0.001		0.9860512832
taxon_or_zero_sensitivity	Rhizosphere-Deep		80	pseudocount_1.0	60	191	8.089924596	6.871997841	9.70518515	0.54750248	42.55831196	0.001		0.9987385026
taxon_or_zero_sensitivity	omnibus_three_positions		80	multiplicative_0.65	60	170	4.038062176				22.88485282	0.001		
taxon_or_zero_sensitivity	Deep-Surface		80	multiplicative_0.65	60	183	4.714364368	4.166882641	5.867972377	0.3774643853	16.8424405	0.001		0.9937690526
taxon_or_zero_sensitivity	Rhizosphere-Surface		80	multiplicative_0.65	60	182	7.371618974	6.345721094	8.779960618	0.5078954542	34.93772163	0.001		0.986545394
taxon_or_zero_sensitivity	Rhizosphere-Deep		80	multiplicative_0.65	60	191	8.364396826	7.168564171	10.00377781	0.5420538087	41.21546557	0.001		0.999157318
taxon_or_zero_sensitivity	omnibus_three_positions		200	pseudocount_1.0	60	170	5.861278235				18.28879802	0.001		
taxon_or_zero_sensitivity	Deep-Surface		200	pseudocount_1.0	60	183	7.088713926	6.304715123	8.767503143	0.3406981579	14.37748874	0.001		0.9992351989
taxon_or_zero_sensitivity	Rhizosphere-Surface		200	pseudocount_1.0	60	182	10.61160431	9.307525596	12.78204393	0.4436826143	26.45666094	0.001		0.9991236709
taxon_or_zero_sensitivity	Rhizosphere-Deep		200	pseudocount_1.0	60	191	12.00242808	10.29797699	14.24026895	0.4867320296	33.45683688	0.001		0.9993570378
