contrast	genus	mean_clr_difference
Deep-Surface	Saccharothrix	0.1295907556
Deep-Surface	Amycolatopsis	0.3136901769
Deep-Surface	Falsirhodobacter	-0.7209440089
Deep-Surface	Gracilibacillus	0.377450517
Deep-Surface	Rubritepida	-0.4932397646
Deep-Surface	Methylobacillus	0.01143650733
Deep-Surface	Caenimonas	0.09066071494
Deep-Surface	Aridibacter	0.1517680464
Deep-Surface	Oceanobacillus	-0.3173099899
Deep-Surface	SH-PL14	0.432931775
Deep-Surface	Brevundimonas	-0.6618618662
Deep-Surface	Neorhizobium	-0.4038820633
Deep-Surface	Turicibacter	-0.4800683669
Deep-Surface	Sumerlaea	0.7260771576
Deep-Surface	Polycyclovorans	1.785751559
Deep-Surface	Thermosipho	1.020603085
Deep-Surface	Limibaculum	0.5133821674
Deep-Surface	Corynebacterium	-0.3714066277
Deep-Surface	YC-ZSS-LKJ147	0.2289021403
Deep-Surface	Pajaroellobacter	0.5028304827
Deep-Surface	Phaselicystis	0.3130939603
Deep-Surface	Luteitalea	0.07982923203
Deep-Surface	Myxococcus	0.3630263466
Deep-Surface	Aeromicrobium	0.05737797322
Deep-Surface	Azohydromonas	0.7188517981
Deep-Surface	Herbaspirillum	-0.1752034326
Deep-Surface	Staphylococcus	-0.1921365332
Deep-Surface	Polygonibacillus	0.4019895353
Deep-Surface	Arsenicitalea	0.5146484
Deep-Surface	Aureibacillus	0.8397465438
Deep-Surface	Nesterenkonia	-0.01147661111
Deep-Surface	Paracoccus	-0.6901470663
Deep-Surface	Hydrocarboniphaga	-0.2937444903
Deep-Surface	Rufibacter	-1.197367244
Deep-Surface	Abditibacterium	0.2977730117
Deep-Surface	Caldilinea	0.8201969588
Deep-Surface	Bauldia	0.4996884228
Deep-Surface	Anaeromyxobacter	0.2908006798
Deep-Surface	Plastorhodobacter	-0.5042014024
Deep-Surface	Tepidisphaera	-0.2334265447
Deep-Surface	Ohtaekwangia	0.3878848966
Deep-Surface	Candidatus Alysiosphaera	0.3772641264
Deep-Surface	Fimbriiglobus	0.4360186897
Deep-Surface	Enterococcus	-0.02405364188
Deep-Surface	SM1A02	0.2795435499
Deep-Surface	Rhizorhabdus	0.4039101964
Deep-Surface	Actinoplanes	-0.4699376165
Deep-Surface	Longispora	0.4045123678
Deep-Surface	Acinetobacter	0.178216377
Deep-Surface	JCM 18997	0.2820786708
Deep-Surface	Allorhizocola	0.373081358
Deep-Surface	Rhodoplanes	0.7304569107
Deep-Surface	Litorilinea	0.2476543718
Deep-Surface	Crossiella	0.1790806396
Deep-Surface	Ornithinibacillus	-0.3227306176
Deep-Surface	Nonomuraea	-0.1471489085
Deep-Surface	Modestobacter	-0.6163149951
Deep-Surface	Nordella	0.9194806322
Deep-Surface	Paraconexibacter	0.4622294341
Deep-Surface	Pelagibius	-0.1193947255
Deep-Surface	Fictibacillus	0.005879688961
Deep-Surface	Rhodococcus	-0.2924842743
Deep-Surface	Mangrovihabitans	-0.08737569995
Deep-Surface	Peribacillus	0.06678038218
Deep-Surface	PMMR1	-0.6372865377
Deep-Surface	Cupriavidus	-0.3946573471
Deep-Surface	Sandaracinobacter	0.01540898008
Deep-Surface	I-8	0.8458861744
Deep-Surface	Luedemannella	0.09247862597
Deep-Surface	Rhodocytophaga	-0.407742978
Deep-Surface	Niastella	0.5139654204
Deep-Surface	Thermobaculum	-0.06515370128
Deep-Surface	Pseudalkalibacillus	0.3057369497
Deep-Surface	Sandaracinus	0.8375422891
Deep-Surface	Kineosporia	-1.20095313
Deep-Surface	Plantactinospora	0.4377935661
Deep-Surface	Tautonia	0.2907786861
Deep-Surface	SZB85	0.5333847503
Deep-Surface	MM2	0.004982084898
Rhizosphere-Surface	Domibacillus	0.5857265159
Rhizosphere-Surface	Massilia	-0.1739974604
Rhizosphere-Surface	Bacillus	0.5762510619
Rhizosphere-Surface	Microvirga	0.32115832
Rhizosphere-Surface	Flavisolibacter	-0.4356594502
Rhizosphere-Surface	Herpetosiphon	-0.8166321507
Rhizosphere-Surface	Noviherbaspirillum	-0.1810767653
Rhizosphere-Surface	Streptomyces	0.3040553366
Rhizosphere-Surface	Paenibacillus	0.7129951022
Rhizosphere-Surface	Nocardioides	0.412801791
Rhizosphere-Surface	Rubrobacter	-1.576692298
Rhizosphere-Surface	Ammoniphilus	0.1214824538
Rhizosphere-Surface	Lysinibacillus	1.182758666
Rhizosphere-Surface	Deinococcus	-2.008217715
Rhizosphere-Surface	Rubellimicrobium	-0.5478759764
Rhizosphere-Surface	Geodermatophilus	-1.361105267
Rhizosphere-Surface	Ramlibacter	0.1341081593
Rhizosphere-Surface	Ectobacillus	-0.06754029747
Rhizosphere-Surface	Acidiferrimicrobium	-0.500906675
Rhizosphere-Surface	Neobacillus	0.07560872007
Rhizosphere-Surface	Planococcus	0.2073457654
Rhizosphere-Surface	Nibribacter	0.2149163691
Rhizosphere-Surface	Bradyrhizobium	-2.267980841
Rhizosphere-Surface	Adhaeribacter	-0.2040795062
Rhizosphere-Surface	Metabacillus	1.413602163
Rhizosphere-Surface	Solirubrobacter	-0.7537707607
Rhizosphere-Surface	Ellin6055	-0.3636103743
Rhizosphere-Surface	Halomonas	0.7224945599
Rhizosphere-Surface	Symbiobacterium	-1.475567109
Rhizosphere-Surface	Arthrobacter	0.8120767126
Rhizosphere-Surface	Sphingoaurantiacus	0.1711843734
Rhizosphere-Surface	Blastococcus	-1.726650739
Rhizosphere-Surface	Nitrolancea	-0.9735211523
Rhizosphere-Surface	Pontibacter	0.31910471
Rhizosphere-Surface	Tumebacillus	-0.5537698612
Rhizosphere-Surface	Roseomonas	0.7457496753
Rhizosphere-Surface	CSP1-2	-0.9399610081
Rhizosphere-Surface	Chthoniobacter	0.4356184076
Rhizosphere-Surface	Pseudomonas	1.021848889
Rhizosphere-Surface	Aeromonas	0.3391333602
Rhizosphere-Surface	Pseudonocardia	-0.1602313034
Rhizosphere-Surface	Lysobacter	-1.26111791
Rhizosphere-Surface	Cytophaga	-0.4772644996
Rhizosphere-Surface	Saccharopolyspora	-0.608218343
Rhizosphere-Surface	Archangium	-0.516150477
Rhizosphere-Surface	Actinomadura	-0.5647743036
Rhizosphere-Surface	Cellulomonas	-1.15191087
Rhizosphere-Surface	Pirellula	0.3684223853
Rhizosphere-Surface	Segetibacter	-0.5293060298
Rhizosphere-Surface	Halalkalibacter	0.4621127075
Rhizosphere-Surface	Chelativorans	0.7995686419
Rhizosphere-Surface	Oxalophagus	-1.745135613
Rhizosphere-Surface	Steroidobacter	-0.5575405923
Rhizosphere-Surface	Devosia	1.308581548
Rhizosphere-Surface	Gemmatimonas	-0.4193614897
Rhizosphere-Surface	Gaiella	-1.131616353
Rhizosphere-Surface	Phenylobacterium	0.416405114
Rhizosphere-Surface	Cnuella	-0.3016314818
Rhizosphere-Surface	Aquibacillus	0.6988625163
Rhizosphere-Surface	Prauserella	-0.05690080068
Rhizosphere-Surface	Roseisolibacter	-1.098101273
