campaign	site	position	n_profiles	group_reads	retained
3	50	Surface	2	365762	true
3	51	Deep	1	170317	true
3	51	Rhizosphere	3	703005	true
3	51	Surface	2	359859	true
3	52	Surface	4	285593	true
3	53	Deep	3	278814	true
3	53	Rhizosphere	1	184233	true
3	53	Surface	1	124482	true
3	54	Rhizosphere	1	76314	true
3	55	Surface	2	266278	true
3	56	Surface	4	202936	true
3	57	Deep	2	143344	true
3	57	Rhizosphere	3	586145	true
3	57	Surface	2	189498	true
3	58	Deep	2	8000	true
3	58	Rhizosphere	3	610269	true
3	58	Surface	4	505830	true
3	59	Deep	2	39660	true
3	59	Rhizosphere	2	62045	true
3	59	Surface	4	152423	true
3	60	Rhizosphere	5	377843	true
3	60	Surface	4	92546	true
4	1	Deep	1	272215	true
4	1	Rhizosphere	1	127686	true
4	1	Surface	1	192743	true
4	2	Deep	1	104206	true
4	2	Surface	1	332544	true
4	3	Deep	1	214574	true
4	3	Rhizosphere	1	220367	true
4	3	Surface	1	248241	true
4	4	Deep	1	270264	true
4	4	Rhizosphere	1	137988	true
4	4	Surface	1	280385	true
4	5	Deep	1	223515	true
4	5	Rhizosphere	1	217053	true
4	5	Surface	1	70649	true
4	6	Deep	1	196596	true
4	6	Rhizosphere	1	281477	true
4	6	Surface	1	448587	true
4	7	Deep	1	268724	true
4	7	Rhizosphere	1	146476	true
4	7	Surface	1	285887	true
4	8	Deep	1	346146	true
4	8	Rhizosphere	1	316328	true
4	8	Surface	1	267779	true
4	9	Deep	1	231631	true
4	9	Rhizosphere	1	84743	true
4	9	Surface	1	342340	true
4	10	Deep	1	246079	true
4	10	Rhizosphere	1	163708	true
4	10	Surface	1	278199	true
4	11	Deep	1	135165	true
4	11	Rhizosphere	1	153066	true
4	11	Surface	1	256170	true
4	12	Deep	1	351042	true
4	12	Rhizosphere	1	174730	true
4	12	Surface	1	514664	true
4	13	Deep	1	254393	true
4	13	Rhizosphere	1	262197	true
4	13	Surface	1	215723	true
4	14	Deep	1	359686	true
4	14	Rhizosphere	1	160963	true
4	14	Surface	1	168502	true
4	15	Deep	1	246117	true
