product	grid_series_id	sites	n_sites	first_site	last_site	daily_series_sha256
NASA_POWER_PRECTOTCORR	POWER_001	1,2	2	1	2	c2cc8418a75f5439f697ff532a250f8b4085335eb4b3adf6be7eba319112f7f5
NASA_POWER_PRECTOTCORR	POWER_002	3,4,5,6	4	3	6	f751a6347fbe48657b73817428fe8974395646d790fa283702f0271cf6f4472c
NASA_POWER_PRECTOTCORR	POWER_003	7,8,9,10	4	7	10	44ca9c0f52549f56e53336f1cac5759b24203af110426593d4b1435323cce7ac
NASA_POWER_PRECTOTCORR	POWER_004	11,12,13	3	11	13	0de2870312ff5dd241f05840d9e9ca63972ddb66e9a5a50812390531bbc99773
NASA_POWER_PRECTOTCORR	POWER_005	14,15,16	3	14	16	b426d5d6290ea6c3e1d375ebb120c755f9c79be21088d2d1298879efe18875f9
NASA_POWER_PRECTOTCORR	POWER_006	17,18	2	17	18	2ce957494a3987c07e3fc507cc7d6800283c945688f6a5c00666259731dc331b
NASA_POWER_PRECTOTCORR	POWER_007	19,20	2	19	20	f991f8c920a085fe7ad5ba6a1c9e1b830714c15779582f8da34fa912f99d47c4
NASA_POWER_PRECTOTCORR	POWER_008	21,22,23,24,25	5	21	25	70ef47937a998c44122a4cdb4f1712c843431ca6c4ad155ab2aef7ac91f31d69
NASA_POWER_PRECTOTCORR	POWER_009	26,27,28	3	26	28	5069448bcaa2abefc3a13c80407911564797718fdd5577803fcaef1edada410b
NASA_POWER_PRECTOTCORR	POWER_010	29,30	2	29	30	19aedaac287be39f7d778abb43923cd8fdb7a8ce50fc98d4840308c138c84e0c
NASA_POWER_PRECTOTCORR	POWER_011	31,32,33	3	31	33	88d8931e02c5f3ea99ce05047c0b7a2f6aa0c49597f643c8be8019c70060aac8
NASA_POWER_PRECTOTCORR	POWER_012	34,35	2	34	35	3252378c8fb1b645c7d9de8c4e63245bc2ecd726e21b43196d85db7668dfbc92
NASA_POWER_PRECTOTCORR	POWER_013	36,37,38	3	36	38	7b3ea61ea666bf7c431dca366c7889e00388370f313aa5da7a03a72a03d53285
NASA_POWER_PRECTOTCORR	POWER_014	39,40,41,42	4	39	42	c9c9b8aa31fdfe45505bb96c539cf533e5c74c6fe9c900d7c9d5cd372a3f7ff5
NASA_POWER_PRECTOTCORR	POWER_015	43,44,45,46	4	43	46	9223ccf34587b0d63d47f98f2eb73f7066a97fc4245397d1a097ae125405bd5a
NASA_POWER_PRECTOTCORR	POWER_016	47,48,49,50	4	47	50	46e17f3425d5b76cf2e9f7f06dcc04536142f2335f4f85a872d99e04226b25cf
NASA_POWER_PRECTOTCORR	POWER_017	51,52,53,54,55	5	51	55	1829d12fcfe23b9a6622e738ffb31fa3e0eb5cb03107703f9f24523c215819be
NASA_POWER_PRECTOTCORR	POWER_018	56	1	56	56	ae6e93198d16417fb406df0f80263b206083a03e65dbf2017215ced6b520f0c2
NASA_POWER_PRECTOTCORR	POWER_019	57,58,59	3	57	59	0fa044387c75e3004211f1f5f24b96d658934a29ff1684ced3a1f51cf3b82774
NASA_POWER_PRECTOTCORR	POWER_020	60	1	60	60	a90d102cf32cca30ff2f2f41f6b34dfa8cbaaaf740d888c62e2ad56b8eec2a23
