Trip	Site	Date	Latitude	Longitude	sampling_day	longitude_z	sampling_day_z	power_grid_id	n_surface_profiles	n_deep_profiles	evenness_h_over_log_hurlbert	shannon	richness_hurlbert_25000
1	1	2023-03-17	19.14977055555556	45.166511388888885	0.0	-1.6559376602858693	-1.2279463091673153	POWER_001	3.0	2.0	-0.061240927433268366	-0.48842872764667256	-39.47901865445624
1	2	2023-03-17	19.203468333333333	45.2447675	0.0	-1.629187161156378	-1.2279463091673153	POWER_001	2.0	3.0	-0.06553259493027996	-0.870484620377125	-1231.507998221783
1	3	2023-03-17	19.301079444444444	45.384414166666666	0.0	-1.5814513615866965	-1.2279463091673153	POWER_002	2.0	2.0	-0.012115837302550059	-0.7655327530363323	-1256.4421253229389
1	4	2023-03-17	19.379571666666667	45.55182694444444	0.0	-1.524224196798872	-1.2279463091673153	POWER_002	1.0	3.0	-0.020641813767451445	0.12581898958501636	-443.29914848055546
1	5	2023-03-17	19.407155277777772	45.65950138888888	0.0	-1.4874175488389512	-1.2279463091673153	POWER_002	3.0	2.0	-0.05788590579928521	0.007483394145063826	825.5709766880348
1	6	2023-03-17	19.405739166666667	45.8161425	0.0	-1.4338724921408121	-1.2279463091673153	POWER_002	2.0	2.0	-0.07058582783053458	-0.4927775790450779	-1873.9763260847599
1	7	2023-03-17	19.407005277777778	45.95394361111112	0.0	-1.3867675638421528	-1.2279463091673153	POWER_003	2.0	2.0	-0.23175536525052864	-2.1375891999948413	-729.3395796344159
1	9	2023-03-17	19.411200277777777	46.30267361111111	0.0	-1.2675602402354207	-1.2279463091673153	POWER_003	3.0	2.0	-0.05010330695586451	-0.35115000932122165	50.47167161993525
1	10	2023-03-17	19.420469722222222	46.46079527777778	0.0	-1.21350908120818	-1.2279463091673153	POWER_003	2.0	1.0	-0.0396787271777157	-0.20130507740963832	293.82811647676226
1	11	2023-03-17	19.44435222222222	46.6356325	0.0	-1.153743998399281	-1.2279463091673153	POWER_004	1.0	2.0	-0.014048213608214954	-0.21021709492387508	-159.11760164774978
1	12	2023-03-17	19.47793361111111	46.83437333333334	0.0	-1.0858078792439467	-1.2279463091673153	POWER_004	3.0	2.0	-0.0910801549360939	-0.7057835048086707	-207.02490633472235
1	13	2023-03-17	19.52934611111111	47.05328444444445	0.0	-1.0109768992212003	-1.2279463091673153	POWER_004	1.0	2.0	-0.042843055857877954	-0.7164281637801162	-838.6297688489826
1	14	2023-03-17	19.581338055555555	47.2920225	0.0	-0.9293684208974154	-1.2279463091673153	POWER_005	1.0	3.0	0.004971047795021999	0.1884622475340132	210.28721206315527
1	15	2023-03-17	19.613749722222224	47.47587194444445	0.0	-0.8665226656747277	-1.2279463091673153	POWER_005	2.0	2.0	-0.033281006475245456	-0.9787293255808649	-1682.2116648727254
1	16	2023-03-17	19.64445583333333	47.62611861111111	0.0	-0.8151634392985456	-1.2279463091673153	POWER_005	1.0	2.0	-0.14459044856418501	-1.4883639690331796	-707.7007173896906
1	17	2023-03-17	19.67646	47.82730555555556	0.0	-0.7463911593345617	-1.2279463091673153	POWER_006	3.0	3.0	-0.04681382533571665	-0.7504314802128356	-369.2396851966055
1	18	2023-03-18	19.732518055555555	48.046860555555554	1.0	-0.6713400770231002	-0.29532885916682267	POWER_006	2.0	1.0	0.006528682806230535	-0.5080318078998198	-444.9176712398479
1	19	2023-03-18	19.81231916666667	48.24049472222222	1.0	-0.605149583612283	-0.29532885916682267	POWER_007	2.0	2.0	-0.15552710026065186	-0.9609101843688794	69.79931551121138
1	20	2023-03-18	19.869310833333333	48.42464444444444	1.0	-0.5422011836207875	-0.29532885916682267	POWER_007	2.0	2.0	-0.13536832797174814	-1.3599394567575125	-611.0271862963701
1	21	2023-03-18	19.9011325	48.48646388888889	1.0	-0.5210692749261571	-0.29532885916682267	POWER_008	3.0	1.0	0.011434088356706673	0.04441721241870589	-46.64665103678499
1	22	2023-03-18	19.97866972222222	48.63943555555556	1.0	-0.4687785543945281	-0.29532885916682267	POWER_008	2.0	3.0	0.051507089929058836	-0.5699164131278485	-1079.9160035471637
1	23	2023-03-18	20.04926555555556	48.77333138888888	1.0	-0.42300857781161694	-0.29532885916682267	POWER_008	3.0	2.0	-0.034005395307813546	-0.31295573195751913	-114.35453370186474
1	24	2023-03-18	20.09273861111111	48.89939527777778	1.0	-0.3799158160821909	-0.29532885916682267	POWER_008	2.0	2.0	-0.057433588350730536	-1.195376815918527	-1014.215826247668
1	25	2023-03-18	20.100259722222223	48.95421972222223	1.0	-0.3611750272471352	-0.29532885916682267	POWER_008	2.0	2.0	0.010122991144221327	-0.21143615805759097	-651.676788745674
1	26	2023-03-18	20.148753888888887	49.07873861111111	1.0	-0.31861039706639754	-0.29532885916682267	POWER_009	3.0	3.0	-0.014157313653099135	-0.22921415856491567	-251.81124665557104
1	27	2023-03-18	20.2038574	49.1959834	1.0	-0.278532292256713	-0.29532885916682267	POWER_009	2.0	3.0	-0.08409242968854846	-0.7760880975548252	-399.58688079568765
1	28	2023-03-18	20.24376861111111	49.37088472222222	1.0	-0.21874529797061765	-0.29532885916682267	POWER_009	3.0	2.0	-0.0792420965426297	-0.42840116931099015	314.9072623964005
1	29	2023-03-18	20.2597976	49.5675445	1.0	-0.15152055169130707	-0.29532885916682267	POWER_010	2.0	3.0	-0.031959027699200115	-0.7946191391470254	-715.9268579444671
1	30	2023-03-18	20.269303055555557	49.68367333333333	1.0	-0.11182391700189259	-0.29532885916682267	POWER_010	3.0	1.0	-0.09475630687414283	-0.487410858746089	287.5362206809434
1	31	2023-03-18	20.29462333333333	49.891405	1.0	-0.040814436854787334	-0.29532885916682267	POWER_011	2.0	1.0	-0.055330309318838866	-0.037278239036554695	448.39418039855354
1	33	2023-03-18	20.317507777777777	50.30307027777778	1.0	0.09990622378729241	-0.29532885916682267	POWER_011	2.0	3.0	0.09015226975143575	0.2524905700352731	-555.9714628218508
1	34	2023-03-18	20.344394444444443	50.5153725	1.0	0.17247806936086904	-0.29532885916682267	POWER_012	2.0	2.0	0.12342792387509327	1.1677659587984248	517.5323147198055
1	35	2023-03-18	20.371795833333334	50.72999222222222	1.0	0.2458421122574722	-0.29532885916682267	POWER_012	2.0	2.0	-0.000876854310668973	-0.10429417955487796	-179.8706696701861
1	36	2023-03-19	20.42319	51.14483	2.0	0.38764723719611993	0.63728859083367	POWER_013	3.0	2.0	0.03567330038566696	-0.5032894188602439	86.89897438393973
1	37	2023-03-19	20.454150277777774	51.344883333333335	2.0	0.45603201179329605	0.63728859083367	POWER_013	2.0	2.0	0.005364732797026206	-0.08478745178622482	-126.95951268595309
1	38	2023-03-19	20.4610275	51.37022472222223	2.0	0.4646945276248073	0.63728859083367	POWER_013	2.0	2.0	0.008627080373193485	0.1615234913118231	216.40039220193216
1	39	2023-03-19	20.51023	51.59742	2.0	0.5423573068522225	0.63728859083367	POWER_014	1.0	2.0	0.0471970585468775	1.6179412542554212	-334.38623656804
1	42	2023-03-19	20.55516	52.12403	2.0	0.7223698342646704	0.63728859083367	POWER_014	3.0	1.0	-0.08978229517311387	-0.7030336123557648	-15.026357228957067
1	43	2023-03-19	20.56757555555556	52.22413277777778	2.0	0.7565882388312106	0.63728859083367	POWER_015	2.0	2.0	0.033323856301700316	-0.6712542158458454	-1280.373999775664
1	45	2023-03-19	20.56346	52.46776	2.0	0.8398679942834338	0.63728859083367	POWER_015	1.0	2.0	-0.008327297716731463	0.1605333202022763	286.37855384247223
1	46	2023-03-19	20.553746111111117	52.66920777777778	2.0	0.9087294356145886	0.63728859083367	POWER_015	1.0	1.0	0.041372012761546006	0.09233936754305017	-68.32855631672584
1	47	2023-03-19	20.54181555555556	52.86878583333333	2.0	0.9769517447173712	0.63728859083367	POWER_016	1.0	2.0	-0.013532613264143123	0.3592138421204121	815.9976177289602
1	48	2023-03-19	20.56864833333333	53.09404833333333	2.0	1.0539538372645083	0.63728859083367	POWER_016	1.0	1.0	-0.01738508978136688	-0.17397920791475308	-67.33352728218495
1	49	2023-03-19	20.644662222222223	53.28794	2.0	1.1202323526001048	0.63728859083367	POWER_016	2.0	1.0	0.026252808213056533	-0.18909242344638333	-288.4672716745275
1	50	2023-03-20	20.71385	53.4123	3.0	1.16274266936016	1.5699060408341627	POWER_016	3.0	2.0	-0.009022324671093873	-0.025325614286476394	525.2609159550283
1	51	2023-03-20	20.7987	53.487	3.0	1.1882775733644704	1.5699060408341627	POWER_017	1.0	2.0	0.03488886650417655	-0.18938009213505058	-589.7339287774812
1	53	2023-03-20	20.851514166666668	53.75788444444444	3.0	1.2808747391629944	1.5699060408341627	POWER_017	1.0	2.0	-0.37238999034597214	-2.8441840063421164	-765.9611096644628
1	54	2023-03-20	20.92017888888889	53.962204444444446	3.0	1.350718000021907	1.5699060408341627	POWER_017	3.0	2.0	-0.030411752947462012	-1.531742489436572	-639.7403196364814
1	55	2023-03-20	20.9022725	54.0024376	3.0	1.3644710089228653	1.5699060408341627	POWER_017	2.0	1.0	-0.020781015406617698	-0.9277679643397714	-75.35340532345421
1	56	2023-03-20	20.82158083333333	54.22385916666667	3.0	1.4401601447905688	1.5699060408341627	POWER_018	2.0	2.0	-0.08426904789881784	0.4588775926771689	1030.219373706027
1	57	2023-03-20	20.7349775	54.41764333333333	3.0	1.5064019131090218	1.5699060408341627	POWER_019	1.0	1.0	-0.0801725020056765	-1.2990394930602656	-206.06351525264625
1	60	2023-03-20	20.70637444444444	54.73210555555556	3.0	1.6138953891120584	1.5699060408341627	POWER_020	1.0	2.0	-0.057336328733333164	0.049345366802387325	154.76046152591238
2	6	2023-07-14	19.405739166666667	45.8161425	0.0	0.6494622465308185	0.0	POWER_002	1.0	2.0	-0.06858143104751535	-0.8397735170277922	-709.7333992714644
3	1	2024-02-17	19.14977055555556	45.166511388888885	0.0	-1.6559376602858693	-1.230076828997117	POWER_001	3.0	3.0	0.026581236843922662	2.0115687759595833	387.70532303798245
3	2	2024-02-17	19.203468333333333	45.2447675	0.0	-1.629187161156378	-1.230076828997117	POWER_001	3.0	3.0	-0.025694970836151132	-0.335138971075164	-338.50165684194826
3	3	2024-02-17	19.301079444444444	45.384414166666666	0.0	-1.5814513615866965	-1.230076828997117	POWER_002	3.0	3.0	-0.009005491993615777	-0.19149619538627505	-369.49491883989276
3	4	2024-02-17	19.379571666666667	45.55182694444444	0.0	-1.524224196798872	-1.230076828997117	POWER_002	3.0	2.0	0.047554493848985135	0.3396711896251299	23.903002779157987
3	5	2024-02-17	19.407155277777772	45.65950138888888	0.0	-1.4874175488389512	-1.230076828997117	POWER_002	3.0	2.0	-0.06113010061773794	-0.07046401978320294	690.8329579466754
3	6	2024-02-17	19.405739166666667	45.8161425	0.0	-1.4338724921408121	-1.230076828997117	POWER_002	3.0	1.0	0.012342153366703412	-0.4444458940177132	-1076.5182835489143
3	7	2024-02-17	19.407005277777778	45.95394361111112	0.0	-1.3867675638421528	-1.230076828997117	POWER_003	3.0	3.0	-0.018472778528623723	-0.20765428427061217	-162.10210740980165
3	8	2024-02-17	19.393154166666665	46.11073472222223	0.0	-1.3331712322363778	-1.230076828997117	POWER_003	3.0	3.0	0.03695475762466627	0.5012093491192218	374.4229768069674
3	9	2024-02-17	19.411200277777777	46.30267361111111	0.0	-1.2675602402354207	-1.230076828997117	POWER_003	3.0	3.0	-0.008171370114737675	0.010688648760938335	157.24763042572908
3	10	2024-02-17	19.420469722222222	46.46079527777778	0.0	-1.21350908120818	-1.230076828997117	POWER_003	3.0	3.0	0.03905675131602837	0.6471688826911377	773.8190313256976
3	11	2024-02-17	19.44435222222222	46.6356325	0.0	-1.153743998399281	-1.230076828997117	POWER_004	3.0	3.0	-0.07263526409809018	-1.1685143457096459	-1346.4576769418225
3	12	2024-02-17	19.47793361111111	46.83437333333334	0.0	-1.0858078792439467	-1.230076828997117	POWER_004	2.0	2.0	-0.07245217300002427	-0.879322153724134	-935.9657770414797
3	13	2024-02-17	19.52934611111111	47.05328444444445	0.0	-1.0109768992212003	-1.230076828997117	POWER_004	3.0	3.0	0.02018736946065791	-0.2734267590979549	-990.0595391181505
3	14	2024-02-17	19.581338055555555	47.2920225	0.0	-0.9293684208974154	-1.230076828997117	POWER_005	3.0	3.0	0.04346827787832552	0.025454746251226013	-752.106183099758
3	15	2024-02-17	19.613749722222224	47.47587194444445	0.0	-0.8665226656747277	-1.230076828997117	POWER_005	3.0	3.0	-0.01566641869518426	-0.2942819804093464	-261.821797248861
3	16	2024-02-17	19.64445583333333	47.62611861111111	0.0	-0.8151634392985456	-1.230076828997117	POWER_005	3.0	3.0	0.050951496522605666	0.5694587247285723	449.5192191616302
3	17	2024-02-18	19.67646	47.82730555555556	1.0	-0.7463911593345617	-0.5065022237046952	POWER_006	3.0	3.0	0.052166707222984776	0.4028297451623315	30.491362828413003
3	18	2024-02-18	19.732518055555555	48.046860555555554	1.0	-0.6713400770231002	-0.5065022237046952	POWER_006	3.0	3.0	-0.04718629554788323	-0.377655565461847	-154.0046470596726
3	19	2024-02-18	19.81231916666667	48.24049472222222	1.0	-0.605149583612283	-0.5065022237046952	POWER_007	3.0	3.0	-0.025564315550342	-0.07934878334651518	274.785115743196
3	20	2024-02-18	19.869310833333333	48.42464444444444	1.0	-0.5422011836207875	-0.5065022237046952	POWER_007	3.0	3.0	-0.06711899427433199	-0.33966870843185504	256.10329608652864
3	21	2024-02-18	19.9011325	48.48646388888889	1.0	-0.5210692749261571	-0.5065022237046952	POWER_008	3.0	3.0	-0.17801720986582037	-1.849824556186169	-1043.9177407648017
3	22	2024-02-18	19.97866972222222	48.63943555555556	1.0	-0.4687785543945281	-0.5065022237046952	POWER_008	3.0	3.0	0.0030283243421628248	-0.15073246800479279	-41.882119685422595
