product	window_days	n_site_campaigns	n_sites	n_unique_daily_series	mean_mm	median_mm	maximum_mm	fraction_zero	variance_fraction_after_site_campaign_fe	n_grid_campaigns_at_least_5mm
NASA_POWER_PRECTOTCORR	1	248	60	20	0.1293951612903223	0.0	2.3599999999999994	0.7338709677419355	0.39035744598601957	0
NASA_POWER_PRECTOTCORR	3	248	60	20	0.34306451612903177	0.0	5.969999999999999	0.5241935483870968	0.5057129496309853	1
NASA_POWER_PRECTOTCORR	7	248	60	20	1.5820564516129034	0.18000000000000682	19.79	0.33064516129032256	0.44432085991176795	11
NASA_POWER_PRECTOTCORR	14	248	60	20	2.6993951612903238	0.7199999999999989	19.79	0.21774193548387097	0.643546433983573	18
NASA_POWER_PRECTOTCORR	30	248	60	20	3.9670967741935512	1.2199999999999847	20.45999999999995	0.08064516129032258	0.6998479782990462	29
NASA_POWER_PRECTOTCORR	60	248	60	20	7.370322580645167	7.085000000000015	32.98999999999995	0.0	0.5949576975119182	55
NASA_POWER_PRECTOTCORR	90	248	60	20	10.453830645161299	8.930000000000021	60.83999999999993	0.0	0.46064841118105	61
Open_Meteo_precipitation_sum	1	248	60	58	0.017338709677419344	0.0	2.4000000000000057	0.9717741935483871	0.7618898483428204	0
Open_Meteo_precipitation_sum	3	248	60	58	0.08991935483870958	0.0	8.599999999999994	0.9314516129032258	0.7328142373050374	1
Open_Meteo_precipitation_sum	7	248	60	58	0.7733870967741935	0.0	15.499999999999986	0.782258064516129	0.5120867482405547	16
Open_Meteo_precipitation_sum	14	248	60	58	2.399193548387097	0.0	15.499999999999986	0.5241935483870968	0.47678081218900115	51
Open_Meteo_precipitation_sum	30	248	60	58	2.55766129032258	0.20000000000000284	16.899999999999984	0.41935483870967744	0.4877973121941776	53
Open_Meteo_precipitation_sum	60	248	60	58	4.3354838709677415	2.3000000000000043	31.30000000000001	0.17338709677419356	0.3472334832171001	81
Open_Meteo_precipitation_sum	90	248	60	58	4.798387096774193	3.149999999999995	31.30000000000001	0.1693548387096774	0.30391434706299275	95
