Sample Name	FASTQ Paths
31PRr3	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0425_31PRr3_UDP0171-UDP0171_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0425_31PRr3_UDP0171-UDP0171_L002_R2_001.fastq.gz
9PRr2	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0548_9PRr2_UDP0041-UDP0041_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0548_9PRr2_UDP0041-UDP0041_L002_R2_001.fastq.gz
15Dr3	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0345_15Dr3_UDP0072-UDP0072_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0345_15Dr3_UDP0072-UDP0072_L002_R2_001.fastq.gz
S14Sr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0716_S14Sr1_SU0010-SU0010_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0716_S14Sr1_SU0010-SU0010_L002_R2_001.fastq.gz
S54Sr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0623_S54Sr1_SU0184-SU0184_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0623_S54Sr1_SU0184-SU0184_L002_R2_001.fastq.gz
S60PRr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0657_S60PRr1_SU0129-SU0129_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0657_S60PRr1_SU0129-SU0129_L002_R2_001.fastq.gz
T2PRr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0863_T2PRr1_SU0298-SU0298_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0863_T2PRr1_SU0298-SU0298_L002_R2_001.fastq.gz
S52Dr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0758_S52Dr1_SU0012-SU0012_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0758_S52Dr1_SU0012-SU0012_L002_R2_001.fastq.gz
36Dr2	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0440_36Dr2_UDP0196-UDP0196_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0440_36Dr2_UDP0196-UDP0196_L002_R2_001.fastq.gz
F15PRr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0775_F15PRr1_SU0545-SU0545_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0775_F15PRr1_SU0545-SU0545_L002_R2_001.fastq.gz
S42Sr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0766_S42Sr1_SU0227-SU0227_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0766_S42Sr1_SU0227-SU0227_L002_R2_001.fastq.gz
Neg-Ctrl-1-Trip2	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0870_Neg-Ctrl-1-Trip2_SU0335-SU0335_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0870_Neg-Ctrl-1-Trip2_SU0335-SU0335_L002_R2_001.fastq.gz
58PRr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0522_58PRr1_UDP0330-UDP0330_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0522_58PRr1_UDP0330-UDP0330_L002_R2_001.fastq.gz
15PRr3	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0348_15PRr3_UDP0077-UDP0077_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0348_15PRr3_UDP0077-UDP0077_L002_R2_001.fastq.gz
8PRr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0823_8PRr1_SU0339-SU0339_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0823_8PRr1_SU0339-SU0339_L002_R2_001.fastq.gz
S51Sr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0646_S51Sr1_SU0187-SU0187_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0646_S51Sr1_SU0187-SU0187_L002_R2_001.fastq.gz
12PRr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0332_12PRr1_UDP0059-UDP0059_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0332_12PRr1_UDP0059-UDP0059_L002_R2_001.fastq.gz
S39Sr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0731_S39Sr1_SU0082-SU0082_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0731_S39Sr1_SU0082-SU0082_L002_R2_001.fastq.gz
S25Sr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0620_S25Sr1_SU0148-SU0148_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0620_S25Sr1_SU0148-SU0148_L002_R2_001.fastq.gz
24Dr2	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0383_24Dr2_UDP0123-UDP0123_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0383_24Dr2_UDP0123-UDP0123_L002_R2_001.fastq.gz
