site	date	time	coordinates	biome	feature	pressure	temperature	humidity	notes
1	17/03/2023	07:58	19.149770555555556 N,45.166511388888885 E	desert biome	gravel	928	20.7	62.5	gravel, second plant was eaten by bug
2	17/03/2023	08:21	19.203468333333333 N,45.2447675 E	desert biome	sand dune	928	21.3	60.4	large tree, soil for magnus m1
3	17/03/2023	08:50	19.301079444444444 N,45.384414166666666 E	desert biome	sand dune	928	22.6	55.4	termite structure
4	17/03/2023	09:20	19.379571666666667 N,45.55182694444444 E	desert biome	saline pan	928	24	51.0	
5	17/03/2023	10:29	19.407155277777775 N,45.659501388888884 E	desert biome	saline pan	928	28.8	40.6	some deep rocky extra samples
6	17/03/2023	11:07	19.405739166666667 N,45.8161425 E	desert biome	saline pan	928	29	42.9	m sample from herbal medicine plant 
7	17/03/2023	11:35	19.407005277777778 N,45.953943611111114 E	desert biome	sand dune	928	28.7	49.4	dead tree plant sample
8	17/03/2023	12:05	19.393154166666665 N,46.110734722222226 E	desert biome	sand dune	928	30.6	41.5	dead tree plant
9	17/03/2023	12:44	19.411200277777777 N,46.30267361111111 E	desert biome	sand dune	928	35.9	36.3	
10	17/03/2023	13:12	19.420469722222222 N,46.460795277777784 E	desert biome	sand dune	928	32.5	39.0	First site with white sand
11	17/03/2023	13:39	19.44435222222222 N,46.6356325 E	desert biome	sand dune	930	31.1	37.5	
12	17/03/2023	14:04	19.47793361111111 N,46.83437333333334 E	desert biome	sand dune	932	34.6	30.0	mubarak says rabbits like that plant
13	17/03/2023	15:42	19.52934611111111 N,47.053284444444444 E	desert biome	sand dune	936	28.9	29.2	no plant
14	17/03/2023	16:09	19.581338055555555 N,47.2920225 E	desert biome	sand dune	938	30.2	37.8	diarrhoea  plant
15	17/03/2023	16:33	19.613749722222224 N,47.47587194444445 E	desert biome	sand dune	946	31.6	33.0	
16	17/03/2023	16:55	19.644455833333332 N,47.62611861111111 E	desert biome	sand dune	948	20.7	33.3	possible error on temperature measurement
17	17/03/2023	17:23	19.676460000000002 N,47.82730555555556 E	desert biome	sand dune	952	20.5	32.7	
18	18/03/2023	06:49	19.732518055555555 N,48.046860555555554 E	desert biome	sand dune	954	20	50.0	
19	18/03/2023	07:15	19.81231916666667 N,48.24049472222222 E	desert biome	sand dune	960	22.9	51.4	
20	18/03/2023	07:55	19.869310833333333 N,48.42464444444444 E	desert biome	dune slack	964	24.3	39.6	
