sample	weighted_NSTI
e0325_10Dr2	0.2472994661158766
e0326_10PRr2	0.1523058611751946
e0327_10Sr2	0.2039619017004615
e0328_10Sr3	0.1514621494793029
e0329_11Dr3	0.1304105788196569
e0330_11PRr3	0.1170079252422085
e0331_11Sr2	0.1787022080789416
e0332_12PRr1	0.1574542424217717
e0333_12PRr3	0.2705128114913364
e0334_12Sr1	0.2519790439836168
e0335_12Sr3	0.1290835492093952
e0336_13Dr1	0.2818326810460777
e0337_13Dr3	0.1144236219946559
e0338_13Sr2	0.1291656994318513
e0339_14Dr1	0.1864233823598716
e0340_14Dr3	0.133172653090041
e0341_14PRr1	0.0801487566770307
e0342_14PRr2	0.1196169815153594
e0343_14Sr2	0.1216769070426094
e0344_15Dr1	0.3008444177939781
e0345_15Dr3	0.288037596120228
e0346_15PRr1	0.151892971456988
e0347_15PRr2	0.1296189833951577
e0348_15PRr3	0.1345621764539626
e0349_15Sr1	0.164659728859822
e0350_15Sr3	0.2090176368761052
e0351_16Dr1	0.1908869921962246
e0352_16Dr3	0.1926410110869404
e0353_16PRr2	0.1050274144660686
e0354_16PRr3	0.0805719121007882
e0355_16Sr1	0.0815555470690367
e0356_17Dr1	0.2459575363950554
e0357_17Dr3	0.232554963938417
e0358_17PRr2	0.100009070547669
e0359_18PRr1	0.0957444867614607
e0360_18PRr2	0.0449317266135105
e0361_18Sr1	0.142876868185827
e0362_18Sr2	0.1440748051951765
e0363_19Dr2	0.1650947333818078
e0364_1Dr1	0.2413459007597095
e0365_1Dr2	0.2824281485752932
e0366_1PRr2	0.2478028292664122
e0367_1PRr3	0.2593515658505697
e0368_1Sr1	0.1297575275995761
e0369_1Sr3	0.1313963696814418
e0370_20Dr2	0.1250494521966186
e0371_20PRr1	0.1417496462004183
e0372_20PRr2	0.1990228898148134
e0373_21Dr1	0.2452743195281735
e0374_21Sr1	0.178092915576334
e0375_21Sr2	0.1747368630687451
e0376_22Dr1	0.2190133570037517
e0377_22Dr2	0.217369511943095
e0378_22PRr1	0.139201638361289
e0379_22PRr3	0.1286150139752911
e0380_23Dr1	0.2558422746194728
e0381_23Sr2	0.120737913489345
e0382_24Dr1	0.2071350658649558
e0383_24Dr2	0.2073863600183887
e0384_24PRr2	0.1295345
e0385_25Dr1	0.199402941973297
e0386_25Dr3	0.2245984252740252
e0387_25PRr2	0.0774077606008493
e0388_25Sr1	0.200872755988629
e0389_25Sr2	0.1974320914114026
e0390_26Dr1	0.1753656942800665
e0391_26Dr2	0.1462119716150275
e0392_26Dr3	0.1623021691883389
e0393_26PRr2	0.0988985448198836
e0394_26PRr3	0.1035488846039999
