picrust2_col	sample_id	trip	site	compartment	replicate	extraction_suffix	biome	feature	date	coordinates	is_control	duplicate_run
e0340_14Dr3	14Dr3	1	14.0	deep	3.0		desert biome	sand dune	17/03/2023	19.581338055555555 N,47.2920225 E	False	False
e0341_14PRr1	14PRr1	1	14.0	plant_rhizosphere	1.0		desert biome	sand dune	17/03/2023	19.581338055555555 N,47.2920225 E	False	False
e0342_14PRr2	14PRr2	1	14.0	plant_rhizosphere	2.0		desert biome	sand dune	17/03/2023	19.581338055555555 N,47.2920225 E	False	False
e0343_14Sr2	14Sr2	1	14.0	surface	2.0		desert biome	sand dune	17/03/2023	19.581338055555555 N,47.2920225 E	False	False
e0344_15Dr1	15Dr1	1	15.0	deep	1.0		desert biome	sand dune	17/03/2023	19.613749722222224 N,47.47587194444445 E	False	False
e0345_15Dr3	15Dr3	1	15.0	deep	3.0		desert biome	sand dune	17/03/2023	19.613749722222224 N,47.47587194444445 E	False	False
e0346_15PRr1	15PRr1	1	15.0	plant_rhizosphere	1.0		desert biome	sand dune	17/03/2023	19.613749722222224 N,47.47587194444445 E	False	False
e0347_15PRr2	15PRr2	1	15.0	plant_rhizosphere	2.0		desert biome	sand dune	17/03/2023	19.613749722222224 N,47.47587194444445 E	False	False
e0348_15PRr3	15PRr3	1	15.0	plant_rhizosphere	3.0		desert biome	sand dune	17/03/2023	19.613749722222224 N,47.47587194444445 E	False	False
e0349_15Sr1	15Sr1	1	15.0	surface	1.0		desert biome	sand dune	17/03/2023	19.613749722222224 N,47.47587194444445 E	False	False
e0350_15Sr3	15Sr3	1	15.0	surface	3.0		desert biome	sand dune	17/03/2023	19.613749722222224 N,47.47587194444445 E	False	False
e0351_16Dr1	16Dr1	1	16.0	deep	1.0		desert biome	sand dune	17/03/2023	19.644455833333332 N,47.62611861111111 E	False	False
e0352_16Dr3	16Dr3	1	16.0	deep	3.0		desert biome	sand dune	17/03/2023	19.644455833333332 N,47.62611861111111 E	False	False
e0353_16PRr2	16PRr2	1	16.0	plant_rhizosphere	2.0		desert biome	sand dune	17/03/2023	19.644455833333332 N,47.62611861111111 E	False	False
e0354_16PRr3	16PRr3	1	16.0	plant_rhizosphere	3.0		desert biome	sand dune	17/03/2023	19.644455833333332 N,47.62611861111111 E	False	False
e0355_16Sr1	16Sr1	1	16.0	surface	1.0		desert biome	sand dune	17/03/2023	19.644455833333332 N,47.62611861111111 E	False	False
e0356_17Dr1	17Dr1	1	17.0	deep	1.0		desert biome	sand dune	17/03/2023	19.676460000000002 N,47.82730555555556 E	False	False
e0357_17Dr3	17Dr3	1	17.0	deep	3.0		desert biome	sand dune	17/03/2023	19.676460000000002 N,47.82730555555556 E	False	False
e0358_17PRr2	17PRr2	1	17.0	plant_rhizosphere	2.0		desert biome	sand dune	17/03/2023	19.676460000000002 N,47.82730555555556 E	False	False
e0359_18PRr1	18PRr1	1	18.0	plant_rhizosphere	1.0		desert biome	sand dune	18/03/2023	19.732518055555555 N,48.046860555555554 E	False	False
e0360_18PRr2	18PRr2	1	18.0	plant_rhizosphere	2.0		desert biome	sand dune	18/03/2023	19.732518055555555 N,48.046860555555554 E	False	False
e0361_18Sr1	18Sr1	1	18.0	surface	1.0		desert biome	sand dune	18/03/2023	19.732518055555555 N,48.046860555555554 E	False	False
e0362_18Sr2	18Sr2	1	18.0	surface	2.0		desert biome	sand dune	18/03/2023	19.732518055555555 N,48.046860555555554 E	False	False
e0363_19Dr2	19Dr2	1	19.0	deep	2.0		desert biome	sand dune	18/03/2023	19.81231916666667 N,48.24049472222222 E	False	False
e0364_1Dr1	1Dr1	1	1.0	deep	1.0		desert biome	gravel	17/03/2023	19.149770555555556 N,45.166511388888885 E	False	False
e0365_1Dr2	1Dr2	1	1.0	deep	2.0		desert biome	gravel	17/03/2023	19.149770555555556 N,45.166511388888885 E	False	False
e0366_1PRr2	1PRr2	1	1.0	plant_rhizosphere	2.0		desert biome	gravel	17/03/2023	19.149770555555556 N,45.166511388888885 E	False	False
