sampleID	forwardReads	reverseReads	run	source_sample_name	biosample_accession	experiment_accession	library_name	bioproject	umbrella_project	campaign	compartment	is_control	in_ledger
T1Dr1__lib2	${EQ_READS_DIR}/ERR16061168_1.fastq.gz	${EQ_READS_DIR}/ERR16061168_2.fastq.gz	ERR16061168	T1Dr1	ERS28391676	ERX15451350	T1Dr1_amp_lib2	PRJEB106069	PRJEB104209	Trip2	Deep	False	True
T2Dr2__lib2	${EQ_READS_DIR}/ERR16061169_1.fastq.gz	${EQ_READS_DIR}/ERR16061169_2.fastq.gz	ERR16061169	T2Dr2	ERS28391678	ERX15451351	T2Dr2_amp_lib2	PRJEB106069	PRJEB104209	Trip2	Deep	False	True
T2PRr1	${EQ_READS_DIR}/ERR16061170_1.fastq.gz	${EQ_READS_DIR}/ERR16061170_2.fastq.gz	ERR16061170	T2PRr1	ERS28392113	ERX15451352	T2PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Rhizosphere	False	True
T3Dr2	${EQ_READS_DIR}/ERR16061171_1.fastq.gz	${EQ_READS_DIR}/ERR16061171_2.fastq.gz	ERR16061171	T3Dr2	ERS28392114	ERX15451353	T3Dr2_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Deep	False	True
T5Sr3	${EQ_READS_DIR}/ERR16061172_1.fastq.gz	${EQ_READS_DIR}/ERR16061172_2.fastq.gz	ERR16061172	T5Sr3	ERS28392115	ERX15451354	T5Sr3_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Surface	False	True
T6PRr2	${EQ_READS_DIR}/ERR16061173_1.fastq.gz	${EQ_READS_DIR}/ERR16061173_2.fastq.gz	ERR16061173	T6PRr2	ERS28392116	ERX15451355	T6PRr2_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Rhizosphere	False	True
T7PRr2	${EQ_READS_DIR}/ERR16061174_1.fastq.gz	${EQ_READS_DIR}/ERR16061174_2.fastq.gz	ERR16061174	T7PRr2	ERS28392117	ERX15451356	T7PRr2_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Rhizosphere	False	True
T8Dr1	${EQ_READS_DIR}/ERR16061175_1.fastq.gz	${EQ_READS_DIR}/ERR16061175_2.fastq.gz	ERR16061175	T8Dr1	ERS28392118	ERX15451357	T8Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Deep	False	True
T8PRr1	${EQ_READS_DIR}/ERR16061176_1.fastq.gz	${EQ_READS_DIR}/ERR16061176_2.fastq.gz	ERR16061176	T8PRr1	ERS28392119	ERX15451358	T8PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Rhizosphere	False	True
T_Neg_Ctrl1	${EQ_READS_DIR}/ERR16061177_1.fastq.gz	${EQ_READS_DIR}/ERR16061177_2.fastq.gz	ERR16061177	T_Neg_Ctrl1	ERS28392121	ERX15451359	T_Neg_Ctrl1_amp_lib1	PRJEB106069	PRJEB104209				False
T_Neg_Ctrl2	${EQ_READS_DIR}/ERR16061178_1.fastq.gz	${EQ_READS_DIR}/ERR16061178_2.fastq.gz	ERR16061178	T_Neg_Ctrl2	ERS28392122	ERX15451360	T_Neg_Ctrl2_amp_lib1	PRJEB106069	PRJEB104209				False
