sampleID,forwardReads,reverseReads,run
S4Sr1,${EQ_READS_DIR}/ERR16061195_1.fastq.gz,${EQ_READS_DIR}/ERR16061195_2.fastq.gz,ERR16061195
S5Dr1,${EQ_READS_DIR}/ERR16061196_1.fastq.gz,${EQ_READS_DIR}/ERR16061196_2.fastq.gz,ERR16061196
S5PRr1,${EQ_READS_DIR}/ERR16061197_1.fastq.gz,${EQ_READS_DIR}/ERR16061197_2.fastq.gz,ERR16061197
S5Sr1,${EQ_READS_DIR}/ERR16061198_1.fastq.gz,${EQ_READS_DIR}/ERR16061198_2.fastq.gz,ERR16061198
S6Dr1,${EQ_READS_DIR}/ERR16061199_1.fastq.gz,${EQ_READS_DIR}/ERR16061199_2.fastq.gz,ERR16061199
S6PRr1,${EQ_READS_DIR}/ERR16061200_1.fastq.gz,${EQ_READS_DIR}/ERR16061200_2.fastq.gz,ERR16061200
S6Sr1,${EQ_READS_DIR}/ERR16061201_1.fastq.gz,${EQ_READS_DIR}/ERR16061201_2.fastq.gz,ERR16061201
S7Dr1,${EQ_READS_DIR}/ERR16061202_1.fastq.gz,${EQ_READS_DIR}/ERR16061202_2.fastq.gz,ERR16061202
S7PRr1,${EQ_READS_DIR}/ERR16061203_1.fastq.gz,${EQ_READS_DIR}/ERR16061203_2.fastq.gz,ERR16061203
S7Sr1,${EQ_READS_DIR}/ERR16061204_1.fastq.gz,${EQ_READS_DIR}/ERR16061204_2.fastq.gz,ERR16061204
S8Dr1,${EQ_READS_DIR}/ERR16061205_1.fastq.gz,${EQ_READS_DIR}/ERR16061205_2.fastq.gz,ERR16061205
S8PRr1,${EQ_READS_DIR}/ERR16061206_1.fastq.gz,${EQ_READS_DIR}/ERR16061206_2.fastq.gz,ERR16061206
S8Sr1,${EQ_READS_DIR}/ERR16061207_1.fastq.gz,${EQ_READS_DIR}/ERR16061207_2.fastq.gz,ERR16061207
S9Dr1,${EQ_READS_DIR}/ERR16061208_1.fastq.gz,${EQ_READS_DIR}/ERR16061208_2.fastq.gz,ERR16061208
S9PRr1,${EQ_READS_DIR}/ERR16061209_1.fastq.gz,${EQ_READS_DIR}/ERR16061209_2.fastq.gz,ERR16061209
S9Sr1,${EQ_READS_DIR}/ERR16061210_1.fastq.gz,${EQ_READS_DIR}/ERR16061210_2.fastq.gz,ERR16061210
S10Dr1,${EQ_READS_DIR}/ERR16061211_1.fastq.gz,${EQ_READS_DIR}/ERR16061211_2.fastq.gz,ERR16061211
S10PRr1,${EQ_READS_DIR}/ERR16061212_1.fastq.gz,${EQ_READS_DIR}/ERR16061212_2.fastq.gz,ERR16061212
S10Sr1,${EQ_READS_DIR}/ERR16061213_1.fastq.gz,${EQ_READS_DIR}/ERR16061213_2.fastq.gz,ERR16061213
S11Dr1,${EQ_READS_DIR}/ERR16061214_1.fastq.gz,${EQ_READS_DIR}/ERR16061214_2.fastq.gz,ERR16061214
S11PRr1,${EQ_READS_DIR}/ERR16061215_1.fastq.gz,${EQ_READS_DIR}/ERR16061215_2.fastq.gz,ERR16061215
S11Sr1,${EQ_READS_DIR}/ERR16061216_1.fastq.gz,${EQ_READS_DIR}/ERR16061216_2.fastq.gz,ERR16061216
S12Dr1,${EQ_READS_DIR}/ERR16061217_1.fastq.gz,${EQ_READS_DIR}/ERR16061217_2.fastq.gz,ERR16061217
S12PRr1,${EQ_READS_DIR}/ERR16061218_1.fastq.gz,${EQ_READS_DIR}/ERR16061218_2.fastq.gz,ERR16061218
S12Sr1,${EQ_READS_DIR}/ERR16061219_1.fastq.gz,${EQ_READS_DIR}/ERR16061219_2.fastq.gz,ERR16061219
S13Dr1,${EQ_READS_DIR}/ERR16061220_1.fastq.gz,${EQ_READS_DIR}/ERR16061220_2.fastq.gz,ERR16061220
