soil_position	soil_position_label	n_analysis_units	nuisance_rank	endpoint	cluster_definition	n_clusters	estimate_per_mm_at_kernel_peak	standard_error	t	p_two_sided	ci_low	ci_high
Surface	surface	196	77	richness_hurlbert_25000	site	60	86.70515494602567	56.31146486533391	1.5397424867809206	0.12362313602475578	-23.66328810672144	197.07359799877278
Surface	surface	196	77	richness_hurlbert_25000	campaign_rain_grid	74	86.70515494602567	31.322365762613366	2.768154730174234	0.005637468383519109	25.31444614071301	148.09586375133833
Surface	surface	196	77	shannon	site	60	0.016846193748386307	0.060836649084710495	0.2769086398057401	0.7818502583105009	-0.10239144739774791	0.13608383489452053
Surface	surface	196	77	shannon	campaign_rain_grid	74	0.016846193748386307	0.04134119118812313	0.40749173558467844	0.6836468628247159	-0.06418105205831967	0.09787343955509228
Surface	surface	196	77	evenness_h_over_log_hurlbert	site	60	-0.0060807642875899785	0.006596156749332761	-0.9218647340673162	0.35659913624955464	-0.01900899395266299	0.0068474653774830314
Surface	surface	196	77	evenness_h_over_log_hurlbert	campaign_rain_grid	74	-0.0060807642875899785	0.005299070328507561	-1.1475153018591047	0.2511687126436353	-0.01646675128300963	0.004305222707829674
Deep	shallow-subsurface	203	76	richness_hurlbert_25000	site	60	71.12081466935241	65.45995971241638	1.0864781307811024	0.27726751121768256	-57.17834879642659	199.41997813513143
Deep	shallow-subsurface	203	76	richness_hurlbert_25000	campaign_rain_grid	76	71.12081466935241	51.02525112991082	1.393835661646781	0.16336723648781504	-28.886839847384493	171.12846918608932
Deep	shallow-subsurface	203	76	shannon	site	60	0.09351314489773706	0.09298820047869966	1.0056452798993314	0.31458623429711063	-0.08874037902770447	0.2757666688231786
Deep	shallow-subsurface	203	76	shannon	campaign_rain_grid	76	0.09351314489773706	0.047455617728752585	1.9705389872330956	0.04877663132547442	0.0005018432852815086	0.18652444651019262
Deep	shallow-subsurface	203	76	evenness_h_over_log_hurlbert	site	60	0.0011792350247557053	0.004773431081394086	0.24704138483367574	0.8048761959779407	-0.008176517977460787	0.010534988026972197
Deep	shallow-subsurface	203	76	evenness_h_over_log_hurlbert	campaign_rain_grid	76	0.0011792350247557053	0.004645895619432758	0.2538229700691563	0.7996323269042857	-0.007926553065264906	0.010285023114776316
Rhizosphere	root-adjacent	218	76	richness_hurlbert_25000	site	60	54.01055194550128	54.44925164488232	0.9919429618198936	0.32122535016323384	-52.708020263626366	160.72912415462892
Rhizosphere	root-adjacent	218	76	richness_hurlbert_25000	campaign_rain_grid	79	54.01055194550128	45.13834332773543	1.1965559203922818	0.23147969011522362	-34.458975298664015	142.48007918966658
Rhizosphere	root-adjacent	218	76	shannon	site	60	0.03901651158919172	0.07992560439032749	0.48816035720730133	0.6254362617581001	-0.11763479445844657	0.19566781763683003
Rhizosphere	root-adjacent	218	76	shannon	campaign_rain_grid	79	0.03901651158919172	0.05030743917791246	0.7755614721554336	0.43800795634615153	-0.059584257353956	0.13761728053233943
Rhizosphere	root-adjacent	218	76	evenness_h_over_log_hurlbert	site	60	0.0015259301311106492	0.0064741258419116435	0.23569670537328963	0.8136680266118257	-0.011163123350416228	0.014214983612637525
Rhizosphere	root-adjacent	218	76	evenness_h_over_log_hurlbert	campaign_rain_grid	79	0.0015259301311106492	0.004942406766585925	0.3087423199213364	0.7575175487937168	-0.008161009128344825	0.011212869390566125
