trip	n_sampled_sites	n_sites_with_kernel_exposure_at_least_0_01_mm	kernel_weighted_rain_mm_minimum	kernel_weighted_rain_mm_median	kernel_weighted_rain_mm_maximum	rain_1_to_4_complete_days_mm_maximum	rain_1_to_60_complete_days_mm_maximum
1	59	55	0.0003359579397200633	5.24308631457627	19.027990689277125	17.24	20.330000000000002
2	7	5	0.006259080395665329	0.010792028507372719	0.029714130050498506	0.0	32.99
3	60	60	0.09190215267246382	2.051607124042553	9.422559072787866	0.4	20.150000000000002
4	60	60	0.40598985936045295	1.8477633613474038	10.754489717393858	2.75	25.779999999999998
5	56	25	0.0011319076057939512	0.007803075362126145	0.2774583160765505	0.0	27.83
