endpoint	cluster_definition	n_clusters	estimate_per_mm_at_kernel_peak	standard_error	t	p_two_sided	ci_low	ci_high
richness_hurlbert_25000	site	60	70.93383533401314	36.13522437616753	1.9630107895717548	0.04964492034169393	0.11009698345094421	141.75757368457533
richness_hurlbert_25000	campaign_rain_grid	82	70.93383533401314	28.378353233018803	2.4995754599135847	0.012434221484314043	15.313285056740483	126.5543856112858
shannon	site	60	0.053995311158159795	0.05335421223239467	1.0120159008809406	0.3115304507270862	-0.05057702324084015	0.15856764555715974
shannon	campaign_rain_grid	82	0.053995311158159795	0.02956755174452774	1.8261678080314194	0.06782498880520654	-0.003956025372139016	0.1119466476884586
evenness_h_over_log_hurlbert	site	60	-0.0012858853976612263	0.004215845802038217	-0.30501243594809485	0.7603566808359641	-0.009548791334030509	0.006977020538708057
evenness_h_over_log_hurlbert	campaign_rain_grid	82	-0.0012858853976612263	0.003238191095634121	-0.3970999115509015	0.6912937851581766	-0.007632623320162402	0.005060852524839949
