path	sha256	bytes	role
data/metadata/samples/ph/versions/EQ-PH-ECOLOGY-v1.0.0/ph_measurements.xlsx	0986fdde4af4635252ead8f601e8725749228c0adf4f906e08b364801ab08398	178875	input
data/release/sample_ledger.tsv	cf7affd4d58803417fc5cf03ab71e6455e7fe190db449b0eb7ebaedfb4d1c99f	558402	input
data/processed/semantics/ontology/rubalkhali_samples.owl	ab9339969a861920ca8d734294d2a61f1e60e5f291314066f7f6b995987e937f	2701346	input
data/metadata/samples/ph/versions/EQ-PH-ECOLOGY-v1.0.0/manifest.json	ed7bac602e99c97ade982c390357ed9bc62bb6a32cd0d0e98e1885fbce396fa1	1121	input
data/metadata/samples/ph/version_registry.tsv	ba8ae053cb6a71ccf7d03011f028c0baab5369770943af62551401fb1f05506f	307	input
config/ph/ph_measurements.shex	766437385d49761e7c034fbeb318077f5e199a7da3749fb7f0954ef546439814	2010	input
scripts/rdf/generate_ph_dataset.py	1403e7e00ae666773a70d2ec8fa5f34d8310991af2500611d1fdc17f31edbe25	28390	input
analysis/v3/ph_ecology_v1/normalized/ph_observation_audit.tsv	161151a0367617dddd162c8d05e4a587d05473cf907053ec6e09fc0218045212	219752	output
analysis/v3/ph_ecology_v1/normalized/ph_accepted_measurements.tsv	1b224ec02f2d6b438bf17a6dfdfd0b26eb197f0884c8969b3fb36c46487e3dd5	128658	output
analysis/v3/ph_ecology_v1/normalized/ph_measurement_sessions.tsv	1c1a2e0d7b287707edca80c9c12e184b7789aa8d81992ef1aef8c59ce486b840	9277	output
analysis/v3/ph_ecology_v1/normalized/ph_entity_registry.tsv	ce0e8e8c5a1f1337812732335b58e082ead819650be64765c64cbdda6f61c082	537138	output
analysis/v3/ph_ecology_v1/kg/rubalkhali_ph_measurements.ttl	4eaa50117731eba0166c2c7f6f622588d66d94fad833303f430e0e787e5694ba	3820812	output
analysis/v3/ph_ecology_v1/summary.json	5d2ffc1ff0d7ffdc97a4d419524001b2b4b4ddaf5473216fe62783605f6a0f56	2292	output
