composition_specification_id	control_material_or_product_id	taxon_iri	expected_value	expected_unit_iri	composition_basis	product	lot	version	assertion_status	assertion_id	evidence_id
https://rubalkhali.science/kb/RAK_CTL_3484d15a5096e5ea8ce299e987f7f83de83afc3aab70b9a4e3244ef132a793d0	https://rubalkhali.science/kb/RAK_CTL_5fcc044df0d5a6093b490b090682649fca91613dd191bccc4a3af42041b6e5d3	http://purl.obolibrary.org/obo/NCBITaxon_287	14	http://purl.obolibrary.org/obo/UO_0000187	gDNA_percent	D6322		manufacturer_snapshot_2026-07-30	confirmed	https://rubalkhali.science/kb/RAK_CTL_76a8f3a22d80859e12447c38c15cf031dc8868294e590cdd3c9316cc67aae160	https://rubalkhali.science/kb/RAK_CTL_93c775d76d6a93146d98396c82089c9366a19ce396fd114603456f54523665d0
https://rubalkhali.science/kb/RAK_CTL_3484d15a5096e5ea8ce299e987f7f83de83afc3aab70b9a4e3244ef132a793d0	https://rubalkhali.science/kb/RAK_CTL_5fcc044df0d5a6093b490b090682649fca91613dd191bccc4a3af42041b6e5d3	http://purl.obolibrary.org/obo/NCBITaxon_562	14	http://purl.obolibrary.org/obo/UO_0000187	gDNA_percent	D6322		manufacturer_snapshot_2026-07-30	confirmed	https://rubalkhali.science/kb/RAK_CTL_ec2fb077e6eae78bdce477661362f3118cd66c1271753a2f3d43dbdbcbb5ed51	https://rubalkhali.science/kb/RAK_CTL_93c775d76d6a93146d98396c82089c9366a19ce396fd114603456f54523665d0
https://rubalkhali.science/kb/RAK_CTL_3484d15a5096e5ea8ce299e987f7f83de83afc3aab70b9a4e3244ef132a793d0	https://rubalkhali.science/kb/RAK_CTL_5fcc044df0d5a6093b490b090682649fca91613dd191bccc4a3af42041b6e5d3	http://purl.obolibrary.org/obo/NCBITaxon_28901	14	http://purl.obolibrary.org/obo/UO_0000187	gDNA_percent	D6322		manufacturer_snapshot_2026-07-30	confirmed	https://rubalkhali.science/kb/RAK_CTL_19b576024c5ac7a4513ee340e7266f7cdda98ce43ebf5a8d45cd928d234aebca	https://rubalkhali.science/kb/RAK_CTL_93c775d76d6a93146d98396c82089c9366a19ce396fd114603456f54523665d0
https://rubalkhali.science/kb/RAK_CTL_3484d15a5096e5ea8ce299e987f7f83de83afc3aab70b9a4e3244ef132a793d0	https://rubalkhali.science/kb/RAK_CTL_5fcc044df0d5a6093b490b090682649fca91613dd191bccc4a3af42041b6e5d3	http://purl.obolibrary.org/obo/NCBITaxon_1351	14	http://purl.obolibrary.org/obo/UO_0000187	gDNA_percent	D6322		manufacturer_snapshot_2026-07-30	confirmed	https://rubalkhali.science/kb/RAK_CTL_4a9f6cd12117320e7e879a4aea0430de96ca02adf33efd73e4d3e25bcddcb667	https://rubalkhali.science/kb/RAK_CTL_93c775d76d6a93146d98396c82089c9366a19ce396fd114603456f54523665d0
https://rubalkhali.science/kb/RAK_CTL_3484d15a5096e5ea8ce299e987f7f83de83afc3aab70b9a4e3244ef132a793d0	https://rubalkhali.science/kb/RAK_CTL_5fcc044df0d5a6093b490b090682649fca91613dd191bccc4a3af42041b6e5d3	http://purl.obolibrary.org/obo/NCBITaxon_1280	14	http://purl.obolibrary.org/obo/UO_0000187	gDNA_percent	D6322		manufacturer_snapshot_2026-07-30	confirmed	https://rubalkhali.science/kb/RAK_CTL_39d0af0cc511f4c4288fd4c85c370e58359beb4beefc6f6d25a479fad017f59d	https://rubalkhali.science/kb/RAK_CTL_93c775d76d6a93146d98396c82089c9366a19ce396fd114603456f54523665d0
https://rubalkhali.science/kb/RAK_CTL_3484d15a5096e5ea8ce299e987f7f83de83afc3aab70b9a4e3244ef132a793d0	https://rubalkhali.science/kb/RAK_CTL_5fcc044df0d5a6093b490b090682649fca91613dd191bccc4a3af42041b6e5d3	http://purl.obolibrary.org/obo/NCBITaxon_1639	14	http://purl.obolibrary.org/obo/UO_0000187	gDNA_percent	D6322		manufacturer_snapshot_2026-07-30	confirmed	https://rubalkhali.science/kb/RAK_CTL_1c93d10127ea12c8a6929c265a0bc13a6da373652e4ee6b6f87e72602e2e0592	https://rubalkhali.science/kb/RAK_CTL_93c775d76d6a93146d98396c82089c9366a19ce396fd114603456f54523665d0
https://rubalkhali.science/kb/RAK_CTL_3484d15a5096e5ea8ce299e987f7f83de83afc3aab70b9a4e3244ef132a793d0	https://rubalkhali.science/kb/RAK_CTL_5fcc044df0d5a6093b490b090682649fca91613dd191bccc4a3af42041b6e5d3	http://purl.obolibrary.org/obo/NCBITaxon_1423	14	http://purl.obolibrary.org/obo/UO_0000187	gDNA_percent	D6322		manufacturer_snapshot_2026-07-30	confirmed	https://rubalkhali.science/kb/RAK_CTL_a72e6cb0487f8e3726a14d1c7b6a9cee1a0a602bc6f4899afbb948058f37dd8d	https://rubalkhali.science/kb/RAK_CTL_93c775d76d6a93146d98396c82089c9366a19ce396fd114603456f54523665d0
https://rubalkhali.science/kb/RAK_CTL_3484d15a5096e5ea8ce299e987f7f83de83afc3aab70b9a4e3244ef132a793d0	https://rubalkhali.science/kb/RAK_CTL_5fcc044df0d5a6093b490b090682649fca91613dd191bccc4a3af42041b6e5d3	http://purl.obolibrary.org/obo/NCBITaxon_4932	2	http://purl.obolibrary.org/obo/UO_0000187	gDNA_percent	D6322		manufacturer_snapshot_2026-07-30	confirmed	https://rubalkhali.science/kb/RAK_CTL_5aa4e11f4b1f59ac799b5a1b50bfd4975afeb335c78b527a45cf34707b453196	https://rubalkhali.science/kb/RAK_CTL_93c775d76d6a93146d98396c82089c9366a19ce396fd114603456f54523665d0
https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409	https://rubalkhali.science/kb/RAK_CTL_24320eab3380ef6d405c590160b8d3310c2d641b7621bcef232f6d05cf4c2e60	http://purl.obolibrary.org/obo/NCBITaxon_287	12	http://purl.obolibrary.org/obo/UO_0000187	gDNA_percent	D6300		manufacturer_snapshot_2026-07-30	confirmed	https://rubalkhali.science/kb/RAK_CTL_2989cdbf14df79d970bf028add47e1acf1031772e3412b6ab9bcebb86cdada93	https://rubalkhali.science/kb/RAK_CTL_998abc71455e01cd0175f49f1f32bc70113e47b047b072b30db1f4fe0de5fb13
https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409	https://rubalkhali.science/kb/RAK_CTL_24320eab3380ef6d405c590160b8d3310c2d641b7621bcef232f6d05cf4c2e60	http://purl.obolibrary.org/obo/NCBITaxon_562	12	http://purl.obolibrary.org/obo/UO_0000187	gDNA_percent	D6300		manufacturer_snapshot_2026-07-30	confirmed	https://rubalkhali.science/kb/RAK_CTL_923e63d58b5f1c02ee540016ed0fa91f47a9c02a35905d33adc8274bdc054752	https://rubalkhali.science/kb/RAK_CTL_998abc71455e01cd0175f49f1f32bc70113e47b047b072b30db1f4fe0de5fb13
