entity_id	entity_kind	stable_key_type	stable_key	iri_scheme_version	canonical_key	key_sha256	primary_identifier	primary_label	source_snapshot_id	source_row	curation_status
https://rubalkhali.science/kb/RAK_CTL_1c93d10127ea12c8a6929c265a0bc13a6da373652e4ee6b6f87e72602e2e0592	metadata_assertion	claim_tuple	https://rubalkhali.science/kb/RAK_CTL_3484d15a5096e5ea8ce299e987f7f83de83afc3aab70b9a4e3244ef132a793d0|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_1639|https://www.zymoresearch.com/products/zymobiomics-hmw-dna-standard	control-key-v1	metadata_assertion|claim_tuple|https://rubalkhali.science/kb/RAK_CTL_3484d15a5096e5ea8ce299e987f7f83de83afc3aab70b9a4e3244ef132a793d0|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_1639|https://www.zymoresearch.com/products/zymobiomics-hmw-dna-standard	1c93d10127ea12c8a6929c265a0bc13a6da373652e4ee6b6f87e72602e2e0592	a6315008f4afcec04de353fd0e89a1d769d01a83ffeb8a4eb811ed01d062f83a	control metadata assertion	https://www.zymoresearch.com/products/zymobiomics-hmw-dna-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_a72e6cb0487f8e3726a14d1c7b6a9cee1a0a602bc6f4899afbb948058f37dd8d	metadata_assertion	claim_tuple	https://rubalkhali.science/kb/RAK_CTL_3484d15a5096e5ea8ce299e987f7f83de83afc3aab70b9a4e3244ef132a793d0|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_1423|https://www.zymoresearch.com/products/zymobiomics-hmw-dna-standard	control-key-v1	metadata_assertion|claim_tuple|https://rubalkhali.science/kb/RAK_CTL_3484d15a5096e5ea8ce299e987f7f83de83afc3aab70b9a4e3244ef132a793d0|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_1423|https://www.zymoresearch.com/products/zymobiomics-hmw-dna-standard	a72e6cb0487f8e3726a14d1c7b6a9cee1a0a602bc6f4899afbb948058f37dd8d	583cb6d280dfd843baf5e34c5542ce032fedf37b2c2097d5d79197b321529c47	control metadata assertion	https://www.zymoresearch.com/products/zymobiomics-hmw-dna-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_5aa4e11f4b1f59ac799b5a1b50bfd4975afeb335c78b527a45cf34707b453196	metadata_assertion	claim_tuple	https://rubalkhali.science/kb/RAK_CTL_3484d15a5096e5ea8ce299e987f7f83de83afc3aab70b9a4e3244ef132a793d0|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_4932|https://www.zymoresearch.com/products/zymobiomics-hmw-dna-standard	control-key-v1	metadata_assertion|claim_tuple|https://rubalkhali.science/kb/RAK_CTL_3484d15a5096e5ea8ce299e987f7f83de83afc3aab70b9a4e3244ef132a793d0|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_4932|https://www.zymoresearch.com/products/zymobiomics-hmw-dna-standard	5aa4e11f4b1f59ac799b5a1b50bfd4975afeb335c78b527a45cf34707b453196	9e9866d9e01b6a2294c4bb96641d97a9cbe819105ed937967a287ce8b8e68aa1	control metadata assertion	https://www.zymoresearch.com/products/zymobiomics-hmw-dna-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_24320eab3380ef6d405c590160b8d3310c2d641b7621bcef232f6d05cf4c2e60	control_material	catalogue_number	D6300	control-key-v1	control_material|catalogue_number|D6300	24320eab3380ef6d405c590160b8d3310c2d641b7621bcef232f6d05cf4c2e60	D6300	ZymoBIOMICS Microbial Community Standard (D6300)	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409	composition_specification	catalogue_number_and_version	D6300|manufacturer_snapshot_2026-07-30	control-key-v1	composition_specification|catalogue_number_and_version|D6300|manufacturer_snapshot_2026-07-30	99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409	D6300:composition	manufacturer composition specification for D6300	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_2989cdbf14df79d970bf028add47e1acf1031772e3412b6ab9bcebb86cdada93	metadata_assertion	claim_tuple	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_287|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	control-key-v1	metadata_assertion|claim_tuple|https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_287|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	2989cdbf14df79d970bf028add47e1acf1031772e3412b6ab9bcebb86cdada93	0b0d45ee078b6f237573b027a2e0f3ec367c94ae3663afdc904667c6214b46a3	control metadata assertion	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_998abc71455e01cd0175f49f1f32bc70113e47b047b072b30db1f4fe0de5fb13	evidence_record	repository_path	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	control-key-v1	evidence_record|repository_path|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	998abc71455e01cd0175f49f1f32bc70113e47b047b072b30db1f4fe0de5fb13	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	Control evidence: https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_923e63d58b5f1c02ee540016ed0fa91f47a9c02a35905d33adc8274bdc054752	metadata_assertion	claim_tuple	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_562|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	control-key-v1	metadata_assertion|claim_tuple|https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_562|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	923e63d58b5f1c02ee540016ed0fa91f47a9c02a35905d33adc8274bdc054752	101b42e956dff38028e4b7b3535239eeba9f4631bd43edd46c382daf0bc3ed2d	control metadata assertion	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_c128f10a4a9278a48895f5f10ff3144dfb195f53cbc9469b1173eccb09354188	metadata_assertion	claim_tuple	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_28901|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	control-key-v1	metadata_assertion|claim_tuple|https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_28901|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	c128f10a4a9278a48895f5f10ff3144dfb195f53cbc9469b1173eccb09354188	a25c73e9f602a0185368b6e8fce056d91b9c5bfa1c6f1f24a00bd21b47539a90	control metadata assertion	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_335a975ed72784122900c3907aca304aad1a39d22a0648a73a820fcd1ec78b8b	metadata_assertion	claim_tuple	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_1613|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	control-key-v1	metadata_assertion|claim_tuple|https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_1613|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	335a975ed72784122900c3907aca304aad1a39d22a0648a73a820fcd1ec78b8b	f90bfef1acc603031f65abf103e1bb8e993a03d99974bc450aa073d1d3db1236	control metadata assertion	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_b63e2b540040ab58617440dd4fa1fa893dca8859155c9c7011c4cb6509382c03	metadata_assertion	claim_tuple	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_1351|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	control-key-v1	metadata_assertion|claim_tuple|https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_1351|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	b63e2b540040ab58617440dd4fa1fa893dca8859155c9c7011c4cb6509382c03	29bf41437aacc067e055a45a3b6dd0c85941413f7f144d3f8d8e28f0c6b15061	control metadata assertion	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard		confirmed
