role_id	bearer_material_id	role_type	realized_in_process_id	assertion_status	evidence_id
https://rubalkhali.science/kb/RAK_CTL_d94aeef6e32f9ed40815bf235f48356fa90d965c1d49c132d1cc396376b57d94	https://rubalkhali.science/kb/RAK_CTL_c360404f1ff2ff23f04c344f17d4e2c83c254cab809f3d5f339551af5aedc01e	positive_microbiome_control	https://rubalkhali.science/kb/RAK_CTL_a661013787e7f4352c1eec5311d4e775fe9adc880740a8adfca86aafddd2b8e3	confirmed	https://rubalkhali.science/kb/RAK_CTL_f4427c676cbd335c7cf5c3afe02ac34b7081aeccdb1cdadfb3866476fdc197bb
https://rubalkhali.science/kb/RAK_CTL_983930beb738bd9acd29c3dc0c33a47fc5dee0a4750ace3f74f3f5ce90fb91f0	https://rubalkhali.science/kb/RAK_CTL_1d8533d87a4ffcf2299d976c5fa79b8734a2e43fd3e5a14ece744c1d38d1ab10	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_c5d2e188f638e3add1ffeececae19c129bebe0f3953f07dddf2e096189c9a560	confirmed	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e
https://rubalkhali.science/kb/RAK_CTL_186524acd6c0e43f28250eb4a8e6918d8ece48dceebdd3cff2b373b94fae71a3	https://rubalkhali.science/kb/RAK_CTL_f4813de1b262c5fff3327f55854a2fc9b8301f45b68903a511ac83f27a1399fd	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_5a1bfb4135384a95e4833c8d1128f8319a4e90b86b0d69babe5642a12af2b455	confirmed	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e
https://rubalkhali.science/kb/RAK_CTL_9b1cfde91b2b27d81b1dfd2449fc15bc0f2184ae419b121e4047bc51707e5259	https://rubalkhali.science/kb/RAK_CTL_2234b376eebaf774aabede0f3861e2b9cb4063abf9adb3e74f452a1709a973ad	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_80838c69ac3f9a42b89581c243fbde0018b070877a23dd55aa262b875c977b8f	confirmed	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e
https://rubalkhali.science/kb/RAK_CTL_eb51ffe1d73536b49f7adc0330a8a3406b0f8766083bf6a2e557ecb5713aa094	https://rubalkhali.science/kb/RAK_CTL_e77ab0791fa37c9497d84165a35d1dabbf3205163a209f2a7a44166206d6dad7	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_694f6b7de76adf9969f985b0dd8e2860c42bde4818d0afd5afed3571788a92d4	confirmed	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e
https://rubalkhali.science/kb/RAK_CTL_8a7845e567da000bdbc309ec78cec425e3f05d81a2722a6e848fd05bc954b241	https://rubalkhali.science/kb/RAK_CTL_b0018e4c3700fd4278ad16bb8a94d1f96732ae256f9dd5dbcd67f310bcd07e38	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_dd53e0c60a1ba3c6dc2a854d1b2280179549811b7d54959c32c9416d47bee45d	confirmed	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e
https://rubalkhali.science/kb/RAK_CTL_67b07ba21f8fe376000d2e5f964af01e56add6b025ca50ac720e697308eb8632	https://rubalkhali.science/kb/RAK_CTL_082b82aa55499fca07bc264ced464ea3a43c3b7078bc749562c9ae89474fbd36	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_5213382cade5a4ef94a8f2aacf4500e21d9ab2331c6bda73cc42da12e3f92e26	confirmed	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e
https://rubalkhali.science/kb/RAK_CTL_a5fe5d4be131a63c0fe5b5d0aa2fab024accf51558a7459a554028cdb4e6960c	https://rubalkhali.science/kb/RAK_CTL_e7f2212f9e4cb96e07190808584e76cbb1c2739c61286c62ea863893e0e515f1	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_322f4e4a1a6c8ab3232c08cee9f7aa3e54ea42bdbd2e634dcdb6a079f3161ccc	confirmed	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e
https://rubalkhali.science/kb/RAK_CTL_1755893f2422f8e1b259fb1b80bfc0d68e858419370f7068db9020d5740ea2b1	https://rubalkhali.science/kb/RAK_CTL_256c4109f961d0845058978794d4d8fdbcd451fba77d189c77be16ead271b0f4	pcr_blank	https://rubalkhali.science/kb/RAK_CTL_6149b4c99c340380707208287628c700f91f5396705d40d0c3c6e77a20bc52b1	confirmed	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e
https://rubalkhali.science/kb/RAK_CTL_4e914c4af9b6379ccf95264eb752ab8ba81c0d6b9f0db42db44beff8146eb340	https://rubalkhali.science/kb/RAK_CTL_a530694b474ef2c23add2d39d99de6c3d11c7baba3448827c3e5bc4e6c64c58e	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_477c0fe1a171bab13ba2a6bbc711ba849f905aad20aba98527a71c4e4e4068f7	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_c99612d679aabefa129875ec4c8fd6e1854a66c9b816653fd9b410b4ffa91ba6	https://rubalkhali.science/kb/RAK_CTL_bbb014c1ea29a7f7bbcb52199b6bd96320dacf12c076a7474ee588191ded43e1	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_65b4d98a58849e59c57211b48e5f6e1d4a0920801e0cd7d2c86463181ddcf27b	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_0d513120cc0d07f1120f37440ee0b86db461b2a2565b34a87fd16470b2593cff	https://rubalkhali.science/kb/RAK_CTL_38d6dd8de273475cd213d40a85d1c54ace1448f23af251c03badbfc8fc8c46d0	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_a61603964f4a377398cc78abcdeebcb5a9f81c8f2f4b1a8c1cff54631993ff02	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_af7011a86ee6aeb813871caeaa1dd52c3ea19e398e61ab27eb0f5986a99cf1a8	https://rubalkhali.science/kb/RAK_CTL_307623abf147812b587bc5f2be9959910bca6eda8eedf1e4b8547faf5de115e1	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_1e2f2b98bcd9639aa2a649cff37386cc78d5ac93c4cef8ff5b93ef1ebd1f57e4	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_02c4f41895e64452997a76765e42f1e3719555b801eb3907fcbcd7209eb8ea41	https://rubalkhali.science/kb/RAK_CTL_92c205ad9a266346a9e3a798b27fa556e2d8f59f5f3746ee9bfab427418aa76a	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_2c5006053903f99d649ea9245b1075c1ee9d71c7b4c9210d3f003fa28e6619e2	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_6596ae12719d9843fa56f7cc39bfe93e91d82083f29dcbc6c38f3d40035bb795	https://rubalkhali.science/kb/RAK_CTL_030dadb8c25f2642534b86508ceacce0698619164efef62ce4f174801ca048e1	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_bcea812226d1e4d8d083d33ab978ccdb908a6bae6b08c5ee25faee35c9f8d4b2	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_e53352967c86207c02ae039b366a130f4fa3410b2d651b6e6c30c75b9a32a3a1	https://rubalkhali.science/kb/RAK_CTL_fbed81ff8caaafc4d9c06358d9d2dfed0da6def982b9d457d250ea24b327ccd8	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_6d884fff7d011ba583b49e133c6a469e29dc07b7a868b787c04f7faa637c9129	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_ce0067125a35c78081536fdb5a86e10253b8eb08c29e18dd9fc002e47fcbbad1	https://rubalkhali.science/kb/RAK_CTL_756322c0bc9f3732a7e953dbb79d0353bcfba52efafc37af7bcf3a6736836d67	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_69e13f39d8649afe9157b3c19bf684ef697c40f487b17667a534eb35d2002960	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_82098d018d8cd509169ce318665c5b4d1231cbcfc1edff7653229ee69a5f3776	https://rubalkhali.science/kb/RAK_CTL_33d65ad84c256c2e661d99e0dc17c3732da51d682301f58fa6314e5a2414d225	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_a4b94ef0e8085f26061322044a9b6a3052686b7350d6a87011393613460a73a7	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_867fd1352f0d7b27f38248b254e4287fa01e8b4ec0bb16037219a9ae1380fd57	https://rubalkhali.science/kb/RAK_CTL_fcc4a8b7453e1a57f80b52c3fa909f4c3d5f2f5ef6ed296849511b0832b52adc	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_cb446a4baedae4c7ccb35416b0b3611f3e5da7634b1814255951057710db7f5a	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_0d6906326a50910650328507bdfb29ef2e4ab883f75880b8637142eb963dd6fe	https://rubalkhali.science/kb/RAK_CTL_d2b4e6fdc632d3e7587ca8eeb74e603c1a8bd0869deeeefe1142cb234cfed4c8	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_6e2b8e4a9898b5f57671d6e4693046131607e085507ead23da6efbf8d45a5926	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_2772b568231357b3fcada279256fbc500662a0c6152a750944b50faad6688cc4	https://rubalkhali.science/kb/RAK_CTL_eeb672b70e0864ff2971c6467879797939050dde605cba91b0a9f1dd87265c6e	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_b9d0f808895c63c9e9720444b00399633ad3167804d00143357df376478e0f6b	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_4670cd660eeb412cc697b6fa59da322f5689ec1717e6f2eb7cd4a1fbfe02a885	https://rubalkhali.science/kb/RAK_CTL_24a43e9e1cf3f44027f6ca5f97b672d43b965bb52f4fbbad3e375dbb1b6aec4a	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_c89d7577b88fd60403e88ac0c7ab6111e122301b1cb00147ab4a3cc63d499ca5	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_9305cdfa6e6e7cde12fcfeb291a79899e9915178bf3b1646df08409360ebdf99	https://rubalkhali.science/kb/RAK_CTL_fb3a5aba455f4c3aa05667ae576a8fd0356915f0c4d34a8acc165fd6f6fba30d	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_88169dad145fbf48a7e41e256fabaf318a829a95096592c40d0c2676834ef792	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_c3bc866ca7de20ec043e057ab795e65700887fa20d0f6635662c8c9dc5c88acf	https://rubalkhali.science/kb/RAK_CTL_dbb332dcc8275a138fcfd77531776d84ec9619bd0e98ec3603ea62f2854f0324	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_861ac0046d0fe1a475d3a693b8bddf7e146ea37d8083cda9fcfe46a873f7319f	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
