assertion_id	subject_iri	predicate_iri	object_iri	object_literal	object_datatype	status	confidence	evidence_id	rationale
https://rubalkhali.science/kb/RAK_CTL_1393f741397200195c65c9357ce358f08ed0b6368bdb5bfd379bf71b03f832bd	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409	https://rubalkhali.science/kb/RAK_2000092	http://purl.obolibrary.org/obo/NCBITaxon_1280			confirmed	high	https://rubalkhali.science/kb/RAK_CTL_998abc71455e01cd0175f49f1f32bc70113e47b047b072b30db1f4fe0de5fb13	Manufacturer specification for D6300 lists Staphylococcus aureus as an expected organism.
https://rubalkhali.science/kb/RAK_CTL_b0200a2378416bfcab4adac67b4ef379537bcc4b9cdb7f6c236dd13c914493b3	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409	https://rubalkhali.science/kb/RAK_2000092	http://purl.obolibrary.org/obo/NCBITaxon_1639			confirmed	high	https://rubalkhali.science/kb/RAK_CTL_998abc71455e01cd0175f49f1f32bc70113e47b047b072b30db1f4fe0de5fb13	Manufacturer specification for D6300 lists Listeria monocytogenes as an expected organism.
https://rubalkhali.science/kb/RAK_CTL_bacf4492d18b265a2ec629926ac5059848377945d01265dd235ddd48e581f2be	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409	https://rubalkhali.science/kb/RAK_2000092	http://purl.obolibrary.org/obo/NCBITaxon_1423			confirmed	high	https://rubalkhali.science/kb/RAK_CTL_998abc71455e01cd0175f49f1f32bc70113e47b047b072b30db1f4fe0de5fb13	Manufacturer specification for D6300 lists Bacillus subtilis as an expected organism.
https://rubalkhali.science/kb/RAK_CTL_b1616d2dbb84f8c489357f27148fb7d800d0462a215e879819ad9fd666df6a99	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409	https://rubalkhali.science/kb/RAK_2000092	http://purl.obolibrary.org/obo/NCBITaxon_4932			confirmed	high	https://rubalkhali.science/kb/RAK_CTL_998abc71455e01cd0175f49f1f32bc70113e47b047b072b30db1f4fe0de5fb13	Manufacturer specification for D6300 lists Saccharomyces cerevisiae as an expected organism.
https://rubalkhali.science/kb/RAK_CTL_25b86af92e828ab0b74b9512692c1da4de7121aedf84545f156b5f03b01dde4e	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409	https://rubalkhali.science/kb/RAK_2000092	http://purl.obolibrary.org/obo/NCBITaxon_5207			confirmed	high	https://rubalkhali.science/kb/RAK_CTL_998abc71455e01cd0175f49f1f32bc70113e47b047b072b30db1f4fe0de5fb13	Manufacturer specification for D6300 lists Cryptococcus neoformans as an expected organism.
https://rubalkhali.science/kb/RAK_CTL_cf25e128b0560f5ae0d00d95d22acc912d1e7f8186b6eb6a948955f77a417675	https://rubalkhali.science/kb/RAK_CTL_76e41ef09d7e0a235ff204c509089f1cbec2f90e247c06157f9e690c69699fb9	http://semanticscience.org/resource/SIO_000244	https://rubalkhali.science/kb/RAK_CTL_5fcc044df0d5a6093b490b090682649fca91613dd191bccc4a3af42041b6e5d3			provisional	low	https://rubalkhali.science/kb/RAK_CTL_b0ae4ff7a87b0764aea36899c084ae8ca3d720f25fb8ef82e6cc13dfd144086a	The library is positive-labelled and the trip-level design used D6322, but the library-level product mapping is not author-confirmed.
https://rubalkhali.science/kb/RAK_CTL_3458831397dfd241e4e181241d84954d930be19dbb3d8abac8d7baf9934443ad	https://rubalkhali.science/kb/RAK_CTL_def86048f2a6ba5ab904894c2246f1f22ee10930b2d09e06af8407304c43757a	http://semanticscience.org/resource/SIO_000244	https://rubalkhali.science/kb/RAK_CTL_5fcc044df0d5a6093b490b090682649fca91613dd191bccc4a3af42041b6e5d3			provisional	low	https://rubalkhali.science/kb/RAK_CTL_b0ae4ff7a87b0764aea36899c084ae8ca3d720f25fb8ef82e6cc13dfd144086a	The library is positive-labelled and the trip-level design used D6322, but the library-level product mapping is not author-confirmed.
https://rubalkhali.science/kb/RAK_CTL_e610a9c22e88869514c46e6863b5e6ee3581b6847cff7fcad793b867c4be0ce4	https://rubalkhali.science/kb/RAK_CTL_7e768276ec9f36c0f7aa28ff1fd3e87463ebb774b6aa682146eed926aedd7f62	http://semanticscience.org/resource/SIO_000244	https://rubalkhali.science/kb/RAK_CTL_5fcc044df0d5a6093b490b090682649fca91613dd191bccc4a3af42041b6e5d3			provisional	low	https://rubalkhali.science/kb/RAK_CTL_b0ae4ff7a87b0764aea36899c084ae8ca3d720f25fb8ef82e6cc13dfd144086a	The library is positive-labelled and the trip-level design used D6322, but the library-level product mapping is not author-confirmed.
https://rubalkhali.science/kb/RAK_CTL_2799fb47f416f0331c22274ffe1c76cda6b5b3bcf72e7cb84aa85b6bba5b9541	https://rubalkhali.science/kb/RAK_CTL_686a4a8b33c80baed4bc395d5c65a22b7cd161bfed441405b8fa6c6caaa02bf8	http://semanticscience.org/resource/SIO_000244	https://rubalkhali.science/kb/RAK_CTL_5fcc044df0d5a6093b490b090682649fca91613dd191bccc4a3af42041b6e5d3			provisional	low	https://rubalkhali.science/kb/RAK_CTL_b0ae4ff7a87b0764aea36899c084ae8ca3d720f25fb8ef82e6cc13dfd144086a	The library is positive-labelled and the trip-level design used D6322, but the library-level product mapping is not author-confirmed.
https://rubalkhali.science/kb/RAK_CTL_58e8eeefedc95da1fca6777a43516b7de847f420fcdae1d37e745326f6df7bad	https://rubalkhali.science/kb/RAK_CTL_69505ea144df7565015b1efb498082949cb5b596a6740d153c0a2f3143e14f61	http://semanticscience.org/resource/SIO_000244	https://rubalkhali.science/kb/RAK_CTL_24320eab3380ef6d405c590160b8d3310c2d641b7621bcef232f6d05cf4c2e60			provisional	low	https://rubalkhali.science/kb/RAK_CTL_b0ae4ff7a87b0764aea36899c084ae8ca3d720f25fb8ef82e6cc13dfd144086a	The library is positive-labelled and the trip-level design used D6300, but the library-level product mapping is not author-confirmed.
