source_sheet	source_row	trip	sample_id	specimen_iri	site	compartment	replicate	measurement_date_raw	measurement_date	date_status	calibration_recorded	slope_percent	ph10_check	ph_value_raw	ph_value	notes	metadata_match	calibration_pass	slope_pass	ph10_check_pass	value_range_pass	disposition	ecology_eligible	kg_eligible	reason_codes
Trip 1	2	1	1Sr1	https://rubalkhali.science/kb/RAK_6000004	1	Surface	1	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.99	7.99		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	3	1	1Sr2	https://rubalkhali.science/kb/RAK_6000005	1	Surface	2	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	8	8		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	4	1	1Sr3	https://rubalkhali.science/kb/RAK_6000006	1	Surface	3	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.98	7.98		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	5	1	1Dr1	https://rubalkhali.science/kb/RAK_6000001	1	Deep	1	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	8	8		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	6	1	1Dr2	https://rubalkhali.science/kb/RAK_6000002	1	Deep	2	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.99	7.99		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	7	1	1Dr3	https://rubalkhali.science/kb/RAK_6000003	1	Deep	3	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	8	8		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	8	1	1PRr2	https://rubalkhali.science/kb/RAK_6000008	1	Rhizosphere	2			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	9	1	1PRr3	https://rubalkhali.science/kb/RAK_6000009	1	Rhizosphere	3	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.95	7.95		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	10	1	2Sr1	https://rubalkhali.science/kb/RAK_6000013	2	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.15	8.15		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	11	1	2Sr3	https://rubalkhali.science/kb/RAK_6000015	2	Surface	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	12	1	2Dr1	https://rubalkhali.science/kb/RAK_6000010	2	Deep	1			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	13	1	2Dr2	https://rubalkhali.science/kb/RAK_6000011	2	Deep	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.07	8.07		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	14	1	2Dr3	https://rubalkhali.science/kb/RAK_6000012	2	Deep	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	15	1	2PRr1	https://rubalkhali.science/kb/RAK_6000016	2	Rhizosphere	1			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	16	1	2PRr2	https://rubalkhali.science/kb/RAK_6000017	2	Rhizosphere	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.9	7.9		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	17	1	3Sr1	https://rubalkhali.science/kb/RAK_6000022	3	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.84	7.84		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	18	1	3Sr3	https://rubalkhali.science/kb/RAK_6000024	3	Surface	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	19	1	3Dr2	https://rubalkhali.science/kb/RAK_6000020	3	Deep	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.77	7.77		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	20	1	3Dr3	https://rubalkhali.science/kb/RAK_6000021	3	Deep	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	21	1	3PRr1	https://rubalkhali.science/kb/RAK_6000025	3	Rhizosphere	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.65	7.65		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	22	1	3PRr2	https://rubalkhali.science/kb/RAK_6000026	3	Rhizosphere	2			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	23	1	3PRr3	https://rubalkhali.science/kb/RAK_6000027	3	Rhizosphere	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	24	1	4Sr1	https://rubalkhali.science/kb/RAK_6000031	4	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.02	8.02		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	25	1	4Dr1	https://rubalkhali.science/kb/RAK_6000028	4	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.97	7.97		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	26	1	4Dr2	https://rubalkhali.science/kb/RAK_6000029	4	Deep	2			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	27	1	4Dr3	https://rubalkhali.science/kb/RAK_6000030	4	Deep	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	28	1	4PRr1	https://rubalkhali.science/kb/RAK_6000034	4	Rhizosphere	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.93	7.93		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	29	1	4PRr2	https://rubalkhali.science/kb/RAK_6000035	4	Rhizosphere	2			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	30	1	4PRr3	https://rubalkhali.science/kb/RAK_6000036	4	Rhizosphere	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	31	1	5Sr1	https://rubalkhali.science/kb/RAK_6000040	5	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.03	8.03		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	32	1	5Sr2	https://rubalkhali.science/kb/RAK_6000041	5	Surface	2			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	33	1	5Sr3	https://rubalkhali.science/kb/RAK_6000042	5	Surface	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	34	1	5Dr1	https://rubalkhali.science/kb/RAK_6000037	5	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.99	7.99		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	35	1	5Dr2	https://rubalkhali.science/kb/RAK_6000038	5	Deep	2			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	36	1	6Sr1	https://rubalkhali.science/kb/RAK_6000049	6	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.96	7.96		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	37	1	6Sr2	https://rubalkhali.science/kb/RAK_6000050	6	Surface	2			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	38	1	6Dr1	https://rubalkhali.science/kb/RAK_6000046	6	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.93	7.93		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	39	1	6Dr3	https://rubalkhali.science/kb/RAK_6000048	6	Deep	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	40	1	6PRr1	https://rubalkhali.science/kb/RAK_6000052	6	Rhizosphere	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.88	7.88		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	41	1	6PRr2	https://rubalkhali.science/kb/RAK_6000053	6	Rhizosphere	2			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	42	1	7Sr1	https://rubalkhali.science/kb/RAK_6000058	7	Surface	1			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	43	1	7Sr2	https://rubalkhali.science/kb/RAK_6000059	7	Surface	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.04	8.04		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	44	1	7Dr1	https://rubalkhali.science/kb/RAK_6000055	7	Deep	1			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	45	1	7Dr2	https://rubalkhali.science/kb/RAK_6000056	7	Deep	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.95	7.95		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	46	1	7PRr2	https://rubalkhali.science/kb/RAK_6000062	7	Rhizosphere	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.7	7.7		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	47	1	8Sr2	https://rubalkhali.science/kb/RAK_6000068	8	Surface	2	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.4	7.4		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	48	1	8Sr3	https://rubalkhali.science/kb/RAK_6000069	8	Surface	3	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.39	7.39		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	49	1	8PRr1	https://rubalkhali.science/kb/RAK_6000070	8	Rhizosphere	1	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.71	7.71		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	50	1	8PRr2	https://rubalkhali.science/kb/RAK_6000071	8	Rhizosphere	2	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.77	7.77		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	51	1	8PRr3	https://rubalkhali.science/kb/RAK_6000072	8	Rhizosphere	3	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.69	7.69		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	52	1	9Sr1	https://rubalkhali.science/kb/RAK_6000076	9	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.09	8.09		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	53	1	9Sr2	https://rubalkhali.science/kb/RAK_6000077	9	Surface	2			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	54	1	9Sr3	https://rubalkhali.science/kb/RAK_6000078	9	Surface	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	55	1	9Dr1	https://rubalkhali.science/kb/RAK_6000073	9	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.97	7.97		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	56	1	9Dr3	https://rubalkhali.science/kb/RAK_6000075	9	Deep	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	57	1	9PRr2	https://rubalkhali.science/kb/RAK_6000080	9	Rhizosphere	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.9	7.9		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	58	1	9PRr3	https://rubalkhali.science/kb/RAK_6000081	9	Rhizosphere	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	59	1	10Sr2	https://rubalkhali.science/kb/RAK_6000086	10	Surface	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.01	8.01		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	60	1	10Sr3	https://rubalkhali.science/kb/RAK_6000087	10	Surface	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	61	1	10Dr2	https://rubalkhali.science/kb/RAK_6000083	10	Deep	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.7	7.7		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	62	1	10PRr2	https://rubalkhali.science/kb/RAK_6000089	10	Rhizosphere	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.02	8.02		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	63	1	10PRr3	https://rubalkhali.science/kb/RAK_6000090	10	Rhizosphere	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	64	1	11Sr2	https://rubalkhali.science/kb/RAK_6000095	11	Surface	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.12	8.12		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	65	1	11Dr1	https://rubalkhali.science/kb/RAK_6000091	11	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.13	8.13		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	66	1	11Dr3	https://rubalkhali.science/kb/RAK_6000093	11	Deep	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	67	1	11PRr1	https://rubalkhali.science/kb/RAK_6000097	11	Rhizosphere	1			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	68	1	11PRr2	https://rubalkhali.science/kb/RAK_6000098	11	Rhizosphere	2			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	69	1	11PRr3	https://rubalkhali.science/kb/RAK_6000099	11	Rhizosphere	3	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	8.01	8.01		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	70	1	12Sr1	https://rubalkhali.science/kb/RAK_6000103	12	Surface	1			missing						Depleted	True	False	False	False	False	NOT_MEASURED_DEPLETED	False	False	sample_depleted
Trip 1	71	1	12Sr2	https://rubalkhali.science/kb/RAK_6000104	12	Surface	2			missing						Depleted	True	False	False	False	False	NOT_MEASURED_DEPLETED	False	False	sample_depleted
Trip 1	72	1	12Sr3	https://rubalkhali.science/kb/RAK_6000105	12	Surface	3			missing						Depleted	True	False	False	False	False	NOT_MEASURED_DEPLETED	False	False	sample_depleted
Trip 1	73	1	12Dr2	https://rubalkhali.science/kb/RAK_6000101	12	Deep	2			missing						Depleted	True	False	False	False	False	NOT_MEASURED_DEPLETED	False	False	sample_depleted
Trip 1	74	1	12Dr3	https://rubalkhali.science/kb/RAK_6000102	12	Deep	3			missing						Depleted	True	False	False	False	False	NOT_MEASURED_DEPLETED	False	False	sample_depleted
Trip 1	75	1	12PRr1	https://rubalkhali.science/kb/RAK_6000106	12	Rhizosphere	1			missing						Depleted	True	False	False	False	False	NOT_MEASURED_DEPLETED	False	False	sample_depleted
Trip 1	76	1	12PRr3	https://rubalkhali.science/kb/RAK_6000108	12	Rhizosphere	3			missing						Depleted	True	False	False	False	False	NOT_MEASURED_DEPLETED	False	False	sample_depleted
Trip 1	77	1	13Sr2	https://rubalkhali.science/kb/RAK_6000113	13	Surface	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	8.02	8.02		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	78	1	13Dr1	https://rubalkhali.science/kb/RAK_6000109	13	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	8.03	8.03		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	79	1	13Dr3	https://rubalkhali.science/kb/RAK_6000111	13	Deep	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	80	1	14Sr2	https://rubalkhali.science/kb/RAK_6000122	14	Surface	2			missing						Depleted	True	False	False	False	False	NOT_MEASURED_DEPLETED	False	False	sample_depleted
Trip 1	81	1	14Dr1	https://rubalkhali.science/kb/RAK_6000118	14	Deep	1			missing						Depleted	True	False	False	False	False	NOT_MEASURED_DEPLETED	False	False	sample_depleted
Trip 1	82	1	14Dr2	https://rubalkhali.science/kb/RAK_6000119	14	Deep	2			missing						Depleted	True	False	False	False	False	NOT_MEASURED_DEPLETED	False	False	sample_depleted
Trip 1	83	1	14Dr3	https://rubalkhali.science/kb/RAK_6000120	14	Deep	3			missing						Depleted	True	False	False	False	False	NOT_MEASURED_DEPLETED	False	False	sample_depleted
Trip 1	84	1	14PRr1	https://rubalkhali.science/kb/RAK_6000124	14	Rhizosphere	1			missing						Depleted	True	False	False	False	False	NOT_MEASURED_DEPLETED	False	False	sample_depleted
Trip 1	85	1	14PRr2	https://rubalkhali.science/kb/RAK_6000125	14	Rhizosphere	2			missing						Depleted	True	False	False	False	False	NOT_MEASURED_DEPLETED	False	False	sample_depleted
Trip 1	86	1	15Sr1	https://rubalkhali.science/kb/RAK_6000130	15	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.97	7.97		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	87	1	15Sr3	https://rubalkhali.science/kb/RAK_6000132	15	Surface	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	88	1	15Dr1	https://rubalkhali.science/kb/RAK_6000127	15	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.93	7.93		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	89	1	15Dr3	https://rubalkhali.science/kb/RAK_6000129	15	Deep	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	90	1	15PRr1	https://rubalkhali.science/kb/RAK_6000133	15	Rhizosphere	1			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	91	1	15PRr2	https://rubalkhali.science/kb/RAK_6000134	15	Rhizosphere	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.8	7.8		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
Trip 1	92	1	15PRr3	https://rubalkhali.science/kb/RAK_6000135	15	Rhizosphere	3			missing							True	False	False	False	False	PENDING_MEASUREMENT	False	False	ph_value_missing
Trip 1	93	1	16Sr1	https://rubalkhali.science/kb/RAK_6000139	16	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.88	7.88		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True	
