fetch_key	disposition	resolved_site_iri	resolved_site_label	rationale	monthly_rows	daily_rows	geodata_rows
47	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000047	Site 47	resolves to numbered site individual labelled 'Site 47'	49	1493	4
47+	near_site_annotation			does not resolve; numeric stem 47 recorded as provenance only, the offset is unrecorded	49	1493	1
47+grass	near_site_annotation			does not resolve; numeric stem 47 recorded as provenance only, the offset is unrecorded	49	1493	1
48	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000048	Site 48	resolves to numbered site individual labelled 'Site 48'	49	1493	4
48+	near_site_annotation			does not resolve; numeric stem 48 recorded as provenance only, the offset is unrecorded	49	1493	2
49	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000049	Site 49	resolves to numbered site individual labelled 'Site 49'	49	1493	4
5	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000005	Site 5	resolves to numbered site individual labelled 'Site 5'	49	1493	5
50	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000050	Site 50	resolves to numbered site individual labelled 'Site 50'	49	1493	4
51	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000051	Site 51	resolves to numbered site individual labelled 'Site 51'	49	1493	4
52	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000052	Site 52	resolves to numbered site individual labelled 'Site 52'	49	1493	4
52AD	near_site_annotation			does not resolve; numeric stem 52 recorded as provenance only, the offset is unrecorded	49	1493	1
53	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000053	Site 53	resolves to numbered site individual labelled 'Site 53'	49	1493	4
54	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000054	Site 54	resolves to numbered site individual labelled 'Site 54'	49	1493	4
54F	near_site_annotation			does not resolve; numeric stem 54 recorded as provenance only, the offset is unrecorded	49	1493	1
55	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000055	Site 55	resolves to numbered site individual labelled 'Site 55'	49	1493	4
56	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000056	Site 56	resolves to numbered site individual labelled 'Site 56'	49	1493	4
57	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000057	Site 57	resolves to numbered site individual labelled 'Site 57'	49	1493	4
58	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000058	Site 58	resolves to numbered site individual labelled 'Site 58'	49	1493	4
59	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000059	Site 59	resolves to numbered site individual labelled 'Site 59'	49	1493	4
6	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000006	Site 6	resolves to numbered site individual labelled 'Site 6'	49	1493	5
60	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000060	Site 60	resolves to numbered site individual labelled 'Site 60'	49	1493	4
7	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000007	Site 7	resolves to numbered site individual labelled 'Site 7'	49	1493	5
8	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000008	Site 8	resolves to numbered site individual labelled 'Site 8'	49	1493	5
9	canonical_numeric_site	https://rubalkhali.science/kb/RAK_1000009	Site 9	resolves to numbered site individual labelled 'Site 9'	49	1493	4
Camel1	canonical_named_site	https://rubalkhali.science/kb/RAK_1000064	Site Camel1	resolves to named site individual labelled 'Site Camel1'	49	1493	1
camground	canonical_named_site	https://rubalkhali.science/kb/RAK_1000070	Site camground	resolves to named site individual labelled 'Site camground'	49	1493	1
hot spring	canonical_named_site	https://rubalkhali.science/kb/RAK_1000062	Site hot spring	resolves to named site individual labelled 'Site hot spring'	49	1493	2
oill spill	canonical_named_site	https://rubalkhali.science/kb/RAK_1000061	Site oill spill	resolves to named site individual labelled 'Site oill spill'	49	1493	2
plant gradient	canonical_named_site	https://rubalkhali.science/kb/RAK_1000065	Site plant gradient	resolves to named site individual labelled 'Site plant gradient'	49	1493	1
road	free_text_location			does not resolve to any site individual	49	1493	2
water well	free_text_location			does not resolve to any site individual	49	1493	2
