product_id	date	filename	byte_size	sha256	official_url
CHIRPS_v2.0	2023-03-13	chirps-v2.0.2023.03.13.tif.gz	3693703	45c061d95f2f3bc8645e1d4ec2148cc6a75a5d847c6b9db8e13125caaf2e78d9	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_daily/tifs/p05/2023/chirps-v2.0.2023.03.13.tif.gz
CHIRPS_v2.0	2023-03-14	chirps-v2.0.2023.03.14.tif.gz	3642344	e2460ac7c19bfad9d498a8dcf8274827f97f919a4e48ca363a0febfd541e53ad	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_daily/tifs/p05/2023/chirps-v2.0.2023.03.14.tif.gz
CHIRPS_v2.0	2023-03-15	chirps-v2.0.2023.03.15.tif.gz	3908674	17519bdfb835d5068c6c57cd5748b5522e22723a20c184355f3ea56df679189a	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_daily/tifs/p05/2023/chirps-v2.0.2023.03.15.tif.gz
CHIRPS_v2.0	2023-03-16	chirps-v2.0.2023.03.16.tif.gz	3697665	61b4df7269eb17534e66f3df9304f74fc52325731a40b13557b7b56ed8ee2f43	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_daily/tifs/p05/2023/chirps-v2.0.2023.03.16.tif.gz
CHIRPS_v2.0	2023-03-17	chirps-v2.0.2023.03.17.tif.gz	3912082	a627029fc939711fcfd60b114233d55a74dd9033bd166b92dab8b1d96e00d8aa	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_daily/tifs/p05/2023/chirps-v2.0.2023.03.17.tif.gz
CHIRPS_v2.0	2023-03-18	chirps-v2.0.2023.03.18.tif.gz	3846524	9b8e8320f127af6fee7bc570ad0616e1bebf94bdb11aa06b6b73825f5ddff9ac	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_daily/tifs/p05/2023/chirps-v2.0.2023.03.18.tif.gz
CHIRPS_v2.0	2023-03-19	chirps-v2.0.2023.03.19.tif.gz	3933628	43d70b3a945e746f13827d2bec1354258b29ecfd86209e88ebb4d7b528d7c255	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_daily/tifs/p05/2023/chirps-v2.0.2023.03.19.tif.gz
CMORPH_V1.0_ADJ	2023-03-13	CMORPH_V1.0_ADJ_0.25deg-DLY_00Z_20230313.nc	384597	cb2e8b416c003c913859a44aeb36dfec15810c57faad3b329e02091eccdeedbd	https://www.ncei.noaa.gov/data/cmorph-high-resolution-global-precipitation-estimates/access/daily/0.25deg/2023/03/CMORPH_V1.0_ADJ_0.25deg-DLY_00Z_20230313.nc
CMORPH_V1.0_ADJ	2023-03-14	CMORPH_V1.0_ADJ_0.25deg-DLY_00Z_20230314.nc	384232	08644d8836ab8b57bd56e14028aa9c574db2e82f3424a823c48ca46d6da1d6cb	https://www.ncei.noaa.gov/data/cmorph-high-resolution-global-precipitation-estimates/access/daily/0.25deg/2023/03/CMORPH_V1.0_ADJ_0.25deg-DLY_00Z_20230314.nc
CMORPH_V1.0_ADJ	2023-03-15	CMORPH_V1.0_ADJ_0.25deg-DLY_00Z_20230315.nc	396190	84ddf84d83cf004a4e27bf56236028a40792d6106faeca6450f652534ce2758a	https://www.ncei.noaa.gov/data/cmorph-high-resolution-global-precipitation-estimates/access/daily/0.25deg/2023/03/CMORPH_V1.0_ADJ_0.25deg-DLY_00Z_20230315.nc
