Trip	Site	Type	elemental_pc1
2	8	Rhizosphere	-0.4951752074
2	8	Surface	-3.090591839
3	1	Deep	2.920050482
3	1	Rhizosphere	-1.441901431
3	1	Surface	1.257127167
3	5	Deep	2.188110286
3	5	Rhizosphere	-1.156071305
3	5	Surface	-0.09494825582
3	6	Deep	-1.394683345
3	6	Rhizosphere	-2.78547565
3	6	Surface	-2.738841004
3	7	Deep	-1.655930562
3	7	Rhizosphere	-2.235613033
3	7	Surface	-2.150510611
3	8	Deep	-2.908015442
3	8	Rhizosphere	-2.630183654
3	8	Surface	-2.12059504
3	9	Deep	-2.88738771
3	9	Rhizosphere	-2.268812649
3	9	Surface	-2.328702429
3	10	Deep	-1.832828852
3	10	Rhizosphere	-1.72351522
3	10	Surface	-1.436909456
3	11	Deep	-0.7925893251
3	11	Rhizosphere	-1.524609021
3	11	Surface	-3.057446069
3	12	Deep	-1.940318234
3	12	Rhizosphere	-0.8715481374
3	12	Surface	-1.119184629
3	13	Deep	-1.546485336
3	13	Rhizosphere	-1.425857832
3	13	Surface	-1.670908325
3	14	Deep	0.8106162388
3	14	Rhizosphere	-1.412119042
3	14	Surface	-0.2706253929
3	15	Deep	-2.217122432
3	15	Rhizosphere	-1.166630438
3	15	Surface	-0.8129601018
3	16	Deep	-0.8489044919
3	16	Rhizosphere	-1.546868567
3	16	Surface	-1.606057001
3	17	Deep	-1.528431553
3	17	Rhizosphere	-1.931593865
3	17	Surface	2.021143098
3	18	Deep	-0.8428031289
3	18	Rhizosphere	-1.828896788
3	18	Surface	0.2897965494
3	19	Deep	-2.166950117
3	19	Rhizosphere	-0.9872323521
3	19	Surface	-1.193462354
3	20	Deep	0.0497337849
3	20	Rhizosphere	-2.193072571
3	20	Surface	-0.7061303877
3	21	Deep	-1.621261019
3	21	Rhizosphere	-2.754248256
3	21	Surface	-0.8159037916
3	22	Deep	3.167482777
3	22	Rhizosphere	-0.3060796793
3	22	Surface	-1.490406773
3	23	Deep	-0.8894342659
3	23	Rhizosphere	1.440166624
3	23	Surface	1.357725744
3	24	Deep	0.1955630716
3	24	Rhizosphere	-2.043306459
3	24	Surface	2.110584683
3	25	Deep	-0.9816976708
3	25	Rhizosphere	-1.709822449
3	25	Surface	-1.205752232
3	26	Deep	0.3024498601
3	26	Rhizosphere	-1.047382034
3	26	Surface	-0.6207348744
3	27	Deep	-0.159614448
3	27	Rhizosphere	-0.6131096243
3	27	Surface	-1.225528353
3	28	Deep	-0.6680700946
3	28	Rhizosphere	-1.732990784
3	28	Surface	-2.076975205
3	29	Deep	-1.344549842
3	29	Rhizosphere	-1.704370164
3	29	Surface	-0.4688256457
3	30	Deep	-2.154967418
3	30	Rhizosphere	-0.7640650967
3	30	Surface	-1.553196545
3	31	Deep	-0.6824374696
3	31	Rhizosphere	-1.010646711
3	31	Surface	-1.813990731
3	32	Deep	-0.360698696
3	32	Rhizosphere	-2.085621785
3	32	Surface	-0.008731463682
3	33	Deep	-0.5466591978
3	33	Rhizosphere	-1.241719176
3	33	Surface	-2.792875373
3	34	Deep	-0.5174037137
3	34	Rhizosphere	-0.6497578848
3	34	Surface	0.04987398603
3	35	Deep	-0.5687978067
3	35	Rhizosphere	-1.678728683
3	35	Surface	0.03314467791
3	36	Deep	0.8616028271
3	36	Rhizosphere	-0.4654201353
3	36	Surface	2.189855794
3	37	Deep	0.5208786416
3	37	Rhizosphere	-0.7967982081
3	37	Surface	2.77145638
3	38	Deep	-1.048532868
3	38	Rhizosphere	0.8308923941
3	38	Surface	2.514062027
3	39	Deep	-1.108914954
3	39	Rhizosphere	-1.195861721
3	39	Surface	1.765324273
3	40	Deep	-1.640210911
3	40	Rhizosphere	-1.94107544
3	40	Surface	1.534259083
3	41	Deep	2.938084444
3	41	Rhizosphere	-1.04700202
3	42	Deep	1.203360796
3	42	Rhizosphere	0.4165069236
3	42	Surface	2.862036771
3	43	Deep	-1.145786852
3	43	Rhizosphere	0.4012249962
3	43	Surface	1.199368847
3	44	Deep	1.371010354
3	44	Rhizosphere	0.1494620272
3	44	Surface	0.8529228701
3	45	Deep	2.707897382
3	45	Rhizosphere	-1.487782603
3	45	Surface	0.2601044085
3	46	Deep	0.8834066644
3	46	Surface	0.6949436938
3	47	Deep	-0.5003028403
3	47	Rhizosphere	-0.6581530444
3	47	Surface	1.073987356
3	48	Deep	1.239571788
3	48	Rhizosphere	1.145387467
3	48	Surface	2.092313266
3	49	Deep	-1.450592763
3	49	Rhizosphere	-0.1826492099
3	49	Surface	-0.4736997229
3	50	Deep	-1.847946979
3	50	Rhizosphere	0.5676067811
3	50	Surface	0.2662593569
3	51	Deep	2.482126427
3	51	Rhizosphere	1.974474909
3	51	Surface	0.02172047162
3	52	Surface	2.477416115
