role	path	bytes	sha256
genome-derived relative KO profiles	analysis/v2/review/measured_function/measured_ko_by_sample.tsv.gz	1739946	aed46645f2a8205582f85afe0617ec43b75ce96b8dead2c07196ae559deb77c9
sample and source-compartment labels	analysis/v2/review/measured_function/measured_marker_by_sample.tsv	32875	8f7752eee80fc46deeb511a42e2adbdee9e1cc344d294690085608f53bcbe9e1
positive genome pathway-screen records	analysis/v2/review/measured_function/genome_cfix_taxonomy.tsv	20991	73f0af1820f9edb9033f196b556f04633290cb797c5946b1fbc6cf7b86b87c57
incomplete local genome manifest for denominator audit	analysis/v2/review/measured_function/filtered_genomes.tsv	274424	271a5ee6766494f4f6930e39f9f4d679f6dda61f82cadbbc80dbc2d0e7060921
PICRUSt2 predicted KO counts	data/processed/functional/picrust2/merged/ko_metagenome_unstrat.tsv	245158740	c71c22560ef0b96a58b7f227c7bb781b1c22fa517c000ac75dcb6da5ddd11254
PICRUSt2 column-to-sample mapping	data/processed/functional/picrust2/merged/sample_metadata.tsv	155089	4f6b4f67a54bd06f66a74e566e463ae5225116b53a23aa6f7b08002f6e2cb082
