SampleID	SoilType	Al	Al2O3	Ba	BaO	Br	Ca	CaO	Ce	CeO2	Cl	Co	CoO	Cr	Cr2O3	Cs	Cu	CuO	Diameter	Eu	Eu2O3	Fe	Fe2O3	Ga	Ga2O3	Gd	Gd2O3	K	K2O	La	La2O3	Material	Method	Mg	MgO	Mn	MnO	Mo	MoO3	Mode	Na	Na2O	Nd	Nd2O3	Ni	NiO	P	P2O5	Pr	Pr6O11	S	SO3	Sc	Sc2O3	Si	SiO2	Sm	Sm2O3	Sr	SrO	Ti	TiO2	V	V2O5	Zn	ZnO	Zr	ZrO2
V29Dr1	Deep	1.3	2.5	0.0	0.0	0.0	6.82	9.54	0.19	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	1.27	1.82	0.0	0.0	0.0	0.0	0.94	1.1	0.11	0.0	Oxides	Fast Screening-He8mm	0.75	1.2	0.0	0.0	0.0	0.0	He	0.18	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.048	0.0	0.032	0.0	18.3	39.2	0.0	0.0	0.03	0.036	0.35	0.58	0.0	0.0	0.0	0.0	0.079	0.11
V28Dr1	Deep	1.2	2.2	0.0	0.0	0.0	0.51	0.71	0.0	0.0	0.046	0.0	0.0	0.034	0.049	0.0	0.0	0.0	8mm	0.0	0.0	0.336	0.48	0.0	0.0	0.0	0.0	0.85	1.0	0.3	0.35	Oxides	Fast Screening-He8mm	0.29	0.48	0.0	0.0	0.0	0.0	He	0.14	0.0	0.071	0.0	0.0	0.0	0.16	0.37	0.0	0.0	0.077	0.19	0.0	0.0	21.1	45.1	0.0	0.0	0.0	0.0	0.1	0.17	0.026	0.0	0.0	0.0	0.0	0.0
V27Dr1	Deep	1.2	2.3	0.0	0.0	0.0	0.96	1.3	0.0	0.0	0.11	0.0	0.0	0.036	0.053	0.0	0.0	0.0	8mm	0.0	0.0	0.412	0.589	0.0	0.0	0.0	0.0	0.99	1.2	0.0	0.0	Oxides	Fast Screening-He8mm	0.36	0.6	0.0	0.0	0.0	0.0	He	0.4	0.0	0.11	0.0	0.0	0.0	0.24	0.55	0.071	0.0	0.048	0.0	0.039	0.0	23.6	50.5	0.0	0.0	0.03	0.036	0.092	0.15	0.0	0.0	0.0	0.0	0.0	0.0
V26Dr1	Deep	2.5	4.7	0.0	0.0	0.0	1.2	1.7	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.613	0.877	0.0	0.0	0.0	0.0	1.9	2.3	0.0	0.0	Oxides	Fast Screening-He8mm	0.8	1.3	0.0	0.0	0.0	0.0	He	0.0	0.0	0.0	0.0	0.0	0.0	0.94	2.2	0.0	0.0	0.045	0.0	0.0	0.0	40.3	86.2	0.0	0.0	0.0	0.0	0.2	0.33	0.044	0.0	0.0	0.0	0.0	0.0
V25Dr1	Deep	1.1	2.1	0.076	0.0	0.0	1.1	1.5	0.0	0.0	0.13	0.0	0.0	0.009	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.406	0.581	0.0	0.0	0.0	0.0	0.86	1.0	0.1	0.0	Oxides	Fast Screening-He8mm	0.24	0.0	0.0	0.0	0.0	0.0	He	0.43	0.0	0.096	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.009	0.0	0.028	0.0	20.8	44.6	0.0	0.0	0.0	0.0	0.12	0.0	0.016	0.0	0.0	0.0	0.0	0.0
V24Dr1	Deep	1.1	2.1	0.0	0.0	0.0	2.39	3.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.665	0.951	0.0	0.0	0.0	0.0	1.1	1.4	0.29	0.34	Oxides	Fast Screening-He8mm	0.48	0.79	0.0	0.0	0.0	0.0	He	0.37	0.0	0.0	0.0	0.0	0.0	0.29	0.66	0.0	0.0	0.028	0.0	0.0	0.0	20.5	43.8	0.0	0.0	0.0	0.0	0.19	0.31	0.018	0.0	0.0	0.0	0.0	0.0
V23Dr1	Deep	1.1	2.1	0.0	0.0	0.0	4.74	6.64	0.0	0.0	0.044	0.0	0.0	0.064	0.0	0.0	0.0	0.0	8mm	0.0	0.0	1.15	1.64	0.0	0.0	0.0	0.0	1.0	1.3	0.22	0.0	Oxides	Fast Screening-He8mm	0.56	0.92	0.0	0.0	0.0	0.0	He	0.49	0.0	0.12	0.0	0.0	0.0	0.16	0.37	0.0	0.0	0.063	0.0	0.052	0.0	17.3	36.9	0.035	0.0	0.032	0.038	0.35	0.58	0.015	0.0	0.0	0.0	0.06	0.081
V60Dr1	Deep	1.3	2.5	0.064	0.0	0.0	1.1	1.6	0.0	0.0	0.26	0.0	0.0	0.027	0.039	0.0	0.0	0.0	8mm	0.0	0.0	0.31	0.44	0.0	0.0	0.0	0.0	0.62	0.74	0.0	0.0	Oxides	Fast Screening-He8mm	1.0	1.7	0.0	0.0	0.0	0.0	He	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.31	0.79	0.044	0.0	26.6	56.8	0.0	0.0	0.0	0.0	0.063	0.11	0.015	0.0	0.0	0.0	0.0	0.0
V59Dr1	Deep	1.5	2.9	0.0	0.0	0.0	3.3	4.61	0.0	0.0	2.3	0.0	0.0	0.0	0.0	0.12	0.0	0.0	8mm	0.0	0.0	0.488	0.698	0.0	0.0	0.0	0.0	0.74	0.89	0.093	0.0	Oxides	Fast Screening-He8mm	2.1	3.5	0.0	0.0	0.0	0.0	He	2.9	3.9	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	1.3	3.3	0.0	0.0	23.0	49.1	0.0	0.0	0.012	0.014	0.099	0.0	0.028	0.0	0.0	0.0	0.016	0.021
V58Dr1	Deep	2.1	4.0	0.053	0.0	0.0	7.27	10.2	0.0	0.0	0.87	0.0	0.0	0.081	0.12	0.0	0.0	0.0	8mm	0.0	0.0	0.859	1.23	0.0	0.0	0.0	0.0	0.94	1.1	0.1	0.0	Oxides	Fast Screening-He8mm	2.2	3.6	0.0	0.0	0.0	0.0	He	0.98	0.0	0.073	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.91	2.3	0.055	0.0	21.5	46.0	0.0	0.0	0.018	0.022	0.1	0.0	0.038	0.0	0.0	0.0	0.033	0.044
